env/completion_counter,env/current_idx,eval/mean_reward,time/total_timesteps,eval/success_rate,eval/mean_ep_length,env/n_steps,time/iterations,rollout/success_rate,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/entropy_loss,train/loss,train/explained_variance,train/n_updates
0,1430,-0.04753219475504011,2610,0.96,1.12,2610,,,,,,,0.13333333730697633,0.2,0.021510044,-0.03997007060058735,0.001,0.17999607026576997,-0.7090921878814698,-0.01833730936050415,0.11557763814926147,860
,,,2610,,,,87,0.72,9911,0,1.78,-0.25742925000000005,,,,,,,,,,
0,1445,-0.11530075720977039,2640,0.88,1.3,2640,,,,,,,0.16000000573694706,0.2,0.037363324,-0.05883545401195676,0.001,0.08684562034904957,-0.6495082795619964,-0.05446653068065643,0.4061400890350342,870
,,,2640,,,,88,0.74,10033,0,1.74,-0.23902104999999998,,,,,,,,,,
0,1459,-0.04716442953795195,2670,0.96,1.1,2670,,,,,,,0.1466666717082262,0.2,0.038619004,-0.04193113675224538,0.001,0.24203634411096572,-0.645755821466446,0.007753513753414154,0.18981343507766724,880
,,,2670,,,,89,0.69,10142,0,1.81,-0.28047706,,,,,,,,,,
0,1474,-0.04888698911294341,2700,0.96,1.14,2700,,,,,,,0.1666666693985462,0.2,0.035524175,-0.057676492814595456,0.001,0.3174012154340744,-0.7532095730304718,0.014096297323703766,-0.39131617546081543,890
,,,2700,,,,90,0.66,10253,0,1.86,-0.30866860999999995,,,,,,,,,,
0,1499,-0.09042914546094835,2730,0.9,1.22,2730,,,,,,,0.20666666999459266,0.2,0.060401373,-0.057597548371801734,0.001,0.22500449866056443,-0.6591869473457337,0.01415349543094635,-0.12288856506347656,900
,,,2730,,,,91,0.73,10368,0,1.7,-0.24370565999999996,,,,,,,,,,
0,1516,-0.10956867721863091,2760,0.88,1.28,2760,,,,,,,0.07666666954755783,0.2,0.029374523,-0.03387067877997936,0.001,0.1921216681599617,-0.5222175896167756,-0.008915185928344727,0.15928101539611816,910
,,,2760,,,,92,0.74,10485,0,1.68,-0.24253964,,,,,,,,,,
0,1535,-0.06800390454009175,2790,0.94,1.16,2790,,,,,,,0.11666666828095913,0.2,0.036255796,-0.02402297311462469,0.001,0.2688292533159256,-0.5433860301971436,0.05517005920410156,0.08988595008850098,920
,,,2790,,,,93,0.72,10595,0,1.72,-0.27269393,,,,,,,,,,
0,1553,-0.048714481117203834,2820,0.96,1.12,2820,,,,,,,0.13333333805203437,0.2,0.031239923,-0.029080647925535885,0.001,0.19409994930028915,-0.5550796151161194,0.03918652981519699,0.2323700189590454,930
,,,2820,,,,94,0.76,10698,0,1.65,-0.22754809,,,,,,,,,,
0,1572,-0.09454969197511673,2850,0.88,1.3,2850,,,,,,,0.05333333499729633,0.2,0.008526886,-0.0186304417244779,0.001,0.19449392929673195,-0.7203405737876892,-0.0015729106962680817,-0.16932880878448486,940
,,,2850,,,,95,0.83,10824,0,1.52,-0.15306929,,,,,,,,,,
0,1591,-0.09333783466834575,2880,0.9,1.24,2880,,,,,,,0.09666666872799397,0.2,0.018691588,-0.024695857105155827,0.001,0.22648244649171828,-0.6054216086864471,0.04604151472449303,-0.25661230087280273,950
,,,2880,,,,96,0.79,10935,0,1.6,-0.20131652000000003,,,,,,,,,,
0,1608,-0.0929185272147879,2910,0.9,1.24,2910,,,,,,,0.17333333939313889,0.2,0.026905945,-0.029865687874456627,0.001,0.21147360652685165,-0.668260133266449,0.04711403325200081,0.122139573097229,960
,,,2910,,,,97,0.79,11059,0,1.6,-0.19410373,,,,,,,,,,
