eval/success_rate,eval/mean_reward,env/completion_counter,env/n_steps,time/total_timesteps,eval/mean_ep_length,env/current_idx,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/fps,train/n_updates,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/clip_range,train/explained_variance,train/loss
0.94,-0.02741582427639514,0,4290,4290,1.12,2614,,,,,,,1420,0.1112883597612381,-0.0035324673253732896,-0.12543622702360152,0.011697427,0.020000001043081285,0.001,0.2,0.15661370754241943,0.03772683069109917
,,,,4290,,,1.55,0.79,16316,-0.14522538000000002,143,0,,,,,,,,,,
0.94,-0.07082421303726733,0,4320,4320,1.18,2632,,,,,,,1430,0.15303332284092902,-0.0034609937365166488,-0.1779053658246994,0.011512469,0.023333334550261497,0.001,0.2,-0.17219889163970947,0.051075272262096405
,,,,4320,,,1.59,0.78,16425,-0.16057251,144,0,,,,,,,,,,
0.82,-0.14550466678570956,0,4350,4350,1.42,2652,,,,,,,1440,0.1847046971321106,-0.00578001718968153,-0.26505265980958936,0.01731959,0.04000000208616257,0.001,0.2,0.05715596675872803,0.06784269958734512
,,,,4350,,,1.58,0.79,16554,-0.15798333,145,0,,,,,,,,,,
0.98,-0.02748555039986968,0,4380,4380,1.08,2674,,,,,,,1450,0.1326388880610466,-0.015407976532975853,-0.48487997353076934,0.04784544,0.0533333346247673,0.001,0.2,0.3434804677963257,0.03309408575296402
,,,,4380,,,1.61,0.78,16662,-0.16865199000000003,146,0,,,,,,,,,,
0.78,-0.23416281923651694,0,4410,4410,1.46,2689,,,,,,,1460,0.09804014563560486,-0.02802995208495602,-0.5332589387893677,0.021523084,0.053333334252238275,0.001,0.2,0.25774693489074707,-0.009564109146595001
,,,,4410,,,1.67,0.74,16787,-0.20854620999999998,147,0,,,,,,,,,,
0.92,-0.04901294228155166,0,4440,4440,1.16,2712,,,,,,,1470,0.21893463879823685,-0.028098163772374108,-0.5618165016174317,0.08587135,0.19333334006369113,0.001,0.2,0.17062658071517944,0.04717070609331131
,,,,4440,,,1.55,0.79,16898,-0.20175743000000002,148,0,,,,,,,,,,
0.94,-0.048020208817906675,0,4470,4470,1.16,2730,,,,,,,1480,0.1741191864013672,-0.04313663768892475,-0.44451757669448855,0.048546452,0.13333333656191826,0.001,0.2,0.32044345140457153,0.005689263343811035
,,,,4470,,,1.54,0.77,17017,-0.21195966000000002,149,0,,,,,,,,,,
0.86,-0.11285424696281553,0,4500,4500,1.34,2750,,,,,,,1490,0.13487303555011748,-0.06600278037289761,-0.498460990190506,0.1106246,0.29666667282581327,0.001,0.2,0.3897143602371216,-0.05113735422492027
,,,,4500,,,1.52,0.78,17132,-0.21083902000000002,150,0,,,,,,,,,,
0.94,-0.04944289866369218,0,4530,4530,1.16,2767,,,,,,,1500,0.19742704480886458,-0.017891704027230483,-0.29667364358901976,0.03497936,0.12666666880249977,0.001,0.2,-0.04996895790100098,0.05763251334428787
,,,,4530,,,1.61,0.74,17250,-0.22446607999999998,151,0,,,,,,,,,,
0.94,-0.06977142938412725,0,4560,4560,1.24,2782,,,,,,,1510,0.20441236346960068,-0.022004540730267762,-0.27962923645973203,0.011231748,0.04000000208616257,0.001,0.2,-0.5467453002929688,0.037950679659843445
,,,,4560,,,1.63,0.72,17357,-0.22921413000000004,152,0,,,,,,,,,,
0.88,-0.05065975754521787,0,4590,4590,1.32,2798,,,,,,,1520,0.25328795462846754,-0.016563111289093914,-0.3576397955417633,0.011663335,0.040000001713633535,0.001,0.2,0.008391797542572021,0.06272630393505096
,,,,4590,,,1.66,0.71,17480,-0.26449972,153,0,,,,,,,,,,
0.9,-0.09371356981806457,0,4620,4620,1.26,2816,,,,,,,1530,0.24254341274499894,-0.03584625501185599,-0.32568347454071045,0.07145753,0.16000000163912773,0.001,0.2,0.08183157444000244,0.05876212194561958
,,,,4620,,,1.76,0.67,17593,-0.30808003,154,0,,,,,,,,,,
0.96,-0.03048483720514923,0,4650,4650,1.12,2836,,,,,,,1540,0.2338908225297928,-0.02767447789820534,-0.2977235272526741,0.05637652,0.09666667170822621,0.001,0.2,0.017823994159698486,0.06859010457992554
,,,,4650,,,1.7,0.72,17702,-0.25143445,155,0,,,,,,,,,,
0.88,-0.10968030611053109,0,4680,4680,1.26,2857,,,,,,,1550,0.15209807232022285,-0.015289155857560388,-0.21705655753612518,0.003600355,0.010000000149011612,0.001,0.2,0.10848629474639893,-0.0036932267248630524
,,,,4680,,,1.67,0.73,17819,-0.25015538000000004,156,0,,,,,,,,,,
0.84,-0.11369201469235123,0,4710,4710,1.4,2875,,,,,,,1560,0.16788309812545776,-0.014089066386222981,-0.40347028374671934,0.016599108,0.08333333730697631,0.001,0.2,0.3246351480484009,0.04252892732620239
,,,,4710,,,1.6,0.78,17937,-0.21752134999999995,157,0,,,,,,,,,,
0.84,-0.17173901087604462,0,4740,4740,1.4,2893,,,,,,,1570,0.1618704691529274,-0.024093051167825764,-0.24130014926195145,0.02852505,0.19666667208075522,0.001,0.2,-0.026857614517211914,0.035015881061553955
,,,,4740,,,1.61,0.79,18058,-0.21343370999999997,158,0,,,,,,,,,,
0.92,-0.028727680202573536,0,4770,4770,1.18,2911,,,,,,,1580,0.23528267741203307,-0.019558081406479123,-0.23629347532987593,0.0192007,0.0600000012665987,0.001,0.2,0.09993064403533936,0.05858737602829933
,,,,4770,,,1.59,0.8,18173,-0.18688667000000003,159,0,,,,,,,,,,
0.84,-0.13437234927434474,0,4800,4800,1.38,2930,,,,,,,1590,0.1985662192106247,-0.0031665138263877067,-0.09430343136191369,0.00039189655,0.0,0.001,0.2,0.06264770030975342,0.07623320817947388
,,,,4800,,,1.55,0.81,18292,-0.18432846999999997,160,0,,,,,,,,,,
0.94,-0.048455750923603776,0,4830,4830,1.18,2952,,,,,,,1600,0.17897149473428725,0.0004330771193296279,-0.061122900992631915,5.4796537e-06,0.0,0.001,0.2,0.06146848201751709,0.08071357756853104
,,,,4830,,,1.6,0.79,18407,-0.18975174000000003,161,0,,,,,,,,,,
0.94,-0.06909201310016215,0,4860,4860,1.22,2970,,,,,,,1610,0.11419688016176224,-0.0006351553202027293,-0.05871728844940662,0.00013313294,0.0,0.001,0.2,0.1707911491394043,0.03649641573429108
,,,,4860,,,1.59,0.79,18519,-0.18644629999999995,162,0,,,,,,,,,,
0.96,-0.051000296287238595,0,4890,4890,1.2,2989,,,,,,,1620,0.20288480073213577,-0.006061383647223373,-0.08529948368668556,0.008035632,0.020000001043081285,0.001,0.2,0.2872123122215271,0.06514009088277817
,,,,4890,,,1.58,0.78,18623,-0.20256167000000003,163,0,,,,,,,,,,
0.98,-0.0284188165795058,0,4920,4920,1.14,3008,,,,,,,1630,0.20812475085258483,-0.00023169775639573232,-0.11395253092050553,6.202062e-05,0.0,0.001,0.2,0.18850111961364746,0.09464120864868164
