env/n_steps,eval/mean_ep_length,time/total_timesteps,eval/success_rate,env/current_idx,env/completion_counter,eval/mean_reward,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/success_rate,train/n_updates,train/explained_variance,train/value_loss,train/learning_rate,train/loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/entropy_loss,train/approx_kl
1380,1.14,1380,0.98,638,0,-0.028925244142301382,,,,,,,450,-0.06855201721191406,0.2877755492925644,0.001,0.09588182717561722,-0.003723104206535055,0.023333334550261497,0.2,-0.06133337840437889,0.0040977774
,,1380,,,,,0,-0.19749700999999997,5464,1.88,46,0.83,,,,,,,,,,
1410,1.48,1410,0.9,652,0,-0.09215700862463563,,,,,,,460,0.13112539052963257,0.22406552135944366,0.001,0.07416553795337677,-0.005501010955777019,0.020000001043081285,0.2,-0.06649100854992866,0.0056943614
,,1410,,,,,0,-0.19984742000000005,5589,1.86,47,0.83,,,,,,,,,,
1440,1.36,1440,0.94,665,0,-0.05297867754008621,,,,,,,470,0.08078110218048096,0.14322789907455444,0.001,0.03686411678791046,-0.005196257146696226,0.030000001564621924,0.2,-0.1454259380698204,0.055738904
,,1440,,,,,0,-0.23239126000000002,5713,1.96,48,0.81,,,,,,,,,,
1470,1.24,1470,0.96,680,0,-0.04940112608019263,,,,,,,480,0.15953373908996582,0.17909109890460967,0.001,0.0721425861120224,8.822679559905567e-06,0.0,0.2,-0.10038092285394669,6.0200693e-07
,,1470,,,,,0,-0.23571911000000004,5824,1.93,49,0.81,,,,,,,,,,
1500,1.88,1500,0.86,692,0,-0.1412583528459072,,,,,,,490,-0.05894887447357178,0.24685536921024323,0.001,0.08869189769029617,-8.199870465430692e-05,0.0,0.2,-0.10494014844298363,1.9669532e-07
,,1500,,,,,0,-0.26298306,5965,2.01,50,0.78,,,,,,,,,,
1530,1.56,1530,0.9,709,0,-0.11793505786452442,,,,,,,500,0.07009667158126831,0.2099289759993553,0.001,0.08624593168497086,-2.7615626933452654e-05,0.0,0.2,-0.10199324116110801,4.172325e-08
,,1530,,,,,0,-0.27568073000000004,6085,2.08,51,0.77,,,,,,,,,,
1560,1.2,1560,0.98,727,0,-0.028732182257808745,,,,,,,510,0.37963300943374634,0.16134252548217773,0.001,0.0618584007024765,-0.0018745748197641632,0.013333334028720856,0.2,-0.16286766827106475,0.0037672839
,,1560,,,,,0,-0.27120510999999997,6196,2.07,52,0.78,,,,,,,,,,
1590,1.32,1590,0.94,747,0,-0.0714018890960142,,,,,,,520,0.3476613759994507,0.2221796542406082,0.001,0.07190968096256256,-0.007397570741595772,0.03333333507180214,0.2,-0.14469463974237443,0.007972175
,,1590,,,,,0,-0.22631163,6315,1.93,53,0.82,,,,,,,,,,
1620,1.46,1620,0.9,765,0,-0.09872356962412596,,,,,,,530,-0.2033085823059082,0.1192704237997532,0.001,0.03818541765213013,5.786021415588039e-06,0.0,0.2,-0.06377655379474163,2.614657e-06
,,1620,,,,,0,-0.18397706999999996,6443,1.8,54,0.86,,,,,,,,,,
1650,1.64,1650,0.88,781,0,-0.11594894678797572,,,,,,,540,0.08766132593154907,0.15099294036626815,0.001,0.049519553780555725,-0.0033658532658591865,0.020000001043081285,0.2,-0.07060695029795169,0.0011813144
,,1650,,,,,0,-0.1861536,6578,1.78,55,0.86,,,,,,,,,,
1680,1.62,1680,0.88,799,0,-0.11565322204027324,,,,,,,550,0.2033059000968933,0.19768637418746948,0.001,0.08510570973157883,-1.642634460417014e-05,0.0,0.2,-0.055229968205094335,1.7086664e-07
,,1680,,,,,0,-0.12645399,6714,1.62,56,0.9,,,,,,,,,,
1710,1.5,1710,0.92,813,0,-0.07550601240247488,,,,,,,560,0.2537078857421875,0.12732458338141442,0.001,0.0527065210044384,-3.0511617328699005e-06,0.0,0.2,-0.0517840288579464,0.0
,,1710,,,,,0,-0.16564838999999998,6838,1.74,57,0.87,,,,,,,,,,
1740,1.28,1740,0.96,827,0,-0.05003869229927659,,,,,,,570,0.28853631019592285,0.18165455162525176,0.001,0.05622529983520508,-0.003986425386392512,0.03333333507180214,0.2,-0.05916192308068276,0.0076789837
,,1740,,,,,0,-0.15647231,6948,1.8,58,0.87,,,,,,,,,,
1770,1.26,1770,0.96,843,0,-0.05003063578158617,,,,,,,580,-0.17624497413635254,0.18618520796298982,0.001,0.06561223417520523,-0.0017300875896276934,0.020000001043081285,0.2,-0.08268683478236198,0.0032411735
,,1770,,,,,0,-0.18342287000000002,7067,1.87,59,0.86,,,,,,,,,,
1800,1.34,1800,0.94,859,0,-0.07808074152097105,,,,,,,590,0.3296580910682678,0.17881119698286058,0.001,0.06411873549222946,-3.41888271654156e-05,0.0,0.2,-0.10213195011019707,3.3815702e-06
,,1800,,,,,0,-0.19610856000000002,7183,1.89,60,0.85,,,,,,,,,,
1830,1.44,1830,0.96,883,0,-0.055059740906581285,,,,,,,600,-0.445611834526062,0.2601140856742859,0.001,0.09462305903434753,-0.00015461643444725226,0.0,0.2,-0.11298179626464844,1.2695789e-06
,,1830,,,,,0,-0.14931839,7315,1.78,61,0.89,,,,,,,,,,
1860,1.18,1860,0.98,900,0,-0.0310869255149737,,,,,,,610,-83.18743133544922,0.05057686287909746,0.001,0.013433033600449562,-0.00219770643025754,0.006666667014360428,0.2,-0.11071024760603905,0.0016744474
,,1860,,,,,0,-0.15537945999999997,7429,1.77,62,0.9,,,,,,,,,,
1890,1.34,1890,0.98,910,0,-0.034102219017222525,,,,,,,620,0.17863357067108154,0.2369006022810936,0.001,0.08609385043382645,-1.9641916007273607e-05,0.0,0.2,-0.0811636283993721,4.609426e-06
,,1890,,,,,0,-0.17748647,7558,1.85,63,0.87,,,,,,,,,,
1920,1.52,1920,0.96,925,0,-0.05580951093696058,,,,,,,630,0.2077425718307495,0.17743901610374452,0.001,0.07713933289051056,-4.2736133697651724e-05,0.0,0.2,-0.07140288278460502,1.8874805e-07
,,1920,,,,,0,-0.18630221999999996,7683,1.86,64,0.85,,,,,,,,,,
1950,1.34,1950,0.96,938,0,-0.03131965866312385,,,,,,,640,-0.19342541694641113,0.2774564981460571,0.001,0.10224978625774384,-0.008489425032554898,0.036666668578982355,0.2,-0.06219227090477943,0.0069214404
,,1950,,,,,0,-0.16397597999999994,7807,1.88,65,0.85,,,,,,,,,,
1980,1.58,1980,0.9,953,0,-0.09499661294743418,,,,,,,650,-0.9123884439468384,0.21750322729349136,0.001,0.04418059065937996,-0.013219177206434951,0.023333334550261497,0.2,-0.12331426665186881,0.026065724
,,1980,,,,,0,-0.16058075000000005,7949,1.93,66,0.85,,,,,,,,,,
2010,1.2,2010,0.98,973,0,-0.009009674335829913,,,,,,,660,0.09122967720031738,0.19658050388097764,0.001,0.08931465446949005,7.620036609297109e-05,0.0,0.2,-0.06527322605252266,0.00036959053
,,2010,,,,,0,-0.17291653000000004,8061,1.95,67,0.83,,,,,,,,,,
2040,1.36,2040,0.96,991,0,-0.05244512939825654,,,,,,,670,0.21768468618392944,0.13544108644127845,0.001,0.031156595796346664,-0.02097291461502504,0.07000000253319741,0.2,-0.15950141847133636,0.0178835
,,2040,,,,,0,-0.18347276999999998,8190,1.97,68,0.82,,,,,,,,,,
2070,1.22,2070,0.96,1003,0,-0.02894881225656718,,,,,,,680,0.34040892124176025,0.1361274875700474,0.001,0.04373446851968765,-0.0035998481993253506,0.030000001564621924,0.2,-0.1223785862326622,0.03727106
,,2070,,,,,0,-0.20471931,8296,2.03,69,0.8,,,,,,,,,,
2100,1.32,2100,0.94,1019,0,-0.05115954974200577,,,,,,,690,-0.00602114200592041,0.26139034926891325,0.001,0.11042162030935287,-0.00011433164414498265,0.0,0.2,-0.05728325098752975,9.536743e-07
,,2100,,,,,0,-0.16672399,8414,1.85,70,0.85,,,,,,,,,,
2130,1.54,2130,0.9,1031,0,-0.11769187210127711,,,,,,,700,-0.043550729751586914,0.39054127037525177,0.001,0.13571995496749878,-4.03068466280132e-05,0.0,0.2,-0.057578738406300546,1.5894573e-08
,,2130,,,,,0,-0.19112775999999998,8545,1.93,71,0.83,,,,,,,,,,
2160,1.46,2160,0.92,1051,0,-0.07273059104103595,,,,,,,710,-0.151902437210083,0.25779135823249816,0.001,0.0942954272031784,-0.011487766504287756,0.030000001564621924,0.2,-0.05284372605383396,0.00960346
,,2160,,,,,0,-0.17928454,8675,1.85,72,0.84,,,,,,,,,,
2190,1.26,2190,0.94,1067,0,-0.06982829217799008,,,,,,,720,-0.02065885066986084,0.10489130020141602,0.001,0.023620538413524628,-0.0028896454892432645,0.03333333507180214,0.2,-0.04488510489463806,0.0046829483
,,2190,,,,,0,-0.17125452999999996,8788,1.91,73,0.85,,,,,,,,,,
2220,1.22,2220,0.96,1083,0,-0.05457318319007754,,,,,,,730,0.022789835929870605,0.12044116631150245,0.001,0.047224387526512146,3.134191011975318e-05,0.0,0.2,-0.03820977956056595,3.7252903e-06
,,2220,,,,,0,-0.18569223000000007,8905,1.91,74,0.85,,,,,,,,,,
