eval/mean_ep_length,eval/success_rate,time/total_timesteps,env/current_idx,env/completion_counter,env/n_steps,eval/mean_reward,rollout/ep_len_mean,time/fps,rollout/success_rate,time/iterations,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/entropy_loss,train/approx_kl,train/explained_variance,train/n_updates,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/value_loss
,,22500,,,,,2.05,0,0.78,75,33401,-0.25023403,,,,,,,,,,
1.44,0.92,22800,10274,0,22800,-0.07799238033592701,,,,,,,-0.0647268295288086,-0.4403418254852295,0.08146981,0.10403615236282349,750,0.001,0.2195170460641384,0.2,-0.04704382682219148,0.1281142681837082
,,22800,,,,,2.24,0,0.75,76,33821,-0.30697896999999996,,,,,,,,,,
1.46,0.92,23100,10407,0,23100,-0.0786174222594127,,,,,,,-0.036369532346725464,-0.38238663524389266,0.17773555,-0.0007910728454589844,760,0.001,0.23002840846776962,0.2,-0.04743278701789677,0.13026575855910777
,,23100,,,,,2.27,0,0.8,77,34254,-0.26789669999999993,,,,,,,,,,
1.66,0.86,23400,10562,0,23400,-0.15898782850708812,,,,,,,-0.07721464335918427,-0.3880119955539703,0.079399124,-0.20391082763671875,770,0.001,0.2239204540848732,0.2,-0.043742661681026224,0.15498536106199026
,,23400,,,,,1.88,0,0.84,78,34707,-0.21413085999999995,,,,,,,,,,
1.3,0.96,23700,10709,0,23700,-0.05111741667147726,,,,,,,-0.0351436547935009,-0.3586679571866989,0.10822681,0.14238256216049194,780,0.001,0.2396590906381607,0.2,-0.04368904419243336,0.11647931843996048
,,23700,,,,,2.07,0,0.81,79,35139,-0.24260144,,,,,,,,,,
1.48,0.96,24000,10863,0,24000,-0.052743510948494075,,,,,,,-0.029909197241067886,-0.40665510773658753,0.07853889,0.02652817964553833,790,0.001,0.21948863670229912,0.2,-0.04955357919563539,0.12463331893086434
,,24000,,,,,2.0,0,0.82,80,35579,-0.23034902,,,,,,,,,,
1.56,0.9,24300,10997,0,24300,-0.09794342922046781,,,,,,,-0.010398879647254944,-0.35458037376403806,0.07828534,0.0004410743713378906,800,0.001,0.1994886367022991,0.2,-0.039037809949368237,0.12826771833002568
,,24300,,,,,2.24,0,0.78,81,36015,-0.25183231999999994,,,,,,,,,,
1.28,0.98,24600,11152,0,24600,-0.029957562549971044,,,,,,,-0.06543933600187302,-0.4748584896326065,0.08656502,0.19886845350265503,810,0.001,0.24599431872367858,0.2,-0.05048288576304913,0.09785056516528129
,,24600,,,,,1.87,0,0.82,82,36444,-0.22022121999999997,,,,,,,,,,
1.6,0.9,24900,11303,0,24900,-0.11779196720570326,,,,,,,-0.05517977476119995,-0.3896901711821556,0.07989001,0.030529141426086426,820,0.001,0.19414772763848304,0.2,-0.043205516653251834,0.1206535618007183
,,24900,,,,,1.91,0,0.87,83,36881,-0.17671169000000003,,,,,,,,,,
1.4,0.96,25200,11437,0,25200,-0.0536042470857501,,,,,,,-0.06828521937131882,-0.5258896052837372,0.15769398,-0.01925945281982422,830,0.001,0.2790340909361839,0.2,-0.06023330794647336,0.12350159861147404
,,25200,,,,,2.28,0,0.75,84,37288,-0.34196205999999996,,,,,,,,,,
1.66,0.88,25500,11584,0,25500,-0.11867979560047388,,,,,,,-0.0741119459271431,-0.6012318885326385,0.111807905,0.21183693408966064,840,0.001,0.3153125,0.2,-0.06202400878071785,0.13423264671117066
,,25500,,,,,2.03,0,0.83,85,37738,-0.20195487,,,,,,,,,,
1.62,0.9,25800,11716,0,25800,-0.09583878191187978,,,,,,,-0.06319522112607956,-0.5542968851327896,0.1852682,-0.0070536136627197266,850,0.001,0.35403409019112586,0.2,-0.07305799073539675,0.12327150303870439
,,25800,,,,,2.28,0,0.76,86,38153,-0.32623081,,,,,,,,,,
