rollout/ep_rew_mean,rollout/ep_len_mean,env/completion_counter,time/fps,rollout/success_rate,time/total_timesteps,time/iterations,time/time_elapsed,env/current_idx,env/n_steps,train/learning_rate,train/entropy_loss,train/approx_kl,train/clip_fraction,train/value_loss,train/n_updates,train/clip_range,train/loss,train/explained_variance,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
-0.028891530000000002,1.17,0,0,0.97,17010,567,21963,12450,17010,0.0001,-0.032437502946704624,0.03763657,0.058666669726371766,0.07592258598655462,28300,0.2,0.0012400699779391289,-0.0030291080474853516,-0.010361846549746883,,,
-0.0389734,1.21,0,0,0.97,17040,568,22000,12474,17040,0.0001,-0.049839176535606385,0.04928615,0.09400000154972077,0.03585228560492396,28350,0.2,-0.03174475207924843,0.1384880542755127,-0.03544259754816693,,,
-0.05964167000000001,1.28,0,0,0.95,17070,569,22035,12493,17070,0.0001,-0.004276783149689436,0.00017578999,0.0,0.03872810719534755,28400,0.2,0.0046334643848240376,-0.1522200107574463,-0.0019588616436424953,,,
-0.0602252,1.33,0,0,0.93,17100,570,22068,12512,17100,0.0001,-0.0036655146651901303,0.00019703309,0.0,0.08039613796398043,28450,0.2,0.0024545490741729736,0.26248133182525635,-0.0036175491575462003,,,
-0.07221998000000002,1.41,0,0,0.92,17130,571,22101,12535,17130,0.0001,-0.03068259660154581,0.1857385,0.05400000281631947,0.03535126809030771,28500,0.2,-0.0011686626821756363,0.4773868918418884,-0.004641182133307069,,,
-0.07246359,1.41,0,0,0.92,17160,572,22136,12556,17160,0.0001,-0.05414509363472462,0.45783463,0.12400000438094139,0.020284620663151145,28550,0.2,-0.03287510573863983,0.0407177209854126,-0.028147839846555146,,,
-0.08355954,1.42,0,0,0.91,17190,573,22170,12578,17190,0.0001,-0.09838741973042488,0.08832419,0.12133333943784237,0.05134228986687958,28600,0.2,-0.0224728062748909,0.21036642789840698,-0.02310529609521229,,,
-0.08299537999999998,1.37,0,0,0.92,17220,574,22205,12605,17220,0.0001,-0.0088029726408422,0.03021342,0.032666668370366095,0.06318103596568107,28650,0.2,-0.0019902484491467476,0.1949443221092224,-0.00917538228506844,,,
-0.07126450000000001,1.3,0,0,0.94,17250,575,22239,12626,17250,0.0001,-0.0009097451448906213,0.0,0.0,0.016076216585934163,28700,0.2,0.0032040043734014034,0.6504164934158325,-5.803555243932834e-07,,,
-0.061084480000000003,1.31,0,0,0.94,17280,576,22274,12648,17280,0.0001,-0.023511697985231877,0.045722347,0.032666668370366095,0.01962170794606209,28750,0.2,-0.0025540434289723635,0.4915387034416199,-0.004254099215691305,,,
