time/time_elapsed,time/fps,env/current_idx,time/total_timesteps,rollout/ep_rew_mean,rollout/success_rate,env/n_steps,rollout/ep_len_mean,time/iterations,env/completion_counter,train/clip_range,train/n_updates,train/entropy_loss,train/loss,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/learning_rate
3497,0,2127,3000,-0.07222528,0.92,3000,1.34,50,0,0.2,490,-0.8563565909862518,-0.02106013149023056,-0.03281251165084544,0.10723587945103645,0.3596007227897644,0.13000000268220901,0.020018999,0.001
3564,0,2167,3060,-0.08349198999999999,0.91,3060,1.43,51,0,0.2,500,-0.710823929309845,-0.01936817541718483,-0.029840363841503858,0.09014470130205154,-0.009613633155822754,0.15333333611488342,0.021342421,0.001
3632,0,2210,3120,-0.09385271,0.89,3120,1.46,52,0,0.2,510,-0.8523152768611908,-0.029528364539146423,-0.041634860442330356,0.11154206395149231,0.15024566650390625,0.11166666895151138,0.021125762,0.001
3710,0,2253,3180,-0.08377701000000001,0.89,3180,1.42,53,0,0.2,520,-0.6445202112197876,-0.00901983305811882,-0.028179605317612655,0.10845774039626122,0.3091128468513489,0.13000000268220901,0.013850957,0.001
3787,0,2289,3240,-0.09395925999999999,0.89,3240,1.44,54,0,0.2,530,-0.7640619337558746,-0.02664124220609665,-0.025705029262850766,0.05209486521780491,0.49980616569519043,0.10000000335276127,0.008220324,0.001
3861,0,2337,3300,-0.08350554,0.91,3300,1.4,55,0,0.2,540,-0.7554994285106659,-0.00886911153793335,-0.034084417289122905,0.14052404463291168,0.36179792881011963,0.1300000011920929,0.023083543,0.001
3932,0,2383,3360,-0.06105328,0.95,3360,1.31,56,0,0.2,550,-0.9635534346103668,-0.017596308141946793,-0.03586130340273179,0.1032021053135395,-0.017726659774780273,0.4133333399891853,0.06888783,0.001
4010,0,2415,3420,-0.10321401000000002,0.9,3420,1.47,57,0,0.2,560,-0.8422122657299042,-0.0004649348556995392,-0.029919847349325936,0.10999888926744461,-0.2109586000442505,0.2816666685044765,0.011597665,0.001
4077,0,2458,3480,-0.14400412999999998,0.86,3480,1.52,58,0,0.2,570,-0.8945278227329254,-0.003410518169403076,-0.04129160309365645,0.18735760748386382,0.13653677701950073,0.12000000216066838,0.019020485,0.001
4143,0,2494,3540,-0.15743004,0.84,3540,1.59,59,0,0.2,580,-0.9931487202644348,0.0015039443969726562,-0.0396460594019542,0.16559505462646484,0.1702222228050232,0.2366666669026017,0.022850445,0.001
4210,0,2530,3600,-0.13882333000000002,0.85,3600,1.54,60,0,0.2,590,-0.8867989182472229,-0.0005690976977348328,-0.03315565388028818,0.16851291805505753,0.12353867292404175,0.2016666702926159,0.017328434,0.001
4285,0,2566,3660,-0.14024907999999997,0.86,3660,1.57,61,0,0.2,600,-0.9401327788829803,-0.022134874016046524,-0.04421206733211873,0.15859610512852668,0.12139338254928589,0.13000000193715094,0.016810495,0.001
4363,0,2606,3720,-0.15968386,0.84,3720,1.61,62,0,0.2,610,-0.9712757706642151,-0.07030647993087769,-0.05338408716643852,0.0926993127912283,0.34133076667785645,0.17333333678543567,0.027975602,0.001
4442,0,2651,3780,-0.10270409999999996,0.89,3780,1.43,63,0,0.2,620,-0.9624758422374725,-0.05376848205924034,-0.04936789321868371,0.13262092024087907,0.2755095958709717,0.21833333037793637,0.039123427,0.001
4513,0,2699,3840,-0.08091451999999999,0.92,3840,1.34,64,0,0.2,630,-0.9463860929012299,-0.03124281018972397,-0.04182363875210271,0.1126385822892189,-0.2883373498916626,0.20666666850447654,0.019980984,0.001
4583,0,2742,3900,-0.07226613,0.94,3900,1.31,65,0,0.2,640,-0.7229976654052734,-0.053674064576625824,-0.04678408512845635,0.08019848242402076,0.3324472904205322,0.16333333477377893,0.03123572,0.001
4652,0,2784,3960,-0.08433574999999999,0.93,3960,1.39,66,0,0.2,650,-0.8097606837749481,-0.04802461713552475,-0.0425714145352444,0.08565287105739117,0.28466689586639404,0.17333333604037762,0.030881895,0.001
4720,0,2835,4020,-0.05150346,0.96,4020,1.28,67,0,0.2,660,-0.920294439792633,-0.06497277319431305,-0.051641041959325305,0.07168345376849175,0.3850327134132385,0.2283333383500576,0.046573017,0.001
4789,0,2885,4080,-0.01918739,0.98,4080,1.19,68,0,0.2,670,-0.6025997340679169,-0.06376464664936066,-0.05100707211842135,0.0540044829249382,-0.18200206756591797,0.21166666895151137,0.07608651,0.001
4857,0,2928,4140,-0.04052292000000001,0.96,4140,1.32,69,0,0.2,680,-0.7479507446289062,-0.07116760313510895,-0.04430995243291056,0.008573005301877856,-57.646419525146484,0.26000000424683095,0.060685527,0.001
4925,0,2965,4200,-0.09320439,0.92,4200,1.4,70,0,0.2,690,-0.7161710202693939,-0.009825028479099274,-0.03859122322251416,0.0972575955092907,-0.015658140182495117,0.16000000350177288,0.052536152,0.001
5003,0,3012,4260,-0.10402964,0.9,4260,1.42,71,0,0.2,700,-1.0087851107120513,-0.022541306912899017,-0.05728304850558423,0.21001897603273392,0.06846988201141357,0.18166666775941848,0.036877327,0.001
5067,0,3058,4320,-0.08300914999999998,0.91,4320,1.32,72,0,0.2,710,-0.9586855173110962,-0.013322506099939346,-0.02599453480215743,0.10829179286956787,0.37151068449020386,0.16666667014360428,0.026563017,0.001
5136,0,3098,4380,-0.09299392000000001,0.9,4380,1.39,73,0,0.2,720,-0.7610068559646607,-0.00272170826792717,-0.04085733932132527,0.1497593455016613,-0.08097517490386963,0.12166666872799396,0.046828635,0.001
5204,0,3144,4440,-0.09096584999999999,0.91,4440,1.34,74,0,0.2,730,-0.6920785486698151,-0.03200981393456459,-0.04212461980680624,0.08981683999300002,0.2564733624458313,0.2966666668653488,0.036148105,0.001
