eval/success_rate,eval/mean_reward,env/n_steps,time/total_timesteps,env/completion_counter,env/current_idx,eval/mean_ep_length,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,time/fps,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/loss,train/approx_kl,train/value_loss,train/n_updates,train/clip_range,train/explained_variance
0.9,-0.10140465731266886,21600,21600,0,9760,1.62,,,,,,,0.001,-0.038999550566077235,-0.7407694244384766,0.17005681842565537,-0.017989642918109894,0.044847302,0.19196552097797392,355,0.2,0.1465798020362854
,,,21600,,,,-0.23031446,72,1.93,0.81,33758,0,,,,,,,,,,
0.94,-0.07371620134450495,21900,21900,0,9893,1.52,,,,,,,0.001,-0.035596691239625215,-0.7303786420822144,0.16437500059604646,-0.007560901343822479,0.035650168,0.16477668017148972,360,0.2,0.2383832335472107
,,,21900,,,,-0.30889508000000004,73,2.33,0.75,34218,0,,,,,,,,,,
0.94,-0.08537985561415554,22200,22200,0,10029,1.42,,,,,,,0.001,-0.023146383645944298,-0.6467338573932647,0.12267045497894287,0.029054652899503708,0.03535901,0.17510734856128693,365,0.2,0.29504603147506714
,,,22200,,,,-0.3148645,74,2.27,0.77,34687,0,,,,,,,,,,
0.9,-0.10118101532105356,22500,22500,0,10163,1.58,,,,,,,0.001,-0.019012130200862884,-0.6335725247859955,0.1688068190217018,-0.017844054847955704,0.02617013,0.15223732233047485,370,0.2,0.3616718053817749
,,,22500,,,,-0.21260642999999999,75,2.22,0.81,35142,0,,,,,,,,,,
0.94,-0.05069295894354582,22800,22800,0,10297,1.3,,,,,,,0.001,-0.0243053827714175,-0.6358292818069458,0.1424431821703911,0.05206824839115143,0.049576443,0.19082485854625703,375,0.2,-0.0013337135314941406
,,,22800,,,,-0.18647606,76,2.12,0.84,35604,0,,,,,,,,,,
0.92,-0.07712464188225568,23100,23100,0,10448,1.58,,,,,,,0.001,-0.02936296590603888,-0.6556874370574951,0.15278409093618392,-0.008457265794277191,0.023062184,0.15080437928438187,380,0.2,0.1738044023513794
,,,23100,,,,-0.19299437,77,2.03,0.85,36084,0,,,,,,,,,,
0.94,-0.03601579482667148,23400,23400,0,10577,1.4,,,,,,,0.001,-0.0350520983338356,-0.5910819292068481,0.1580681821703911,-0.011989448219537735,0.03251242,0.13879527688026427,385,0.2,0.2159886360168457
,,,23400,,,,-0.25072136000000006,78,2.3,0.79,36529,0,,,,,,,,,,
0.98,-0.031690390422008934,23700,23700,0,10717,1.36,,,,,,,0.001,-0.02719671428203583,-0.5906933808326721,0.12198863714933396,-0.0010043680667877197,0.024972558,0.1943371480703354,390,0.2,0.04115217924118042
,,,23700,,,,-0.23256942999999997,79,2.12,0.81,36980,0,,,,,,,,,,
0.94,-0.08197705194819718,24000,24000,0,10858,1.36,,,,,,,0.001,-0.02214194005355239,-0.4559327805042267,0.0844318187236786,0.05124766752123833,0.03364358,0.19976600408554077,395,0.2,0.13270604610443115
,,,24000,,,,-0.24731318999999996,80,2.18,0.8,37421,0,,,,,,,,,,
1.0,-0.00860748550388962,24300,24300,0,11011,1.16,,,,,,,0.001,-0.02718901551910676,-0.6295834708213807,0.12642045468091964,0.013305675238370895,0.029483784,0.19397450387477874,400,0.2,0.16386938095092773
,,,24300,,,,-0.16382422,81,1.98,0.84,37888,0,,,,,,,,,,
0.94,-0.07262009296100587,24600,24600,0,11157,1.32,,,,,,,0.001,-0.020760000217705965,-0.4566046679019928,0.15164772808551788,0.04228876158595085,0.035187,0.1881908655166626,405,0.2,-0.048182129859924316
,,,24600,,,,-0.24113504,82,2.04,0.81,38332,0,,,,,,,,,,
0.88,-0.09995345718227328,24900,24900,0,11302,1.6,,,,,,,0.001,-0.027906924225389956,-0.5334084522724152,0.11784090906381607,0.005196820944547653,0.030616555,0.15271196216344834,410,0.2,0.31302160024642944
,,,24900,,,,-0.23699244000000003,83,2.12,0.82,38804,0,,,,,,,,,,
0.96,-0.05140381986275315,25200,25200,0,11472,1.36,,,,,,,0.001,-0.02232401441782713,-0.5880864870548248,0.14119318187236785,0.030437929555773735,0.033597942,0.16601107150316238,415,0.2,0.2824956774711609
,,,25200,,,,-0.12390612999999999,84,1.79,0.89,39252,0,,,,,,,,,,
0.96,-0.04969060310628265,25500,25500,0,11624,1.26,,,,,,,0.001,-0.022700660498812794,-0.5415343773365021,0.15534090965986252,0.0134303979575634,0.043705504,0.16046298950910567,420,0.2,0.016382336616516113
,,,25500,,,,-0.18806202,85,1.9,0.85,39702,0,,,,,,,,,,
