rollout/success_rate,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,env/n_steps,env/current_idx,time/fps,time/total_timesteps,env/completion_counter,train/clip_range,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/loss,eval/success_rate,eval/mean_ep_length,eval/mean_reward
0.96,4488,1.25,120,-0.049868050000000004,3600,2656,0,3600,0,0.2,5950,5.714098636033782e-08,-7.156755164032802e-05,-68.97537231445312,0.003844777434132993,0.0,0.0,0.001,0.0001451686694053933,,,
0.94,4525,1.31,121,-0.06248548,3630,2682,0,3630,0,0.2,6000,-2.424716947135863e-07,-0.00020986654941225426,0.007902204990386963,0.087486143540591,0.0,0.0,0.001,0.006350622978061438,,,
0.95,4565,1.24,122,-0.05116210000000001,3660,2707,0,3660,0,0.2,6050,-5.821846383291529e-07,-0.00034941028512548657,-0.1457972526550293,0.018831849687267095,0.0,0.0,0.001,0.0009082319447770715,,,
0.94,4599,1.25,123,-0.062088210000000005,3690,2731,0,3690,0,0.2,6100,3.6954880067163743e-09,-9.514813544228673e-05,0.5359643697738647,0.03241963088512421,0.0,0.0,0.001,0.015075040981173515,,,
0.95,4632,1.22,124,-0.051802070000000006,3720,2755,0,3720,0,0.2,6150,-0.001239979695105511,-0.01924112929031253,0.7042886018753052,0.003553235975850839,0.02866666816174984,0.13846122,0.001,-0.0012950001982972026,,,
0.96,4667,1.22,125,-0.05174061,3750,2779,0,3750,0,0.2,6200,-3.8166840772291265e-07,-0.00018705210561165587,0.30417680740356445,0.015403961212723517,0.0,0.0,0.001,0.0001507904817117378,,,
0.95,4701,1.23,126,-0.052068539999999996,3780,2804,0,3780,0,0.2,6250,-2.7507642829327495e-06,-0.0003055972431320697,-0.4429405927658081,0.12063236683607101,0.0,0.0,0.001,0.035294946283102036,,,
0.96,4734,1.18,127,-0.040727189999999996,3810,2833,0,3810,0,0.2,6300,3.059704578589617e-09,-0.00015553996752714738,0.05302596092224121,0.030603994228877128,0.0,0.0,0.001,0.0007196178776212037,,,
0.94,4773,1.26,128,-0.05255063,3840,2851,0,3840,0,0.2,6350,-3.141085314098291e-05,-0.00041649245307780804,-1182.0191650390625,0.0011743708470021374,0.0,0.0,0.001,7.577480573672801e-06,,,
0.95,4804,1.22,129,-0.04022959,3870,2877,0,3870,0,0.2,6400,-1.5336215492824933e-05,-0.0004458877065917477,-0.09917223453521729,0.0725547617545817,0.0,5.165736e-08,0.001,0.00022136871120892465,,,
