time/total_timesteps,env/n_steps,time/time_elapsed,time/fps,env/current_idx,env/completion_counter,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/success_rate,time/iterations,train/entropy_loss,train/value_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/loss,train/clip_range,train/approx_kl,train/clip_fraction,eval/mean_ep_length,eval/mean_reward,eval/success_rate
59500,59500,179841,0,3643,9,-0.10960121999999999,1.31,0.97,595,-0.03977394457906484,0.14966740161180497,0.001,5940,-0.017523329187359236,0.2778649926185608,0.033772677183151245,0.2,0.0578244,0.03599999956786633,,,
59600,59600,179979,0,3742,9,-0.019633690000000002,1.01,1.0,596,-0.07562933452427387,0.21555065661668776,0.001,5950,-0.018824329676106588,0.5669596195220947,0.04097918048501015,0.2,0.10822499,0.06699999812990427,,,
59700,59700,180114,0,3831,9,-0.026184990000000005,1.08,1.0,597,-0.007194458181038499,0.03561466224491596,0.001,5960,0.00044652246515042293,-7.425621032714844,0.018067069351673126,0.2,1.25885e-06,0.0,,,
59800,59800,180237,0,3903,9,-0.11888902999999999,1.31,0.97,598,-0.035900944471359254,0.12286371439695358,0.001,5970,-0.0024527952745556194,-0.008287310600280762,0.04634174704551697,0.2,0.008657397,0.014999999664723873,,,
59900,59900,180380,0,4000,9,-0.01756438,1.03,1.0,599,-0.06473897062242032,0.2802146881818771,0.001,5980,-0.002439808300347046,0.6187919974327087,0.11890117079019547,0.2,0.007634412,0.033999998681247236,,,
60000,60000,,,4090,9,,,,,-0.014228278771042824,0.06072504371404648,0.001,5990,-0.004877779515226876,-3.746250629425049,0.001756894402205944,0.2,0.00014060378,0.0,1.24,-0.07999327944358811,0.98
60000,,180687,0,,,-0.04047491,1.1,0.99,600,,,,,,,,,,,,,
60100,60100,180818,0,4177,9,-0.04075829,1.13,0.99,601,-0.012353206612169742,0.12970727756619455,0.001,6000,-0.0055049256533384215,0.5508612394332886,0.044858261942863464,0.2,0.007729959,0.009999999776482582,,,
60200,60200,180947,0,4262,9,-0.045191539999999995,1.16,0.99,602,-0.01738759772852063,0.13277642726898192,0.001,6010,-0.007916842486243603,0.3616933822631836,0.04445982724428177,0.2,0.0006568372,0.003999999910593033,,,
60300,60300,181081,0,4347,9,-0.07095736,1.28,0.99,603,-0.03953357469290495,0.11977595835924149,0.001,6020,-0.010095482833683533,0.4545021057128906,0.04259290173649788,0.2,0.038137197,0.03399999830871821,,,
60400,60400,181209,0,4430,9,-0.04106799,1.17,1.0,604,-0.018873478658497332,0.11717257276177406,0.001,6030,-0.0014280688477157355,-0.35785531997680664,0.03859945014119148,0.2,0.00017999292,0.0,,,
60500,60500,181341,0,4517,9,-0.04682500000000002,1.11,0.99,605,-0.010634976625442504,0.08178282678127288,0.001,6040,-0.0026510060918518265,-0.04813802242279053,0.033938679844141006,0.2,0.0017315465,0.008999999798834323,,,
60600,60600,181468,0,4599,9,-0.05297702,1.21,1.0,606,-0.010924114426597954,0.07122825980186462,0.001,6050,-0.007392226548865466,0.6614551544189453,0.003386097028851509,0.2,0.033987902,0.009999999776482582,,,
60700,60700,181596,0,4686,9,-0.04242508999999999,1.13,0.99,607,-0.031815818324685094,0.08400935009121895,0.001,6060,-0.009620880871079863,-0.25190913677215576,0.021971506997942924,0.2,0.010880423,0.009999999776482582,,,
60800,60800,181716,0,4765,9,-0.07285087,1.23,0.98,608,-0.049192135035991666,0.08272849991917611,0.001,6070,-0.010550815328955566,0.6036126017570496,0.019864104688167572,0.2,0.01586015,0.039999999664723875,,,
60900,60900,181842,0,4857,9,-0.028511320000000003,1.08,1.0,609,-0.029232924338430166,0.22566981613636017,0.001,6080,-0.006953016537358048,0.3899053931236267,0.07807780057191849,0.2,0.06012331,0.030999999679625034,,,
61000,61000,,,4936,9,,,,,-0.01696633445098996,0.05822936557233334,0.001,6090,-0.0065596894286571224,-6.528651237487793,0.012776758521795273,0.2,0.018903494,0.014999999664723873,1.11,-0.03171338750049472,1.0
61000,,182128,0,,,-0.0670921,1.24,0.99,610,,,,,,,,,,,,,
61100,61100,182250,0,5,10,-0.10330120000000001,1.4,0.98,611,-0.025508157536387445,0.12977662086486816,0.001,6100,-0.006546354154124856,0.5485101342201233,0.05175451934337616,0.2,0.006557919,0.018999999575316905,,,
61200,61200,182387,0,91,10,-0.08945966,1.33,0.98,612,-0.09580811485648155,0.18871326446533204,0.001,6110,-0.012024180408567276,0.5229242444038391,0.06777534633874893,0.2,0.09082918,0.09399999640882015,,,
61300,61300,182520,0,178,10,-0.05221711000000001,1.14,0.99,613,-0.05924953855574131,0.054041289165616034,0.001,6120,-0.005024321762844952,0.7314920425415039,0.01277624536305666,0.2,0.012573856,0.04999999888241291,,,
61400,61400,182648,0,264,10,-0.03601196,1.15,1.0,614,-0.04375331290066242,0.09320953860878944,0.001,6130,-0.03283371788263327,0.6607580184936523,-0.0015620589256286621,0.2,0.36441225,0.07599999681115151,,,
61500,61500,182784,0,360,10,-0.01697502,1.03,1.0,615,-0.08396681249141694,0.03555349260568619,0.001,6140,-0.01780729651451125,-0.6425158977508545,-0.007894258946180344,0.2,0.061615437,0.07499999776482583,,,
61600,61600,182922,0,442,10,-0.06024547000000001,1.21,0.99,616,-0.030462311021983622,0.02470827251672745,0.001,6150,-0.008578042805194742,-6.270312309265137,-0.0010854154825210571,0.2,0.064350314,0.041999997571110725,,,
61700,61700,183053,0,509,10,-0.10833056,1.34,0.97,617,-0.06324650570750237,0.12710369005799294,0.001,6160,-0.030299580171704577,0.10150635242462158,-0.010873578488826752,0.2,0.24080996,0.09799999948590994,,,
61800,61800,183186,0,598,10,-0.05067688000000001,1.13,0.99,618,-0.08366771042346954,0.24462243616580964,0.001,6170,-0.007116409576497951,0.5200809240341187,0.07310958206653595,0.2,0.05869599,0.06699999943375587,,,
61900,61900,183310,0,680,10,-0.05949969,1.18,0.99,619,-0.09150567203760147,0.17378633916378022,0.001,6180,-0.02733271340280772,0.2832639813423157,0.035701874643564224,0.2,0.042237263,0.08699999824166298,,,
62000,62000,,,766,10,,,,,-0.06790311709046364,0.13675321266055107,0.001,6190,-0.005844050527550238,0.47342389822006226,0.04008159041404724,0.2,0.0032438778,0.019999999552965164,1.35,-0.10425381327047945,0.97
62000,,183622,0,,,-0.028807009999999997,1.1,1.0,620,,,,,,,,,,,,,
62100,62100,183757,0,834,10,-0.12363961999999999,1.41,0.97,621,-0.041609156876802444,0.08001598417758941,0.001,6200,-0.013844979319721418,0.13664180040359497,0.011991852894425392,0.2,0.054041803,0.03299999907612801,,,
62200,62200,183884,0,921,10,-0.03741941,1.13,1.0,622,-0.12373415231704712,0.34493838250637054,0.001,6210,-0.015103271652013106,0.2529563903808594,0.11743150651454926,0.2,0.019649481,0.05099999811500311,,,
62300,62300,184006,0,1000,10,-0.042012409999999986,1.15,0.99,623,-0.030094169639050962,0.11702954843640327,0.001,6220,-0.00923194472491673,-2.4991488456726074,0.029501914978027344,0.2,0.0087963035,0.008999999798834323,,,
62400,62400,184133,0,1077,10,-0.07840881,1.32,0.99,624,-0.04647828489542007,0.16793269664049149,0.001,6230,-0.0052753518661482705,0.6666653156280518,0.04081212729215622,0.2,0.0029433786,0.008999999798834323,,,
