eval/mean_reward,env/n_steps,env/current_idx,eval/success_rate,time/total_timesteps,eval/mean_ep_length,env/completion_counter,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/iterations,train/explained_variance,train/learning_rate,train/value_loss,train/clip_fraction,train/entropy_loss,train/loss,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/clip_range
-0.11008953974582254,2130,1222,0.88,2130,1.32,0,,,,,,,0.14373397827148438,0.001,0.17968285381793975,0.05000000260770321,-0.47992958724498747,0.04063132405281067,700,-0.014231590608445366,0.02128258,0.2
,,,,2130,,,8274,1.69,0,-0.25202883,0.69,71,,,,,,,,,,
-0.11176886577624828,2160,1239,0.9,2160,1.26,0,,,,,,,0.33707094192504883,0.001,0.13301990628242494,0.046666669100522994,-0.3058179184794426,0.03131327033042908,710,-0.01187653720844537,0.019421702,0.2
,,,,2160,,,8407,1.7,0,-0.24991159000000004,0.68,72,,,,,,,,,,
-0.05090986295137554,2190,1260,0.88,2190,1.32,0,,,,,,,-0.0757828950881958,0.001,0.20193426609039306,0.0,-0.19312640875577927,0.06929859519004822,720,-0.0012386415230382752,5.8120488e-05,0.2
,,,,2190,,,8537,1.62,0,-0.24863489000000003,0.72,73,,,,,,,,,,
-0.1315422155894339,2220,1278,0.8,2220,1.46,0,,,,,,,0.03076159954071045,0.001,0.19316063076257706,0.053333336114883424,-0.1431250624358654,0.050919536501169205,730,-0.010981522804747046,0.054141957,0.2
,,,,2220,,,8665,1.6,0,-0.25793517,0.74,74,,,,,,,,,,
-0.048738983534276484,2250,1298,0.94,2250,1.12,0,,,,,,,0.08540648221969604,0.001,0.15992797762155533,0.0,-0.12539247423410416,0.060798488557338715,740,-0.00037298003645753753,4.609426e-06,0.2
,,,,2250,,,8774,1.54,0,-0.2053886,0.79,75,,,,,,,,,,
-0.028863277276977895,2280,1319,0.94,2280,1.2,0,,,,,,,0.07252311706542969,0.001,0.1589589722454548,0.026666668057441712,-0.14073885530233382,0.053938474506139755,750,-0.0052631920498485306,0.014947021,0.2
,,,,2280,,,8895,1.55,0,-0.21606730000000002,0.78,76,,,,,,,,,,
-0.06988906489219517,2310,1340,0.92,2310,1.24,0,,,,,,,-0.0004036426544189453,0.001,0.2252160742878914,0.023333334550261497,-0.18526526987552644,0.08435358107089996,760,-0.0019017230901711812,0.024369277,0.2
,,,,2310,,,9014,1.49,0,-0.18945378000000002,0.82,77,,,,,,,,,,
-0.06848827662877738,2340,1359,0.92,2340,1.18,0,,,,,,,-0.09829401969909668,0.001,0.19641166627407075,0.046666669100522994,-0.17038494646549224,0.05857478454709053,770,-0.008677038631091528,0.032046065,0.2
,,,,2340,,,9132,1.51,0,-0.20320257000000005,0.81,78,,,,,,,,,,
-0.04798906711861491,2370,1378,0.94,2370,1.14,0,,,,,,,0.1954290270805359,0.001,0.2247707113623619,0.0,-0.12464081197977066,0.10899370908737183,780,-4.714022018497133e-05,4.40677e-06,0.2
,,,,2370,,,9241,1.5,0,-0.2267637,0.79,79,,,,,,,,,,
-0.07112417875789107,2400,1395,0.94,2400,1.2,0,,,,,,,0.24791014194488525,0.001,0.20791418999433517,0.0,-0.12295881658792496,0.07894546538591385,790,-9.056269992768762e-05,3.616015e-07,0.2
,,,,2400,,,9363,1.54,0,-0.26048431,0.76,80,,,,,,,,,,
-0.0919448371231556,2430,1412,0.9,2430,1.22,0,,,,,,,0.24240708351135254,0.001,0.19654277563095093,0.05000000074505806,-0.11374165192246437,0.07015211135149002,800,-0.008880108956169863,0.013853679,0.2
,,,,2430,,,9478,1.61,0,-0.30727114,0.72,81,,,,,,,,,,
-0.09186406659893692,2460,1431,0.9,2460,1.28,0,,,,,,,0.3211156129837036,0.001,0.20206450372934343,0.0,-0.06901359185576439,0.09114201366901398,810,-6.79912177535158e-05,4.0133796e-06,0.2
,,,,2460,,,9603,1.65,0,-0.30162763000000004,0.7,82,,,,,,,,,,
-0.027543140025809407,2490,1447,0.96,2490,1.1,0,,,,,,,-0.06467127799987793,0.001,0.23016875684261323,0.0,-0.058955943956971166,0.07584740966558456,820,1.5258391525407866e-05,2.2649765e-07,0.2
,,,,2490,,,9716,1.68,0,-0.31557056,0.69,83,,,,,,,,,,
-0.06889730968512595,2520,1469,0.94,2520,1.16,0,,,,,,,0.35956400632858276,0.001,0.2550180718302727,0.0,-0.06476520895957946,0.07052808254957199,830,-1.7373760273020623e-05,4.3710074e-08,0.2
,,,,2520,,,9827,1.69,0,-0.2804833,0.69,84,,,,,,,,,,
-0.06901885334402323,2550,1487,0.92,2550,1.24,0,,,,,,,-0.47282421588897705,0.001,0.29796748161315917,0.0,-0.056386341154575345,0.08601736277341843,840,-1.7308692270745497e-05,1.1920929e-08,0.2
,,,,2550,,,9951,1.64,0,-0.22301500999999999,0.72,85,,,,,,,,,,
-0.13267921131104232,2580,1504,0.88,2580,1.28,0,,,,,,,0.2082768678665161,0.001,0.16701053977012634,0.0,-0.05427842028439045,0.07134462147951126,850,-8.435845353860216e-06,0.0,0.2
,,,,2580,,,10068,1.66,0,-0.23871306999999997,0.72,86,,,,,,,,,,
-0.07178845223039389,2610,1519,0.94,2610,1.14,0,,,,,,,0.2037113904953003,0.001,0.21496235132217406,0.0,-0.05564653798937798,0.09304502606391907,860,-3.2983322333635104e-05,2.7815501e-08,0.2
,,,,2610,,,10271,1.66,0,-0.20908172,0.72,87,,,,,,,,,,
-0.06915293599944562,2640,1539,0.92,2640,1.2,0,,,,,,,-0.13435566425323486,0.001,0.22592130303382874,0.0,-0.05823528468608856,0.09377004206180573,870,-4.7352611004480846e-05,3.576279e-08,0.2
