env/current_idx,eval/mean_reward,eval/mean_ep_length,eval/success_rate,time/total_timesteps,env/n_steps,env/completion_counter,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/success_rate,time/iterations,train/policy_gradient_loss,train/loss,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_range,train/clip_fraction,train/n_updates,train/value_loss,train/approx_kl
,,,,36900,,,-0.20355576,0,1.67,55198,0.76,123,,,,,,,,,,
22176,-0.04944597530644387,1.16,0.94,37200,37200,0,,,,,,,-0.009725894303119275,0.0272623710334301,-0.1369515573605895,0.14685821533203125,0.001,0.2,0.039098012074828145,1230,0.18744012862443923,0.030482585
,,,,37200,,,-0.16934865000000002,0,1.6,55620,0.75,124,,,,,,,,,,
22351,-0.06777690572664141,1.14,0.94,37500,37500,0,,,,,,,-0.009819141533807852,0.06491633504629135,-0.12515780963003637,0.10878646373748779,0.001,0.2,0.036345881223678586,1240,0.15874445289373398,0.011767954
,,,,37500,,,-0.27185254999999997,0,1.67,56028,0.69,125,,,,,,,,,,
22540,-0.1316493808105588,1.36,0.84,37800,37800,0,,,,,,,-0.010369092554901727,0.03779330104589462,-0.15605605505406855,0.24154579639434814,0.001,0.2,0.06521662026643753,1250,0.17818362973630428,0.011014044
,,,,37800,,,-0.29989593000000003,0,1.67,56488,0.71,126,,,,,,,,,,
22717,-0.09149198908358812,1.28,0.92,38100,38100,0,,,,,,,-0.013483263604575768,0.077263742685318,-0.1727571565657854,0.21165823936462402,0.001,0.2,0.07112926244735718,1260,0.19563965275883674,0.024183866
,,,,38100,,,-0.30918963999999993,0,1.71,56914,0.67,127,,,,,,,,,,
22909,-0.17669980401173235,1.42,0.8,38400,38400,0,,,,,,,-0.010611926086130551,0.06325891613960266,-0.20058928094804288,0.23595017194747925,0.001,0.2,0.0569247167557478,1270,0.17337645143270491,0.021552186
,,,,38400,,,-0.18163335,0,1.48,57342,0.81,128,,,,,,,,,,
23093,-0.11073960034176707,1.34,0.86,38700,38700,0,,,,,,,-0.016709661256027176,0.016902919858694077,-0.17402101829648017,0.16392558813095093,0.001,0.2,0.06168323941528797,1280,0.17259893119335173,0.023829542
,,,,38700,,,-0.31479991999999996,0,1.76,57771,0.67,129,,,,,,,,,,
