eval/mean_ep_length,eval/success_rate,time/total_timesteps,env/completion_counter,env/current_idx,eval/mean_reward,env/n_steps,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,rollout/success_rate,rollout/ep_len_mean,train/approx_kl,train/clip_range,train/learning_rate,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/value_loss,train/loss
1.34,0.94,19800,0,9756,-0.08048669865354896,19800,,,,,,,0.0,0.2,0.001,325,-0.029474017955362797,-8.218498379619632e-08,0.13575983047485352,0.0,0.18940738588571548,0.0864749327301979
,,19800,,,,,-0.19937726999999994,0,29439,66,0.82,2.07,,,,,,,,,,
1.68,0.88,20100,0,9906,-0.1365236791037023,20100,,,,,,,4.2523345e-05,0.2,0.001,330,-0.027625050954520704,-0.0003451279208427138,0.21114665269851685,0.0,0.17537361904978752,0.05710479989647865
,,20100,,,,,-0.17661821999999996,0,29893,67,0.87,1.76,,,,,,,,,,
1.42,0.96,20400,0,10063,-0.05763334762305021,20400,,,,,,,0.0,0.2,0.001,335,-0.02473778836429119,-2.3761424472468208e-08,0.25440841913223267,0.0,0.21134485751390458,0.08672583103179932
,,20400,,,,,-0.18978994,0,30320,68,0.86,1.91,,,,,,,,,,
1.4,0.94,20700,0,10215,-0.08544524994678795,20700,,,,,,,3.350142e-05,0.2,0.001,340,-0.022788984701037407,-0.0001945722239641512,0.2831125855445862,0.0,0.20149777829647064,0.09808627516031265
,,20700,,,,,-0.20792760000000002,0,30739,69,0.83,1.92,,,,,,,,,,
1.58,0.92,21000,0,10371,-0.09416558674536646,21000,,,,,,,0.0,0.2,0.001,345,-0.020994421280920505,6.180595812921297e-09,0.2922748923301697,0.0,0.19174068570137023,0.0691494271159172
,,21000,,,,,-0.2600532,0,31188,70,0.77,2.04,,,,,,,,,,
1.22,0.98,21300,0,10508,-0.029081722553819418,21300,,,,,,,0.0,0.2,0.001,350,-0.020246361382305622,2.3096799761646025e-08,0.1461295485496521,0.0,0.21021828800439835,0.10470633208751678
,,21300,,,,,-0.24841379,0,31591,71,0.8,2.12,,,,,,,,,,
1.36,0.94,21600,0,10695,-0.07070353467483073,21600,,,,,,,8.944538e-06,0.2,0.001,355,-0.019687133841216564,-0.00016637297283681463,0.13297230005264282,0.0,0.20158729553222657,0.07674246281385422
,,21600,,,,,-0.10990419000000001,0,32063,72,0.9,1.6,,,,,,,,,,
1.46,0.96,21900,0,10864,-0.05225270273163915,21900,,,,,,,0.0,0.2,0.001,360,-0.01817730497568846,-3.2418492512675814e-08,0.33783066272735596,0.0,0.1396027199923992,0.07831566035747528
,,21900,,,,,-0.12708984000000004,0,32524,73,0.89,1.78,,,,,,,,,,
1.24,0.96,22200,0,11016,-0.05047248413786292,22200,,,,,,,1.790602e-05,0.2,0.001,365,-0.017237785644829272,-8.862720455899975e-05,0.17746084928512573,0.0,0.18688372820615767,0.06360195577144623
,,22200,,,,,-0.22427158000000003,0,32964,74,0.84,2.0,,,,,,,,,,
1.2,0.98,22500,0,11165,-0.031441857567988334,22500,,,,,,,0.0,0.2,0.001,370,-0.01639870386570692,3.705182116675587e-08,0.2801016569137573,0.0,0.18757879883050918,0.08916664868593216
,,22500,,,,,-0.21287892999999997,0,33431,75,0.81,1.91,,,,,,,,,,
1.22,0.98,22800,0,11296,-0.029168057050555946,22800,,,,,,,0.0,0.2,0.001,375,-0.016021641716361047,2.996107131281178e-08,0.3541790246963501,0.0,0.17377694100141525,0.06696317344903946
,,22800,,,,,-0.33336108000000003,0,33855,76,0.74,2.33,,,,,,,,,,
1.24,0.96,23100,0,11426,-0.05209342825692147,23100,,,,,,,1.3384735e-05,0.2,0.001,380,-0.01627790704369545,-8.696245680450687e-05,0.28624582290649414,0.0,0.18933963477611543,0.0949501022696495
,,23100,,,,,-0.2967032699999999,0,34287,77,0.75,2.42,,,,,,,,,,
1.2,0.96,23400,0,11591,-0.05029295336920768,23400,,,,,,,5.526154e-05,0.2,0.001,385,-0.018478528037667273,-0.0002697534605184959,0.23542433977127075,0.000390625,0.18361983001232146,0.08154713362455368
,,23400,,,,,-0.19758306999999994,0,34713,78,0.84,1.86,,,,,,,,,,
1.52,0.9,23700,0,11745,-0.11425624446943403,23700,,,,,,,0.0,0.2,0.001,390,-0.02028365395963192,-2.0099634756576278e-08,0.25396084785461426,0.0,0.1992609441280365,0.07561060786247253
