eval/mean_ep_length,eval/success_rate,env/current_idx,env/n_steps,time/total_timesteps,eval/mean_reward,env/completion_counter,time/fps,time/iterations,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/clip_range,train/clip_fraction,train/loss,train/explained_variance,train/approx_kl
1.3,0.92,10971,19200,19200,-0.08988246786873788,0,,,,,,,-0.04052717805607244,0.001,0.15555163137614728,630,-0.7454026967287064,0.2,0.15126065388321877,-0.015741534531116486,0.22199660539627075,0.040373087
,,,,19200,,,0,64,0.73,1.65,28398,-0.27562687,,,,,,,,,,
1.24,0.9,11147,19500,19500,-0.08916151008103043,0,,,,,,,-0.03350196849787608,0.001,0.1721855692565441,640,-0.6646735221147537,0.2,0.13227983117103576,0.010828357189893723,0.25412678718566895,0.028280534
,,,,19500,,,0,65,0.72,1.65,28837,-0.28936124,,,,,,,,,,
1.14,0.94,11316,19800,19800,-0.0683360134670511,0,,,,,,,-0.03820838403189555,0.001,0.1643462661653757,650,-0.6228362917900085,0.2,0.16629971712827682,-0.003975521773099899,0.25095945596694946,0.03552363
,,,,19800,,,0,66,0.69,1.76,29257,-0.28982216,,,,,,,,,,
1.26,0.88,11485,20100,20100,-0.09229781667236239,0,,,,,,,-0.02821327621350065,0.001,0.16874845139682293,660,-0.6016875118017196,0.2,0.12093394957482814,0.006401080638170242,0.16504698991775513,0.021961942
,,,,20100,,,0,67,0.65,1.86,29709,-0.31461854,,,,,,,,,,
1.34,0.86,11669,20400,20400,-0.09257352860644459,0,,,,,,,-0.031200273102149366,0.001,0.17177592888474463,670,-0.6174894079566002,0.2,0.13119673430919648,0.020828869193792343,0.12800133228302002,0.022638284
,,,,20400,,,0,68,0.75,1.64,30135,-0.21840838,,,,,,,,,,
1.22,0.92,11849,20700,20700,-0.03259648478589952,0,,,,,,,-0.022526253889373037,0.001,0.1746343992650509,680,-0.5481995314359664,0.2,0.08684304021298886,0.03904883936047554,0.11596459150314331,0.03210141
,,,,20700,,,0,69,0.74,1.71,30568,-0.20939714,,,,,,,,,,
1.32,0.86,12021,21000,21000,-0.09011351598892361,0,,,,,,,-0.02803528672084212,0.001,0.1613705661147833,690,-0.585492430627346,0.2,0.09525923430919647,0.04882563650608063,0.09784430265426636,0.03904697
,,,,21000,,,0,70,0.69,1.73,30996,-0.29115048,,,,,,,,,,
1.28,0.9,12196,21300,21300,-0.051601129164919254,0,,,,,,,-0.03210295549361035,0.001,0.17600917741656302,700,-0.5930089592933655,0.2,0.1807350855320692,0.0063256509602069855,0.21758073568344116,0.027506853
,,,,21300,,,0,71,0.66,1.79,31436,-0.31848367,,,,,,,,,,
1.32,0.88,12372,21600,21600,-0.09020596152171492,0,,,,,,,-0.03454017497133464,0.001,0.1752878226339817,710,-0.4722563669085503,0.2,0.1303444616496563,0.01872948557138443,0.228632390499115,0.021496942
,,,,21600,,,0,72,0.7,1.71,31856,-0.25019845,,,,,,,,,,
1.3,0.9,12563,21900,21900,-0.08967792966403067,0,,,,,,,-0.03856006211135536,0.001,0.17369601503014565,720,-0.5664903685450554,0.2,0.15289417766034602,0.011886514723300934,0.16079187393188477,0.065232754
,,,,21900,,,0,73,0.77,1.61,32301,-0.23797817999999998,,,,,,,,,,
1.34,0.86,12739,22200,22200,-0.11507613742258399,0,,,,,,,-0.029945027522626334,0.001,0.1642341185361147,730,-0.5411467477679253,0.2,0.10841619484126568,0.0029004476964473724,0.18149703741073608,0.035759814
,,,,22200,,,0,74,0.7,1.72,32764,-0.25428345,,,,,,,,,,
1.26,0.9,12914,22500,22500,-0.08947985504753887,0,,,,,,,-0.030839979394659166,0.001,0.16456074602901935,740,-0.5223102048039436,0.2,0.1327947448939085,0.00815366581082344,0.09485435485839844,0.019554604
,,,,22500,,,0,75,0.7,1.72,33215,-0.24392039999999998,,,,,,,,,,
1.18,0.94,13089,22800,22800,-0.06830597304739058,0,,,,,,,-0.028395679546520114,0.001,0.1609030354768038,750,-0.5157819449901581,0.2,0.11306818313896656,0.040273942053318024,0.05793201923370361,0.02643843
,,,,22800,,,0,76,0.74,1.68,33668,-0.25257421,,,,,,,,,,
1.38,0.82,13262,23100,23100,-0.17118612561374902,0,,,,,,,-0.03015723730204627,0.001,0.17063314840197563,760,-0.49232545495033264,0.2,0.13178267180919648,0.027326621115207672,0.16944819688796997,0.029712718
,,,,23100,,,0,77,0.72,1.67,34106,-0.26450343,,,,,,,,,,
1.22,0.92,13456,23400,23400,-0.0702128544356674,0,,,,,,,-0.03161676774034276,0.001,0.1690775215625763,770,-0.5746483400464057,0.2,0.11807528473436832,0.004855867475271225,0.19248813390731812,0.055616237
,,,,23400,,,0,78,0.73,1.68,34553,-0.23333108999999996,,,,,,,,,,
1.34,0.86,13641,23700,23700,-0.13035408451221883,0,,,,,,,-0.03957216222188435,0.001,0.1564859952777624,780,-0.5665466859936714,0.2,0.14392755702137947,0.009603172540664673,0.025367021560668945,0.02571398
