env/n_steps,env/completion_counter,env/current_idx,eval/mean_ep_length,time/total_timesteps,eval/success_rate,eval/mean_reward,time/iterations,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,time/fps,time/time_elapsed,train/approx_kl,train/learning_rate,train/explained_variance,train/value_loss,train/clip_range,train/loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/policy_gradient_loss
20100,0,11847,1.24,20100,0.9,-0.06991334644146263,,,,,,,0.024481053,0.001,0.2538831830024719,0.15345483601093293,0.2,0.04241786524653435,0.08000000059604645,330,-0.3261026877164841,-0.01695147041231394
,,,,20100,,,67,-0.22867776000000004,0.75,1.61,0,29759,,,,,,,,,,
20400,0,12033,1.14,20400,0.96,-0.028004486747086048,,,,,,,0.023111349,0.001,0.0425451397895813,0.18222804963588715,0.2,0.04764038696885109,0.07301136404275894,335,-0.33454215943813326,-0.01689409527927637
,,,,20400,,,68,-0.23622906,0.77,1.55,0,30177,,,,,,,,,,
20700,0,12228,1.34,20700,0.84,-0.09109258405864239,,,,,,,0.014729755,0.001,0.13527226448059082,0.1707010778784752,0.2,0.058814048767089844,0.08926136434078216,340,-0.1616963678598404,-0.002483881916850805
,,,,20700,,,69,-0.23072172999999999,0.8,1.47,0,30596,,,,,,,,,,
21000,0,12409,1.2,21000,0.92,-0.029379835249856115,,,,,,,0.011320994,0.001,0.16589277982711792,0.16281714051961899,0.2,0.05123871564865112,0.05579545497894287,345,-0.3493135535717011,-0.012821676135063171
,,,,21000,,,70,-0.18148083000000004,0.78,1.58,0,31011,,,,,,,,,,
21300,0,12591,1.12,21300,0.96,-0.04925990257412195,,,,,,,0.013689062,0.001,0.159251868724823,0.1561925905942917,0.2,0.0348781943321228,0.05931818217039108,350,-0.3049646401405334,-0.014458663761615753
,,,,21300,,,71,-0.27391257,0.71,1.73,0,31441,,,,,,,,,,
21600,0,12770,1.3,21600,0.86,-0.11552493597846478,,,,,,,0.031260166,0.001,0.16567933559417725,0.16998325854539872,0.2,0.07947792857885361,0.06426136404275894,355,-0.3170336925983429,-0.01035708273295313
,,,,21600,,,72,-0.32347338000000003,0.65,1.78,0,31868,,,,,,,,,,
21900,0,12947,1.26,21900,0.9,-0.09195187357719987,,,,,,,0.014099089,0.001,0.20761001110076904,0.16066914290189743,0.2,0.014949291944503784,0.0851136365532875,360,-0.40195794582366945,-0.01543186454102397
