eval/mean_ep_length,time/total_timesteps,eval/mean_reward,eval/success_rate,env/completion_counter,env/n_steps,env/current_idx,time/iterations,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/success_rate,train/entropy_loss,train/n_updates,train/policy_gradient_loss,train/value_loss,train/clip_range,train/approx_kl,train/loss,train/explained_variance,train/clip_fraction,train/learning_rate
1.12,24300,-0.007451763865537942,0.98,0,24300,14439,,,,,,,-0.06066418260335922,400,-5.369031986990791e-05,0.2127782618999481,0.2,4.1043386e-06,0.07180478423833847,0.07400476932525635,0.0,0.0001
,24300,,,,,,81,36920,0,-0.18417564999999997,1.49,0.78,,,,,,,,,,
1.1,24600,-0.031069308575242757,0.96,0,24600,14625,,,,,,,-0.058205084949731825,405,-0.00043836416507318175,0.18719901144504547,0.2,2.90405e-05,0.06902450323104858,0.13890117406845093,0.0,0.0001
,24600,,,,,,82,37349,0,-0.21811918000000002,1.55,0.76,,,,,,,,,,
1.1,24900,-0.007312128008343279,0.98,0,24900,14816,,,,,,,-0.05563528761267662,410,-1.5216964212356744e-05,0.18788260400295256,0.2,9.5181167e-07,0.09567844867706299,0.1916048526763916,0.0,0.0001
,24900,,,,,,83,37780,0,-0.29561876000000004,1.69,0.68,,,,,,,,,,
1.26,25200,-0.07214669885113835,0.92,0,25200,15017,,,,,,,-0.05506375804543495,415,-9.571037170587715e-05,0.17554344177246095,0.2,5.001202e-06,0.06394948065280914,0.21780270338058472,0.0,0.0001
,25200,,,,,,84,38226,0,-0.128871,1.46,0.81,,,,,,,,,,
1.28,25500,-0.09153002430684865,0.88,0,25500,15202,,,,,,,-0.05374589964747429,420,1.2821714309154686e-05,0.15050505936145783,0.2,6.360933e-07,0.0753018707036972,0.22343742847442627,0.0,0.0001
,25500,,,,,,85,38714,0,-0.29198007000000004,1.74,0.67,,,,,,,,,,
1.18,25800,-0.032252039639279244,0.92,0,25800,15375,,,,,,,-0.05403678447008133,425,-2.052596325725631e-05,0.17978169679641723,0.2,2.0323152e-07,0.07469169050455093,0.22125577926635742,0.0,0.0001
,25800,,,,,,86,39138,0,-0.26834392,1.79,0.66,,,,,,,,,,
1.18,26100,-0.08871904844418169,0.92,0,26100,15560,,,,,,,-0.05408404663205147,430,6.095916660342482e-11,0.19408704042434693,0.2,0.0,0.07710862904787064,0.15981531143188477,0.0,0.0001
,26100,,,,,,87,39599,0,-0.29083979,1.64,0.72,,,,,,,,,,
1.22,26400,-0.048982812580652534,0.94,0,26400,15745,,,,,,,-0.052968199849128726,435,-0.00030776596514520805,0.17796760350465773,0.2,2.5460497e-05,0.09629847854375839,0.29085445404052734,0.0,0.0001
,26400,,,,,,88,40036,0,-0.24781012999999993,1.64,0.74,,,,,,,,,,
