env/completion_counter,eval/mean_reward,env/current_idx,eval/mean_ep_length,time/total_timesteps,env/n_steps,eval/success_rate,time/fps,rollout/success_rate,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_range,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/explained_variance,train/loss,train/value_loss,train/approx_kl
0,-0.07453259439207613,6779,1.54,15000,15000,0.92,,,,,,,0.2,0.07659090965986252,-0.4022229528427124,-0.01962078241398558,245,0.001,0.21823900938034058,0.021659336984157562,0.14980248987674713,0.015345198
,,,,15000,,,0,0.82,50,22714,2.1,-0.20031410000000002,,,,,,,,,,
0,-0.028822094332426787,6938,1.18,15300,15300,0.98,,,,,,,0.2,0.11460227340459823,-0.39405361652374266,-0.020654604658484458,250,0.001,0.29893016815185547,0.01597873494029045,0.13683075577020645,0.032042928
,,,,15300,,,0,0.79,51,23159,2.04,-0.23410967,,,,,,,,,,
0,-0.05423447429202497,7091,1.42,15600,15600,0.96,,,,,,,0.2,0.09914772778749466,-0.4292142462730408,-0.016964370012283327,255,0.001,0.08709877729415894,0.011388126760721207,0.1669749289751053,0.022419289
,,,,15600,,,0,0.91,52,23645,1.77,-0.10919795,,,,,,,,,,
0,-0.05009028275031596,7252,1.26,15900,15900,0.96,,,,,,,0.2,0.0981818187236786,-0.43927852272987367,-0.018061068914830683,260,0.001,0.05363661050796509,0.028219321742653847,0.1447971260547638,0.024462074
,,,,15900,,,0,0.81,53,24082,1.95,-0.22618588999999997,,,,,,,,,,
0,-0.07164637731853872,7409,1.34,16200,16200,0.94,,,,,,,0.2,0.0893181824684143,-0.40399614453315735,-0.018369042295962573,265,0.001,-0.01020503044128418,0.009816925972700119,0.17533503860235214,0.031577427
,,,,16200,,,0,0.84,54,24615,1.88,-0.19105037999999996,,,,,,,,,,
0,-0.09651599575765431,7565,1.52,16500,16500,0.9,,,,,,,0.2,0.09801136404275894,-0.5886008727550507,-0.02124157840386033,270,0.001,0.16165024042129517,0.021715255454182625,0.14529549032449723,0.011192727
,,,,16500,,,0,0.86,55,25060,1.98,-0.17643830000000002,,,,,,,,,,
0,-0.06163569176569581,7704,1.56,16800,16800,0.92,,,,,,,0.2,0.12221590995788574,-0.5100737738609314,-0.023718313314020634,275,0.001,-0.053392648696899414,0.007791109383106232,0.1743639099597931,0.035224337
,,,,16800,,,0,0.78,56,25509,2.17,-0.21663175000000007,,,,,,,,,,
0,-0.09333340311422944,7844,1.46,17100,17100,0.92,,,,,,,0.2,0.08346590965986252,-0.49266770243644714,-0.015518751665949822,280,0.001,0.18942797183990479,0.018598992377519608,0.14755889177322387,0.022029085
,,,,17100,,,0,0.79,57,25948,2.17,-0.2508680099999999,,,,,,,,,,
