rollout/ep_len_mean,time/iterations,time/total_timesteps,time/fps,time/time_elapsed,env/completion_counter,rollout/ep_rew_mean,env/current_idx,env/n_steps,rollout/success_rate,train/policy_gradient_loss,train/n_updates,train/value_loss,train/clip_fraction,train/explained_variance,train/entropy_loss,train/loss,train/approx_kl,train/clip_range,train/learning_rate,eval/mean_ep_length,eval/mean_reward,eval/success_rate
1.23,67,4020,0,4873,0,-0.06016513999999999,2806,4020,0.95,-0.0014154446442503853,660,0.1470574453473091,0.0,0.34525203704833984,-1.2947348952293396,0.05980972945690155,0.00016579231,0.2,0.0001,,,
1.36,68,4080,0,4948,0,-0.07492877,2841,4080,0.93,-0.004339045301070143,670,0.08689721524715424,0.0,-0.4228900671005249,-1.2965938687324523,0.030417010188102722,0.0005827268,0.2,0.0001,,,
1.46,69,4140,0,5019,0,-0.09652258000000001,2888,4140,0.91,-0.002970001036204195,680,0.17206057608127595,0.0,0.1417618989944458,-1.3197521328926087,0.06685879081487656,0.00041160683,0.2,0.0001,,,
1.39,70,4200,0,5091,0,-0.07245211,2930,4200,0.93,-0.00035701701138650676,690,0.12293762937188149,0.0,-0.14470934867858887,-1.322947871685028,0.05212090536952019,0.0002887408,0.2,0.0001,,,
1.35,71,4260,0,5162,0,-0.07184803,2976,4260,0.93,-0.004763679751194872,700,0.11489908844232559,0.0,0.14494073390960693,-1.292584240436554,0.039489615708589554,0.0009510895,0.2,0.0001,,,
1.33,72,4320,0,5236,0,-0.09173872000000001,3021,4320,0.91,-0.004281383744285705,710,0.12420129999518395,0.0,0.06928449869155884,-1.2585275530815125,0.04238981008529663,0.0011563023,0.2,0.0001,,,
1.37,73,4380,0,5310,0,-0.09258081000000001,3064,4380,0.91,-0.005640557600418106,720,0.16766784340143204,0.0,-0.0006514787673950195,-1.215836477279663,0.06483186781406403,0.0014908274,0.2,0.0001,,,
1.44,74,4440,0,5390,0,-0.11474612,3105,4440,0.9,-0.002782702981397334,730,0.12810546830296515,0.0,0.26573896408081055,-1.1614563107490539,0.04986540973186493,0.0011757364,0.2,0.0001,,,
1.51,75,4500,0,5465,0,-0.12570148,3145,4500,0.87,-0.006244829101487959,740,0.10129640698432922,0.0,0.41747939586639404,-1.0992020845413208,0.03161438927054405,0.0015996327,0.2,0.0001,,,
1.39,76,4560,0,5537,0,-0.08248688,3194,4560,0.91,-0.003418128729681502,750,0.14099733009934426,0.0,-0.05077207088470459,-1.035306417942047,0.05323871970176697,0.0009027064,0.2,0.0001,,,
1.35,77,4620,0,5616,0,-0.08098567,3235,4620,0.92,-0.010062584665914188,760,0.11976781338453293,0.0,0.11386257410049438,-0.9890965938568115,0.032436199486255646,0.0013228427,0.2,0.0001,,,
1.31,78,4680,0,5690,0,-0.07220467000000001,3286,4680,0.92,-0.004681934914163577,770,0.13733764439821244,0.0,-0.03610646724700928,-0.922976154088974,0.048602938652038574,0.001639681,0.2,0.0001,,,
1.28,79,4740,0,5769,0,-0.07470982,3327,4740,0.93,0.0010406797231796716,780,0.07688010521233082,0.0,0.1986149549484253,-0.8732491672039032,0.029222561046481133,6.167094e-05,0.2,0.0001,,,
1.44,80,4800,0,5843,0,-0.12717723999999997,3368,4800,0.88,-0.0035959563941772464,790,0.1197135478258133,0.0,0.30611497163772583,-0.8857045769691467,0.045543521642684937,0.0005721162,0.2,0.0001,,,
1.43,81,4860,0,5919,0,-0.11778128000000003,3410,4860,0.88,-0.0034903739839015737,800,0.13152608126401902,0.0,0.3448559045791626,-0.9280771255493164,0.050082139670848846,0.0005749345,0.2,0.0001,,,
1.34,82,4920,0,6006,0,-0.08628716,3460,4920,0.92,-0.0005527461244492216,810,0.20367750227451326,0.0,-0.05705130100250244,-0.9632970154285431,0.08297323435544968,0.0004224499,0.2,0.0001,,,
1.28,83,4980,0,6088,0,-0.06193357000000001,3503,4980,0.95,-0.0009006643362711841,820,0.0855727531015873,0.0,0.11315745115280151,-0.9900620818138123,0.03302954137325287,0.00013860266,0.2,0.0001,,,
1.32,84,5040,0,6165,0,-0.07167562999999999,3548,5040,0.93,-0.002780417107472388,830,0.11524379923939705,0.0,0.1799049973487854,-0.9941526412963867,0.04547661542892456,0.00020714304,0.2,0.0001,,,
1.26,85,5100,0,6241,0,-0.05994255,3597,5100,0.94,-0.0029006566984268733,840,0.1323152095079422,0.0,0.021794676780700684,-0.9619303703308105,0.05061434954404831,0.0008327355,0.2,0.0001,,,
1.3,86,5160,0,6312,0,-0.07083111999999998,3644,5160,0.92,-0.0023319631559811428,850,0.09834956675767899,0.006666667014360428,-0.01822507381439209,-0.9356785833835601,0.037596676498651505,0.0018054893,0.2,0.0001,,,
1.37,87,5220,0,6383,0,-0.09230541999999999,3686,5220,0.9,1.0931668972702369e-05,860,0.1362282931804657,0.0,-0.16330337524414062,-0.893887722492218,0.05995570868253708,0.00012328426,0.2,0.0001,,,
1.4,88,5280,0,6453,0,-0.10741050999999999,3726,5280,0.9,-0.007605566150353837,870,0.1668918713927269,0.013333334028720856,0.06930661201477051,-0.8938337802886963,0.060790978372097015,0.003079016,0.2,0.0001,,,
1.52,89,5340,0,6533,0,-0.12715300000000002,3763,5340,0.88,-0.002149769534007717,880,0.1568581536412239,0.0,0.18752622604370117,-0.8215518236160279,0.06712868064641953,0.0006962349,0.2,0.0001,,,
1.61,90,5400,0,6600,0,-0.15860692,3801,5400,0.86,-0.0019466904110837292,890,0.14289523363113404,0.0,0.30288171768188477,-0.7924463093280792,0.057544559240341187,0.0001582245,0.2,0.0001,,,
1.52,91,5460,0,6670,0,-0.12675886,3844,5460,0.87,-0.0013623386817439354,900,0.158174267411232,0.0,0.2471548318862915,-0.7819226622581482,0.06672471761703491,0.0002250274,0.2,0.0001,,,
1.38,92,5520,0,6747,0,-0.09342837,3885,5520,0.91,-0.004108686059480515,910,0.16426415294408797,0.0,0.05404520034790039,-0.7525803685188294,0.06671369075775146,0.00056325295,0.2,0.0001,,,
1.3,93,5580,0,6825,0,-0.05147099999999999,3935,5580,0.96,0.00033985385729451423,920,0.09790259078145028,0.0,0.32518845796585083,-0.7104594349861145,0.039557959884405136,0.00017021397,0.2,0.0001,,,
1.19,94,5640,0,6900,0,-0.038696329999999994,3986,5640,0.97,-0.0017726178593875375,930,0.03483377266675234,0.0,-0.879773736000061,-0.6934704840183258,0.010191073641180992,0.0002395014,0.2,0.0001,,,
1.25,95,5700,0,6975,0,-0.07076483,4031,5700,0.94,-0.002319074926199249,940,0.10323259010910987,0.0,0.3431483507156372,-0.6624246299266815,0.034129686653614044,0.00025491815,0.2,0.0001,,,
1.27,96,5760,0,7051,0,-0.08271684000000003,4079,5760,0.93,-0.0025198898320862194,950,0.09866922199726105,0.0,0.3252761960029602,-0.6531817853450775,0.03882388770580292,0.00036220154,0.2,0.0001,,,
1.29,97,5820,0,7124,0,-0.08452211999999999,4128,5820,0.92,-0.004864837261460142,960,0.0959924429655075,0.0,0.4023761749267578,-0.6156724035739899,0.031229335814714432,0.0009621133,0.2,0.0001,,,
1.31,98,5880,0,7195,0,-0.07198493,4173,5880,0.93,-0.0022006588739653223,970,0.07568975761532784,0.0,0.2188969850540161,-0.5747919142246246,0.02720644138753414,0.00066571333,0.2,0.0001,,,
1.25,99,5940,0,7270,0,-0.049823369999999985,4223,5940,0.94,-0.007913993299007415,980,0.1484038218855858,0.0,-0.10783910751342773,-0.5281255066394805,0.05109734833240509,0.000748082,0.2,0.0001,,,
,,6000,,,0,,4267,6000,,-0.0011058158346957114,990,0.07640204057097436,0.0,-0.5144517421722412,-0.48742942214012147,0.030817190185189247,0.00034835338,0.2,0.0001,1.31,-0.05185799036640674,0.92
1.3,100,6000,0,7503,,-0.04340357999999999,,,0.94,,,,,,,,,,,,,
1.31,101,6060,0,7576,0,-0.053911789999999994,4314,6060,0.94,-0.00010465006411912725,1000,0.07218716070055961,0.0,-0.3720860481262207,-0.4682960480451584,0.030076105147600174,6.421606e-05,0.2,0.0001,,,
1.23,102,6120,0,7644,0,-0.04964094,4364,6120,0.96,-0.00024792125117532036,1010,0.11924002543091775,0.0,0.2419886589050293,-0.4748526304960251,0.050549399107694626,4.9634775e-05,0.2,0.0001,,,
1.37,103,6180,0,7713,0,-0.09411592,4402,6180,0.91,-0.0005332404428919802,1020,0.0839211918413639,0.0,-0.1038285493850708,-0.47817162573337557,0.033047981560230255,0.0001517425,0.2,0.0001,,,
1.39,104,6240,0,7786,0,-0.09445991999999998,4448,6240,0.91,-0.00041411986031261174,1030,0.17768836319446563,0.0,0.17578136920928955,-0.47189304828643797,0.07618454098701477,2.5480986e-05,0.2,0.0001,,,
1.27,105,6300,0,7859,0,-0.05076448,4499,6300,0.95,0.00013336670759471757,1040,0.09913900047540665,0.0,0.27375322580337524,-0.46607042849063873,0.04312590882182121,6.3767034e-06,0.2,0.0001,,,
1.25,106,6360,0,7927,0,-0.05082471,4546,6360,0.95,-0.0011400942027709692,1050,0.03848081044852734,0.0,0.43804097175598145,-0.4693154960870743,0.012794425711035728,5.6147575e-05,0.2,0.0001,,,
1.3,107,6420,0,7999,0,-0.09060305000000002,4589,6420,0.92,-0.0005734521198125009,1060,0.13577955439686776,0.0,0.26360416412353516,-0.4684001952409744,0.0521981380879879,2.7197599e-05,0.2,0.0001,,,
1.37,108,6480,0,8066,0,-0.09141773000000003,4632,6480,0.92,-0.00014920791708084025,1070,0.18126792907714845,0.0,0.08684945106506348,-0.4771968424320221,0.08217784762382507,5.1796436e-05,0.2,0.0001,,,
1.35,109,6540,0,8135,0,-0.08342864,4675,6540,0.93,-6.387556655056415e-05,1080,0.14269237965345383,0.0,0.016671717166900635,-0.4855041831731796,0.05420646443963051,2.0040075e-05,0.2,0.0001,,,
1.38,110,6600,0,8220,0,-0.09408452,4719,6600,0.9,-0.0007555115816163749,1090,0.1959584414958954,0.0,0.09948164224624634,-0.4890721529722214,0.0851367861032486,1.9783774e-05,0.2,0.0001,,,
1.29,111,6660,0,8297,0,-0.05086163999999999,4770,6660,0.93,-0.0004933595138300717,1100,0.12660530284047128,0.0,-0.20493602752685547,-0.48063288927078246,0.055042047053575516,1.3714035e-05,0.2,0.0001,,,
1.25,112,6720,0,8366,0,-0.03986765999999999,4815,6720,0.95,-0.0003204268140446498,1110,0.05112834125757217,0.0,0.13932853937149048,-0.4745085209608078,0.02166610211133957,4.905065e-05,0.2,0.0001,,,
1.43,113,6780,0,8438,0,-0.10215929999999998,4852,6780,0.9,-0.0005871477214538956,1120,0.08711293041706085,0.0,0.14241164922714233,-0.49102613925933836,0.03306467831134796,4.9328803e-05,0.2,0.0001,,,
1.41,114,6840,0,8507,0,-0.10232717,4898,6840,0.9,0.0002803752836189055,1130,0.18405163586139678,0.0,0.22716885805130005,-0.4913347452878952,0.07488686591386795,2.8655926e-05,0.2,0.0001,,,
1.39,115,6900,0,8579,0,-0.11211267,4939,6900,0.9,-0.00016285598261074342,1140,0.15146186649799348,0.0,0.3078579306602478,-0.4936655849218369,0.06654436886310577,1.5946229e-05,0.2,0.0001,,,
1.38,116,6960,0,8652,0,-0.09492937,4981,6960,0.91,-0.0005318762829606527,1150,0.1379513494670391,0.0,0.24565273523330688,-0.4994964569807053,0.06097302958369255,3.296236e-05,0.2,0.0001,,,
1.42,117,7020,0,8726,0,-0.10765068000000001,5024,7020,0.89,-0.0019129026244627313,1160,0.13187457993626595,0.0,0.0854913592338562,-0.49667883217334746,0.05456674471497536,0.00014937123,0.2,0.0001,,,
1.46,118,7080,0,8804,0,-0.11800458000000001,5059,7080,0.88,2.6884652227110452e-06,1170,0.1057789608836174,0.0,0.27677279710769653,-0.48858132362365725,0.04561717435717583,3.355245e-05,0.2,0.0001,,,
1.47,119,7140,0,8884,0,-0.12863508,5103,7140,0.87,0.00027805457692009483,1180,0.16518108993768693,0.0,0.2396833300590515,-0.5028740257024765,0.07059770822525024,6.588002e-05,0.2,0.0001,,,
1.25,120,7200,0,8957,0,-0.07018894999999999,5157,7200,0.93,-0.005589680789659379,1190,0.10921539664268494,0.006666667014360428,0.3517107367515564,-0.5505530953407287,0.0297840666025877,0.00095789233,0.2,0.0001,,,
1.21,121,7260,0,9030,0,-0.03882008000000001,5201,7260,0.96,-0.0021190208396483,1200,0.06728475801646709,0.0,-0.14200174808502197,-0.49395152032375333,0.024009693413972855,0.00021114052,0.2,0.0001,,,
