eval/mean_reward,eval/mean_ep_length,env/current_idx,eval/success_rate,env/completion_counter,env/n_steps,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,rollout/success_rate,rollout/ep_len_mean,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/entropy_loss,train/learning_rate,train/n_updates,train/value_loss,train/approx_kl,train/explained_variance,train/loss
,,,,,,17700,-0.17193341000000004,0,59,27382,0.85,1.97,,,,,,,,,,
-0.07770990667399019,1.34,8141,0.94,0,18000,18000,,,,,,,-0.0003681412042874399,0.2,0.0,-0.17076619505882262,0.0001,295,0.19903446793556212,7.883286e-05,0.1850401759147644,0.09661330282688141
,,,,,,18000,-0.26052587000000005,0,60,27852,0.81,2.12,,,,,,,,,,
-0.0761341193690896,1.52,8280,0.9,0,18300,18300,,,,,,,-0.00010089974448192152,0.2,0.001875,-0.18270840108394623,0.0001,300,0.20157379031181336,0.00025438593,0.25487738847732544,0.08544076234102249
,,,,,,18300,-0.27333501000000004,0,61,28316,0.78,2.23,,,,,,,,,,
-0.050845089685171846,1.28,8439,0.94,0,18600,18600,,,,,,,-0.00043077302993310695,0.2,0.0,-0.17989549100399016,0.0001,305,0.16457566022872924,2.0990894e-05,0.3725365996360779,0.07412805408239365
,,,,,,18600,-0.15234361000000005,0,62,28768,0.88,1.79,,,,,,,,,,
-0.05207039257977158,1.4,8591,0.96,0,18900,18900,,,,,,,-0.0001230270104431952,0.2,0.0,-0.1787709426879883,0.0001,310,0.1592581483721733,1.2706965e-05,0.2752763628959656,0.08273058384656906
,,,,,,18900,-0.14276778,0,63,29223,0.87,1.89,,,,,,,,,,
-0.0942704731412232,1.48,8745,0.92,0,19200,19200,,,,,,,-0.0012995621049776674,0.2,0.0025,-0.1742268168926239,0.0001,315,0.15358452200889589,0.0015951281,0.2268086075782776,0.04659390076994896
,,,,,,19200,-0.22748272,0,64,29664,0.82,2.08,,,,,,,,,,
-0.07122099331114441,1.4,8879,0.94,0,19500,19500,,,,,,,-0.00030968029052075963,0.2,0.0,-0.16629554212093353,0.0001,320,0.16126251667737962,3.9988587e-05,0.2611570954322815,0.09412146359682083
,,,,,,19500,-0.30824807,0,65,30112,0.77,2.18,,,,,,,,,,
-0.008981423173099756,1.22,9015,0.98,0,19800,19800,,,,,,,-0.00044269297874961923,0.2,0.0,-0.15677881836891175,0.0001,325,0.21901212096214295,3.6953406e-05,0.258462131023407,0.11226457357406616
,,,,,,19800,-0.27907682,0,66,30594,0.77,2.29,,,,,,,,,,
-0.07747880538925528,1.76,9169,0.9,0,20100,20100,,,,,,,-6.505061501229647e-05,0.2,0.0,-0.15094708204269408,0.0001,330,0.18612041115760802,9.840778e-06,0.2511447072029114,0.0632595643401146
,,,,,,20100,-0.18163704000000003,0,67,31067,0.85,2.02,,,,,,,,,,
-0.03106721870601177,1.38,9309,0.94,0,20400,20400,,,,,,,-0.00060892720944139,0.2,0.0,-0.15886379182338714,0.0001,335,0.13665239840745927,0.00011808369,0.3498955965042114,0.07757839560508728
,,,,,,20400,-0.2176613,0,68,31502,0.8,2.03,,,,,,,,,,
-0.11498699391260743,1.6,9457,0.9,0,20700,20700,,,,,,,-0.0004806903194094048,0.2,0.0,-0.13731285452842712,0.0001,340,0.20024086833000182,8.608423e-05,0.20834481716156006,0.05392087996006012
,,,,,,20700,-0.18211791000000005,0,69,31978,0.83,1.91,,,,,,,,,,
-0.02924538110382855,1.22,9607,0.98,0,21000,21000,,,,,,,-0.00010235124529572203,0.2,0.0021590909361839297,-0.13185687243938446,0.0001,345,0.19986336827278137,0.00019548798,0.20353490114212036,0.06902933120727539
,,,,,,21000,-0.22041288,0,70,32427,0.83,1.94,,,,,,,,,,
-0.09402956943958998,1.62,9756,0.92,0,21300,21300,,,,,,,-0.0006727607920771561,0.2,0.0,-0.13016954451799392,0.0001,350,0.17479066282510758,5.0334987e-05,0.32007282972335815,0.05918425694108009
,,,,,,21300,-0.19365021,0,71,32928,0.83,2.01,,,,,,,,,,
-0.07104634006042033,1.36,9914,0.94,0,21600,21600,,,,,,,-0.00045454492117926295,0.2,0.0,-0.1259867763519287,0.0001,355,0.1700576639175415,3.1026386e-05,0.3458656072616577,0.07038094103336334
,,,,,,21600,-0.14901150000000002,0,72,33398,0.85,1.87,,,,,,,,,,
-0.02890251559205353,1.18,10077,0.98,0,21900,21900,,,,,,,-0.00015963659346624582,0.2,0.0,-0.1156588163971901,0.0001,360,0.1619080427289009,1.0181405e-05,0.2636075019836426,0.05366075038909912
,,,,,,21900,-0.22860265000000002,0,73,33853,0.83,2.0,,,,,,,,,,
-0.05299027024768293,1.3,10226,0.96,0,22200,22200,,,,,,,-0.0005220874086080585,0.2,0.0,-0.11217804074287414,0.0001,365,0.1774534597992897,2.1003882e-05,0.34095263481140137,0.08516065031290054
,,,,,,22200,-0.23395146000000003,0,74,34315,0.8,2.09,,,,,,,,,,
-0.0726399723533541,1.36,10372,0.94,0,22500,22500,,,,,,,-0.00018016326419456163,0.2,0.0,-0.11057031661272049,0.0001,370,0.17675603717565536,1.4359267e-05,0.3090348243713379,0.0995749831199646
,,,,,,22500,-0.18056381000000002,0,75,34767,0.83,2.05,,,,,,,,,,
-0.056100624776445326,1.36,10508,0.96,0,22800,22800,,,,,,,-0.0005392143654216852,0.2,0.0,-0.11618161767721176,0.0001,375,0.15652593046426774,4.896513e-05,0.30340105295181274,0.04807482659816742
,,,,,,22800,-0.32539390999999995,0,76,35252,0.72,2.35,,,,,,,,,,
-0.11843555190600455,1.52,10663,0.88,0,23100,23100,,,,,,,-0.0009749022077085102,0.2,0.0025,-0.1251124131679535,0.0001,380,0.21665242850780486,0.0005823629,0.20939147472381592,0.0853884369134903
,,,,,,23100,-0.19170284999999995,0,77,35702,0.83,1.97,,,,,,,,,,
-0.054356345273554325,1.52,10816,0.96,0,23400,23400,,,,,,,-0.0008064571438899293,0.2,0.0025,-0.11783517569303513,0.0001,385,0.1651400125026703,0.0105696255,0.24406719207763672,0.06456901878118515
,,,,,,23400,-0.21342633999999996,0,78,36153,0.81,2.04,,,,,,,,,,
-0.0299992311373353,1.26,10981,0.96,0,23700,23700,,,,,,,-0.00035569007123513073,0.2,0.0,-0.11124972969293595,0.0001,390,0.17013142079114915,5.8680656e-05,0.260977566242218,0.12569288909435272
,,,,,,23700,-0.11839039000000001,0,79,36584,0.91,1.78,,,,,,,,,,
-0.07272243009880185,1.5,11112,0.92,0,24000,24000,,,,,,,-9.407122018838975e-05,0.2,0.0,-0.10847384572029113,0.0001,395,0.1357728174328804,7.610768e-06,0.2758637070655823,0.05238359048962593
,,,,,,24000,-0.29421473,0,80,37038,0.74,2.25,,,,,,,,,,
-0.029741743789054455,1.24,11263,0.98,0,24300,24300,,,,,,,-0.0008222738056792877,0.2,0.0,-0.10400038421154022,0.0001,400,0.2464380121231079,0.00012447304,0.05107790231704712,0.0928594172000885
,,,,,,24300,-0.14371685,0,81,37466,0.85,1.88,,,,,,,,,,
-0.04994624832645059,1.28,11411,0.94,0,24600,24600,,,,,,,4.337096209141578e-06,0.2,0.0,-0.096609345972538,0.0001,405,0.16878528654575348,1.0070949e-05,0.22636431455612183,0.06446859985589981
,,,,,,24600,-0.23238011999999994,0,82,37889,0.78,2.23,,,,,,,,,,
-0.055818686466664075,1.24,11569,0.96,0,24900,24900,,,,,,,-0.0005678967786525391,0.2,0.0,-0.09548933565616607,0.0001,410,0.18913856983184815,4.8864615e-05,0.11328268051147461,0.055662933737039566
,,,,,,24900,-0.16865631000000003,0,83,38311,0.83,1.91,,,,,,,,,,
-0.07345617543440312,1.32,11720,0.94,0,25200,25200,,,,,,,-0.00023373459846823152,0.2,0.0,-0.09066804140806198,0.0001,415,0.17216601014137267,5.372304e-05,0.1327199935913086,0.059603504836559296
