env/current_idx,time/total_timesteps,eval/mean_ep_length,eval/mean_reward,eval/success_rate,env/completion_counter,env/n_steps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate,time/iterations,train/value_loss,train/entropy_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/clip_range,train/clip_fraction,train/n_updates,train/loss,train/policy_gradient_loss
12192,26400,1.3,-0.031396083598956466,0.98,0,26400,,,,,,,0.19103396981954573,-0.5664638727903366,0.001,0.017850995,0.2336828112602234,0.2,0.10719105191528797,870,0.046295955777168274,-0.017041901731863617
,26400,,,,,,2.1,0,40584,-0.2703754,0.79,88,,,,,,,,,,
12337,26700,1.3,-0.030456904373131692,0.98,0,26700,,,,,,,0.1903786338865757,-0.532060045003891,0.001,0.040825732,0.23247838020324707,0.2,0.20507812611758708,880,0.014358330518007278,-0.036400527152
,26700,,,,,,1.92,0,41022,-0.17025874000000002,0.88,89,,,,,,,,,,
12476,27000,1.48,-0.0755931914318353,0.92,0,27000,,,,,,,0.15712135769426822,-0.48327771574258804,0.001,0.024673011,0.24468326568603516,0.2,0.09797585345804691,890,0.042778730392456055,-0.018407079810276627
,27000,,,,,,2.13,0,41445,-0.2668177,0.78,90,,,,,,,,,,
12630,27300,1.26,-0.07201296997256577,0.94,0,27300,,,,,,,0.21079321540892124,-0.5081919193267822,0.001,0.016358474,0.251545250415802,0.2,0.11409801244735718,900,0.02012595161795616,-0.026899285381659865
,27300,,,,,,1.99,0,41875,-0.24899739,0.82,91,,,,,,,,,,
12773,27600,1.28,-0.055729375928640364,0.96,0,27600,,,,,,,0.191774895042181,-0.3834252268075943,0.001,0.009162963,0.19036710262298584,0.2,0.0756747167557478,910,0.05897959694266319,-0.018115291200501815
,27600,,,,,,2.16,0,42307,-0.21967322999999997,0.81,92,,,,,,,,,,
12922,27900,1.36,-0.03148671896662563,0.98,0,27900,,,,,,,0.17978281080722808,-0.4601223662495613,0.001,0.04262233,0.22106069326400757,0.2,0.12908380776643752,920,0.032031185925006866,-0.0272926059216843
,27900,,,,,,2.04,0,42776,-0.20035869,0.83,93,,,,,,,,,,
