time/iterations,env/current_idx,rollout/ep_len_mean,rollout/ep_rew_mean,env/completion_counter,time/total_timesteps,time/time_elapsed,env/n_steps,rollout/success_rate,time/fps,train/learning_rate,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/clip_range,train/n_updates,train/loss,train/entropy_loss,eval/mean_ep_length,eval/mean_reward,eval/success_rate
103,4539,1.18,-0.04855916,0,6180,7151,6180,0.96,0,0.0001,0.10500000391155481,0.028707784,-0.028793752296982954,0.039065701402723786,0.34673959016799927,0.2,5100,-0.039581574499607086,-0.41061368584632874,,,
104,4586,1.16,-0.03857837,0,6240,7213,6240,0.96,0,0.0001,0.05133333541452885,0.007201875,-0.025821486479078882,0.04303873524069786,-1.231950283050537,0.2,5150,-0.0438867025077343,-0.33739690005779266,,,
105,4636,1.23,-0.059084080000000004,0,6300,7285,6300,0.94,0,0.0001,0.11700000386685133,0.013495551,-0.04086031582582897,0.0668692060187459,0.14147835969924927,0.2,5200,-0.05383163318037987,-0.42769856154918673,,,
106,4679,1.3,-0.06046464,0,6360,7351,6360,0.94,0,0.0001,0.05866666831076145,0.004864521,-0.03121342603559606,0.03463805863633752,0.07637524604797363,0.2,5250,-0.04546800255775452,-0.3775616252422333,,,
107,4729,1.27,-0.05068038,0,6420,7413,6420,0.95,0,0.0001,0.06066666912287474,0.07780323,-0.024288942984615768,0.060944269746541976,-0.3235177993774414,0.2,5300,-0.05050917714834213,-0.32096630036830903,,,
108,4774,1.26,-0.05981932,0,6480,7479,6480,0.95,0,0.0001,0.0846666681021452,0.020516466,-0.03716565083163246,0.02784038827754557,0.43819373846054077,0.2,5350,-0.07007861137390137,-0.5087706416845321,,,
109,4819,1.3,-0.07109870999999998,0,6540,7545,6540,0.94,0,0.0001,0.11333333529531955,0.013343657,-0.05592037461420595,0.07641749534755946,-0.044422030448913574,0.2,5400,-0.08812032639980316,-0.5644174683094024,,,
110,4865,1.3,-0.05131210999999999,0,6600,7610,6600,0.96,0,0.0001,0.0866666679084301,0.009117589,-0.029863044574856765,0.07777871653437614,0.04117000102996826,0.2,5450,-0.033670246601104736,-0.4263558745384216,,,
111,4905,1.4,-0.07357771,0,6660,7678,6660,0.94,0,0.0001,0.11600000221282243,0.012590112,-0.04016772776267803,0.035643822476267815,-0.38979578018188477,0.2,5500,-0.05781852453947067,-0.5328322619199752,,,
112,4948,1.41,-0.08623368000000001,0,6720,7741,6720,0.92,0,0.0001,0.08166666887700558,0.01153957,-0.03741530716718021,0.06471660438925028,0.1127287745475769,0.2,5550,-0.06927090138196945,-0.5243302112817765,,,
