env/n_steps,env/current_idx,env/completion_counter,eval/mean_reward,eval/mean_ep_length,eval/success_rate,time/total_timesteps,rollout/success_rate,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/entropy_loss,train/approx_kl,train/loss,train/clip_range,train/clip_fraction,train/learning_rate,train/explained_variance,train/n_updates,train/value_loss,train/policy_gradient_loss
27900,16319,0,-0.09638339282479137,1.34,0.86,27900,,,,,,,-0.34707832396030425,0.037878998,0.04434822499752045,0.2,0.10369318187236785,0.001,0.19310539960861206,460,0.16981409668922423,-0.022339041512459516
,,,,,,27900,0.74,93,1.66,0,40583,-0.25777974,,,,,,,,,,
28200,16504,0,-0.0917330062808469,1.32,0.88,28200,,,,,,,-0.3306358116865158,0.045313843,0.0672251358628273,0.2,0.10375000059604644,0.001,0.10055530071258545,465,0.19350507557392121,-0.02403608676046133
,,,,,,28200,0.78,94,1.53,0,41001,-0.19603323000000003,,,,,,,,,,
28500,16685,0,-0.08988060500472785,1.24,0.9,28500,,,,,,,-0.3474015778303146,0.034038354,0.02338380739092827,0.2,0.15363636374473572,0.001,0.22013795375823975,470,0.15096684902906418,-0.022400580123066904
,,,,,,28500,0.73,95,1.7,0,41418,-0.26812044,,,,,,,,,,
28800,16859,0,-0.09228429128415883,1.36,0.86,28800,,,,,,,-0.3078499984741211,0.03503374,0.009923543781042099,0.2,0.1098295459151268,0.001,0.08846139907836914,475,0.17323252260684968,-0.021203174740076065
,,,,,,28800,0.69,96,1.76,0,41842,-0.27226555999999996,,,,,,,,,,
29100,17037,0,-0.11034813755191862,1.3,0.9,29100,,,,,,,-0.3719446748495102,0.03661516,-0.004666417837142944,0.2,0.09795454621315003,0.001,0.09525895118713379,480,0.17119551539421082,-0.023348078187555073
,,,,,,29100,0.71,97,1.73,0,42261,-0.29181255,,,,,,,,,,
29400,17223,0,-0.05096741435583681,1.28,0.92,29400,,,,,,,-0.2656063210964203,0.03179588,0.039928924292325974,0.2,0.07494318187236786,0.001,0.1699211597442627,485,0.1727790555357933,-0.017172299474477768
,,,,,,29400,0.81,98,1.55,0,42681,-0.15287253,,,,,,,,,,
29700,17408,0,-0.12945932927075773,1.26,0.88,29700,,,,,,,-0.3733706784248352,0.03591322,0.04038625955581665,0.2,0.12471590965986251,0.001,0.12277281284332275,490,0.16172583222389222,-0.022494485359638928
,,,,,,29700,0.81,99,1.51,0,43089,-0.18582380999999998,,,,,,,,,,
30000,17587,0,-0.02698137840256095,1.08,0.96,30000,,,,,,,-0.40575552225112915,0.025825,0.017954286187887192,0.2,0.14534090995788573,0.001,0.18363827466964722,495,0.15408987432718277,-0.02580473240232095
