env/current_idx,env/n_steps,env/completion_counter,time/total_timesteps,eval/mean_ep_length,eval/mean_reward,eval/success_rate,time/fps,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/learning_rate,train/clip_fraction,train/n_updates,train/entropy_loss,train/value_loss,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/loss
25398,42300,0,42300,1.3,-0.10999506825581193,0.88,,,,,,,0.001,0.0357386365532875,700,-0.10514882683753968,0.16498399823904036,0.2,0.016445091,-0.006987372578587383,0.2530248165130615,0.061377011239528656
,,,42300,,,,0,-0.28983798,0.7,1.68,62534,141,,,,,,,,,,
25576,42600,0,42600,1.22,-0.0715764980390668,0.92,,,,,,,0.001,0.047443182170391084,705,-0.11699726223945618,0.15288581401109697,0.2,0.01499629,-0.007319883350282908,0.29032933712005615,0.05936327949166298
,,,42600,,,,0,-0.27368939,0.66,1.74,62944,142,,,,,,,,,,
25761,42900,0,42900,1.32,-0.07129297477193176,0.88,,,,,,,0.001,0.054090909361839294,710,-0.15026116132736206,0.16542308866977692,0.2,0.053854007,-0.011415213849395513,0.2058132290840149,0.07234349101781845
,,,42900,,,,0,-0.27533801999999996,0.73,1.62,63373,143,,,,,,,,,,
25942,43200,0,43200,1.12,-0.06737757377326488,0.94,,,,,,,0.001,0.03568181842565536,715,-0.10488681972026825,0.1667843860387802,0.2,0.015726656,-0.007993425652384758,0.22514230012893677,0.08559480309486389
,,,43200,,,,0,-0.29546739,0.67,1.73,63819,144,,,,,,,,,,
26128,43500,0,43500,1.14,-0.029433717434294522,0.94,,,,,,,0.001,0.05090909123420715,720,-0.10807258903980255,0.18080300867557525,0.2,0.0153830545,-0.007343728095293045,0.136546790599823,0.044524602591991425
,,,43500,,,,0,-0.24060613,0.74,1.57,64251,145,,,,,,,,,,
26305,43800,0,43800,1.22,-0.04975122297182679,0.92,,,,,,,0.001,0.048125000298023225,725,-0.06011263370513916,0.16696177631616593,0.2,0.038180765,-0.011731250518932939,0.23990166187286377,0.06366315484046936
,,,43800,,,,0,-0.28147521000000003,0.71,1.73,64673,146,,,,,,,,,,
26492,44100,0,44100,1.24,-0.089853736422956,0.9,,,,,,,0.001,0.012727272808551788,730,-0.042427733801305295,0.17046718657016754,0.2,0.01228106,-0.004195936101023107,0.18794935941696167,0.06301471590995789
,,,44100,,,,0,-0.29815505999999997,0.7,1.66,65103,147,,,,,,,,,,
26667,44400,0,44400,1.24,-0.07009543833322823,0.9,,,,,,,0.001,0.011477272808551788,735,-0.03176513843238354,0.16904568314552307,0.2,0.008771818,-0.0025541436405910646,0.22672200202941895,0.06287960708141327
,,,44400,,,,0,-0.28232739,0.67,1.78,65536,148,,,,,,,,,,
26857,44700,0,44700,1.14,-0.04820731184910983,0.96,,,,,,,0.001,0.011136363744735717,740,-0.04354478947818279,0.19569227039813997,0.2,0.0054411683,-0.002695891112089157,-0.01069796085357666,0.07477375119924545
,,,44700,,,,0,-0.25972778,0.73,1.62,65964,149,,,,,,,,,,
27052,45000,0,45000,1.2,-0.06882261759601534,0.92,,,,,,,0.001,0.0025,745,-0.020811207592487335,0.17966887056827546,0.2,0.00023574704,-0.0005805200768190844,0.14806973934173584,0.08434402197599411
,,,45000,,,,0,-0.21932366000000003,0.8,1.48,66384,150,,,,,,,,,,
27230,45300,0,45300,1.32,-0.15561756113544106,0.86,,,,,,,0.001,0.0,750,-0.015200685933232308,0.15374282211065293,0.2,2.6840211e-05,-0.0002608876477825106,0.2895928621292114,0.0776284709572792
,,,45300,,,,0,-0.23581518,0.71,1.66,66800,151,,,,,,,,,,
27417,45600,0,45600,1.26,-0.11114382805302739,0.88,,,,,,,0.001,0.00528409093618393,755,-0.026841901466250418,0.18802119314670562,0.2,0.007043383,-0.0012017943940008991,0.06512331962585449,0.08099337667226791
,,,45600,,,,0,-0.26992077999999997,0.69,1.71,67252,152,,,,,,,,,,
27599,45900,0,45900,1.3,-0.11381235842593014,0.88,,,,,,,0.001,0.0,760,-0.016441684439778326,0.15603084921836852,0.2,2.9751744e-05,-0.0004765115462214453,0.3032774329185486,0.08408193290233612
,,,45900,,,,0,-0.25352821,0.7,1.68,67707,153,,,,,,,,,,
27786,46200,0,46200,1.3,-0.09767129254993051,0.9,,,,,,,0.001,0.014488636553287505,765,-0.05977963902056217,0.17042973577976228,0.2,0.006493102,-0.003716821380075999,0.2067355513572693,0.07012328505516052
,,,46200,,,,0,-0.25336798,0.74,1.61,68164,154,,,,,,,,,,
27965,46500,0,46500,1.24,-0.0889926944160834,0.9,,,,,,,0.001,0.01704545468091965,770,-0.10576157733798026,0.1678391909599304,0.2,0.0034357458,-0.005771104232408107,0.2967183589935303,0.0680055171251297
,,,46500,,,,0,-0.22760935000000004,0.77,1.55,68599,155,,,,,,,,,,
28152,46800,0,46800,1.3,-0.11091427995357662,0.88,,,,,,,0.001,0.05897727310657501,775,-0.242279611825943,0.2019147229194641,0.2,0.02528664,-0.008107886360958218,0.12136852741241455,0.03027757816016674
,,,46800,,,,0,-0.24136751,0.76,1.57,69036,156,,,,,,,,,,
28329,47100,0,47100,1.14,-0.027916496549732984,0.96,,,,,,,0.001,0.05403409123420715,780,-0.20248885869979857,0.1774979478120804,0.2,0.017533874,-0.012910091299563647,0.21564805507659912,0.05507475510239601
,,,47100,,,,0,-0.31265709,0.66,1.77,69484,157,,,,,,,,,,
28529,47400,0,47400,1.22,-0.03206746657378971,0.94,,,,,,,0.001,0.04892045468091965,785,-0.16448333680629731,0.1702751949429512,0.2,0.016446102,-0.014567283894866705,0.25728434324264526,0.036802418529987335
,,,47400,,,,0,-0.19999932999999998,0.8,1.47,69928,158,,,,,,,,,,
28707,47700,0,47700,1.3,-0.030390745704062284,0.88,,,,,,,0.001,0.04039772748947144,790,-0.12403151705861092,0.16461072802543641,0.2,0.037470628,-0.007869270718656481,0.1569473147392273,0.03663210943341255
,,,47700,,,,0,-0.23979941,0.7,1.68,70404,159,,,,,,,,,,
28888,48000,0,48000,1.18,-0.048719726530835034,0.94,,,,,,,0.001,0.037272727489471434,795,-0.10990954339504241,0.1584851348400116,0.2,0.0138988895,-0.006027167127467692,0.21059691905975342,0.029994845390319824
,,,48000,,,,0,-0.21444756,0.75,1.59,70834,160,,,,,,,,,,
29071,48300,0,48300,1.2,-0.05159624587278813,0.94,,,,,,,0.001,0.06903409153223038,800,-0.22535409927368164,0.15676070809364318,0.2,0.0122454995,-0.015308961179107428,0.21208393573760986,0.04346741363406181
,,,48300,,,,0,-0.23054044,0.73,1.65,71318,161,,,,,,,,,,
29260,48600,0,48600,1.28,-0.13143945646472274,0.88,,,,,,,0.001,0.05238636404275894,805,-0.19654174506664276,0.14548561543226243,0.2,0.020664886,-0.010626659011468292,0.31422919034957886,0.0315772108733654
,,,48600,,,,0,-0.19861327000000004,0.75,1.57,71760,162,,,,,,,,,,
29440,48900,0,48900,1.14,-0.02880875856615603,0.96,,,,,,,0.001,0.06039772778749466,810,-0.1653819951415062,0.16207350611686708,0.2,0.04019045,-0.013126239012926817,0.20151454210281372,0.05917149782180786
