eval/success_rate,env/current_idx,env/completion_counter,time/total_timesteps,eval/mean_reward,eval/mean_ep_length,env/n_steps,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,train/entropy_loss,train/value_loss,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss,train/learning_rate,train/clip_fraction
0.96,7813,0,18600,-0.0535776788322255,1.32,18600,,,,,,,-0.6234762644767762,0.1110780356451869,610,-0.09631896018981934,-0.06892765548080206,0.10782783,0.2,-0.08838814496994019,0.001,0.33017045333981515
,,,18600,,,,0.77,2.22,28050,0,62,-0.25218002,,,,,,,,,,
0.94,7972,0,18900,-0.03284880795050413,1.48,18900,,,,,,,-0.6401874530315399,0.10293372042477131,620,-0.0201951265335083,-0.05896623441949487,0.09587539,0.2,-0.09608297795057297,0.001,0.31258522778749465
,,,18900,,,,0.84,1.93,28507,0,63,-0.19688832999999994,,,,,,,,,,
0.94,8108,0,19200,-0.07004850648343564,1.34,19200,,,,,,,-0.4995272105932236,0.09165485318750143,630,0.050749361515045166,-0.050660988222807644,0.1254518,0.2,-0.046921826899051666,0.001,0.26690340906381604
,,,19200,,,,0.78,2.11,28922,0,64,-0.2640287800000001,,,,,,,,,,
0.86,8271,0,19500,-0.14218146265950055,1.76,19500,,,,,,,-0.5619481122493744,0.12078649431467056,640,-0.045038819313049316,-0.06246609019115567,0.097954676,0.2,-0.0808844268321991,0.001,0.3428125004470348
,,,19500,,,,0.9,1.68,29374,0,65,-0.1494079,,,,,,,,,,
0.92,8428,0,19800,-0.054945661975070836,1.58,19800,,,,,,,-0.4923847419023514,0.0907299791276455,650,0.1507682204246521,-0.05989691326394677,0.09658988,0.2,-0.06756236404180527,0.001,0.281704545468092
,,,19800,,,,0.82,1.95,29815,0,66,-0.17646804999999996,,,,,,,,,,
0.92,8568,0,20100,-0.09431893862783909,1.34,20100,,,,,,,-0.5097598725557327,0.09384671602398158,660,-0.0850294828414917,-0.06017216025968082,0.124642625,0.2,-0.049422524869441986,0.001,0.27801136434078216
,,,20100,,,,0.79,2.13,30242,0,67,-0.2724045,,,,,,,,,,
0.88,8724,0,20400,-0.12230903720483184,1.56,20400,,,,,,,-0.485260089635849,0.13366609044373035,670,0.14052492380142212,-0.04279640786349773,0.08127357,0.2,-0.06622277200222015,0.001,0.22363636374473572
,,,20400,,,,0.82,1.93,30675,0,68,-0.19223972,,,,,,,,,,
0.92,8868,0,20700,-0.04162845666520298,1.56,20700,,,,,,,-0.45634991765022276,0.10462855659425259,680,-0.009725332260131836,-0.050208596736192705,0.09121106,0.2,-0.05516321212053299,0.001,0.22843750029802323
,,,20700,,,,0.83,2.03,31159,0,69,-0.1916663,,,,,,,,,,
0.96,9020,0,21000,-0.05329018880147487,1.28,21000,,,,,,,-0.5053365731239319,0.11827356852591038,690,-0.07453548908233643,-0.057645220272243024,0.14066407,0.2,-0.07431159913539886,0.001,0.3257670459151268
,,,21000,,,,0.82,2.07,31585,0,70,-0.20790000000000003,,,,,,,,,,
0.96,9187,0,21300,-0.03133462396450341,1.36,21300,,,,,,,-0.5152214580774307,0.11672148823738099,700,-0.23642945289611816,-0.0528550448641181,0.13077378,0.2,-0.07301316410303116,0.001,0.24607954517006875
,,,21300,,,,0.9,1.7,32020,0,71,-0.09447047000000003,,,,,,,,,,
0.96,9340,0,21600,-0.05536129787098616,1.26,21600,,,,,,,-0.4744830811023712,0.08520153768360615,710,-0.027725696563720703,-0.04741969333961606,0.08935727,0.2,-0.04454220086336136,0.001,0.23076704531908035
,,,21600,,,,0.83,1.92,32502,0,72,-0.16516683000000001,,,,,,,,,,
0.96,9471,0,21900,-0.032747860457748176,1.32,21900,,,,,,,-0.49843108355998994,0.11399079889059066,720,-0.0018669366836547852,-0.0598089687153697,0.14496432,0.2,-0.09744803607463837,0.001,0.29264204561710355
,,,21900,,,,0.78,2.19,32946,0,73,-0.23797187000000006,,,,,,,,,,
0.92,9617,0,22200,-0.07722729297820478,1.5,22200,,,,,,,-0.6066625648736954,0.1015046426653862,730,0.14738476276397705,-0.05052431955933571,0.072163805,0.2,-0.07231991738080978,0.001,0.2738920447230339
,,,22200,,,,0.85,1.93,33418,0,74,-0.17548392000000004,,,,,,,,,,
0.98,9759,0,22500,-0.02993152410723269,1.28,22500,,,,,,,-0.515454808473587,0.12858322605490685,740,-0.058571457862854004,-0.04416602246463299,0.103774965,0.2,-0.04729588329792023,0.001,0.27715909034013747
,,,22500,,,,0.82,2.09,33846,0,75,-0.22304324,,,,,,,,,,
0.86,9896,0,22800,-0.1594242821633816,1.64,22800,,,,,,,-0.6023314720392228,0.1265270695090294,750,0.08597195148468018,-0.06354878702200949,0.11907077,0.2,-0.09012675285339355,0.001,0.32394886404275897
,,,22800,,,,0.77,2.17,34313,0,76,-0.28749913,,,,,,,,,,
0.9,10035,0,23100,-0.05238487602211535,1.48,23100,,,,,,,-0.5978309506177902,0.1280908565223217,760,0.19058465957641602,-0.05779377798549831,0.08078633,0.2,-0.05196694657206535,0.001,0.27786931827664374
,,,23100,,,,0.8,2.14,34763,0,77,-0.20939085000000004,,,,,,,,,,
0.96,10168,0,23400,-0.0504927449580282,1.28,23400,,,,,,,-0.6015046572685242,0.12457847066223621,770,-0.02878713607788086,-0.05559153108391911,0.08198649,0.2,-0.08243861794471741,0.001,0.29082386374473573
,,,23400,,,,0.76,2.22,35202,0,78,-0.26977274000000007,,,,,,,,,,
0.98,10314,0,23700,-0.03241640233900398,1.42,23700,,,,,,,-0.63493696808815,0.11028396345674991,780,0.1732196807861328,-0.05864747742190957,0.13637228,0.2,-0.07444775104522705,0.001,0.3290340906381607
,,,23700,,,,0.82,2.03,35640,0,79,-0.20272562,,,,,,,,,,
0.98,10452,0,24000,-0.029710060423240064,1.26,24000,,,,,,,-0.5345703262090683,0.0991829315200448,790,0.09345227479934692,-0.05690019145607948,0.14045553,0.2,-0.0727013349533081,0.001,0.2705965907871723
,,,24000,,,,0.76,2.24,36065,0,80,-0.25772152,,,,,,,,,,
0.92,10586,0,24300,-0.09394827065989375,1.5,24300,,,,,,,-0.5926814687252044,0.11550162527710199,800,0.07224297523498535,-0.06105097882449627,0.10991397,0.2,-0.10580892115831375,0.001,0.3013352280855179
,,,24300,,,,0.76,2.18,36505,0,81,-0.26421359,,,,,,,,,,
0.88,10738,0,24600,-0.12042338559404016,1.6,24600,,,,,,,-0.5213899970054626,0.09534374926239252,810,0.14131170511245728,-0.05412160398438573,0.10370481,0.2,-0.042356349527835846,0.001,0.28610795438289643
,,,24600,,,,0.79,2.09,36932,0,82,-0.26972482,,,,,,,,,,
0.98,10888,0,24900,-0.03037472437135875,1.26,24900,,,,,,,-0.4544303506612778,0.09730388771742582,820,0.14066678285598755,-0.04668893579393625,0.08312489,0.2,-0.06080988049507141,0.001,0.2614488632977009
,,,24900,,,,0.83,1.94,37344,0,83,-0.20157233000000005,,,,,,,,,,
0.94,11024,0,25200,-0.07198690542951226,1.38,25200,,,,,,,-0.4689731925725937,0.10116660669445991,830,0.188592791557312,-0.06108992690220475,0.13796064,0.2,-0.07658545672893524,0.001,0.28571022748947145
,,,25200,,,,0.81,2.09,37803,0,84,-0.21220313999999998,,,,,,,,,,
0.96,11167,0,25500,-0.04991279934067279,1.28,25500,,,,,,,-0.5508432507514953,0.09517956525087357,840,0.1336057186126709,-0.06584037687629461,0.13391107,0.2,-0.08122716099023819,0.001,0.3319318181276321
,,,25500,,,,0.79,2.03,38230,0,85,-0.26605504999999996,,,,,,,,,,
0.96,11304,0,25800,-0.03561075333505869,1.36,25800,,,,,,,-0.5430754888057708,0.11537051066756249,850,0.18108689785003662,-0.05318720132112503,0.09519215,0.2,-0.029092920944094658,0.001,0.28696022734045984
,,,25800,,,,0.81,2.16,38662,0,86,-0.20942573000000003,,,,,,,,,,
0.94,11461,0,26100,-0.07249558564275503,1.34,26100,,,,,,,-0.5927742534875869,0.12388790600001812,860,-0.03468811511993408,-0.061461950237862766,0.13209692,0.2,-0.05372264236211777,0.001,0.32704545438289645
