rollout/ep_rew_mean,rollout/ep_len_mean,env/current_idx,env/n_steps,time/total_timesteps,rollout/success_rate,time/time_elapsed,env/completion_counter,time/fps,time/iterations,train/n_updates,train/clip_fraction,train/explained_variance,train/learning_rate,train/loss,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_range,eval/mean_reward,eval/success_rate,eval/mean_ep_length
-0.10517515,1.49,979,43470,43470,0.86,54439,2,0,1449,14480,0.0,0.4290534257888794,0.0001,0.03532750904560089,-0.6458086311817169,0.0022292794,-0.006455332135471226,0.1058025985956192,0.2,,,
-0.08480280999999999,1.38,1003,43500,43500,0.89,54474,2,0,1450,14490,0.0,0.714476466178894,0.0001,0.022950608283281326,-0.596396678686142,0.0018721462,-0.003603027312395568,0.06811112836003304,0.2,,,
-0.09563298999999997,1.39,1024,43530,43530,0.9,54511,2,0,1451,14500,0.0,0.43465369939804077,0.0001,0.03514662757515907,-0.578223979473114,0.00093429483,-0.0013318590475442705,0.08476095870137215,0.2,,,
-0.09462727000000001,1.33,1047,43560,43560,0.92,54544,2,0,1452,14510,0.0,0.442868173122406,0.0001,0.03491281718015671,-0.5405351758003235,0.0012544194,-0.004808056876063204,0.09650219231843948,0.2,,,
-0.08417973,1.34,1069,43590,43590,0.93,54582,2,0,1453,14520,0.0,0.5664582252502441,0.0001,0.030502989888191223,-0.5076700627803803,0.0010885616,-0.0015466265750973206,0.08321923092007637,0.2,,,
-0.09572728999999999,1.43,1086,43620,43620,0.91,54614,2,0,1454,14530,0.0,-0.5440148115158081,0.0001,0.07588692754507065,-0.48084464073181155,0.00012457371,-0.0009674759121844567,0.17032491266727448,0.2,,,
-0.07253899000000001,1.36,1112,43650,43650,0.93,54653,2,0,1455,14540,0.0,0.6093227863311768,0.0001,0.019278865307569504,-0.45399343967437744,0.0007913311,-0.005458886809259012,0.06568804830312729,0.2,,,
-0.09382344999999997,1.43,1131,43680,43680,0.91,54686,2,0,1456,14550,0.0,-231.82330322265625,0.0001,0.007105030585080385,-0.42591328620910646,0.00065330666,-0.0009132602001773904,0.029517706111073495,0.2,,,
-0.08512149000000001,1.41,1156,43710,43710,0.92,54720,2,0,1457,14560,0.0,0.3789421319961548,0.0001,0.11380951851606369,-0.4293231278657913,0.00019305348,-0.0014782990967311172,0.24704005122184752,0.2,,,
-0.07369229000000001,1.3,1182,43740,43740,0.93,54754,2,0,1458,14570,0.0,0.653048574924469,0.0001,0.01600235514342785,-0.3938354283571243,1.9009907e-05,-0.0005916265454047221,0.04115093685686588,0.2,,,
