env/completion_counter,env/current_idx,time/total_timesteps,eval/mean_reward,eval/success_rate,env/n_steps,eval/mean_ep_length,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate,time/iterations,train/clip_fraction,train/clip_range,train/n_updates,train/loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/value_loss
0,14173,29700,-0.028713509673252702,0.98,29700,1.18,,,,,,,0.005,0.2,980,0.05191326141357422,0.00047839092,0.2016432285308838,-0.164642858505249,-0.002693008698624908,0.0001,0.15218661546707155
,,29700,,,,,2.0,0,45559,-0.20022798000000003,0.82,99,,,,,,,,,,
0,14329,30000,-0.02993755418341607,0.98,30000,1.2,,,,,,,0.0027556818723678588,0.2,990,0.02895306423306465,0.00037926255,0.21492505073547363,-0.15491182148456573,-0.001263844083296135,0.0001,0.1574406610429287
,,30000,,,,,1.81,0,45984,-0.12939716999999998,0.88,100,,,,,,,,,,
0,14497,30300,-0.03099346107337624,0.96,30300,1.34,,,,,,,0.011619318276643753,0.2,1000,0.036169033497571945,0.0013700374,0.15491747856140137,-0.1443930372595787,-0.0035936537513043734,0.0001,0.14730746775865555
,,30300,,,,,1.82,0,46402,-0.15659695000000004,0.85,101,,,,,,,,,,
0,14645,30600,-0.07783213825896382,0.92,30600,1.46,,,,,,,0.005596590936183929,0.2,1010,0.04421337693929672,0.0005147686,0.143324613571167,-0.14506965339183808,-0.0020937182631678296,0.0001,0.13403974682092668
,,30600,,,,,1.99,0,46916,-0.19524687000000004,0.85,102,,,,,,,,,,
0,14813,30900,-0.029992927531711757,0.96,30900,1.26,,,,,,,0.010369318276643754,0.2,1020,0.05547899007797241,0.0015171756,0.017610251903533936,-0.15614885926246644,-0.0038192151763360017,0.0001,0.1720910331606865
,,30900,,,,,1.82,0,47323,-0.15017782999999998,0.87,103,,,,,,,,,,
0,14960,31200,-0.07461009583435953,0.92,31200,1.46,,,,,,,0.00622159093618393,0.2,1030,0.07414911687374115,0.0007774794,0.19079363346099854,-0.15474966049194336,-0.0019528644504316617,0.0001,0.14203617960214615
,,31200,,,,,1.93,0,47750,-0.2120446,0.82,104,,,,,,,,,,
0,15116,31500,-0.00837536693084985,1.0,31500,1.18,,,,,,,0.006534090936183929,0.2,1040,0.05298743024468422,0.00077684777,0.15028154850006104,-0.1532253086566925,-0.0030310150340665133,0.0001,0.18904012873768805
,,31500,,,,,1.91,0,48168,-0.200027,0.85,105,,,,,,,,,,
0,15264,31800,-0.030676724473014474,0.98,31800,1.28,,,,,,,0.007301136404275894,0.2,1050,0.047592032700777054,0.0013346183,0.3400847315788269,-0.14028699487447738,-0.0022312588369095467,0.0001,0.14445914909243585
