eval/success_rate,time/total_timesteps,eval/mean_ep_length,env/completion_counter,env/n_steps,env/current_idx,eval/mean_reward,time/fps,rollout/ep_len_mean,time/iterations,rollout/success_rate,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/loss,train/clip_fraction,train/clip_range,train/explained_variance,train/entropy_loss,train/value_loss,train/n_updates
0.92,2040,1.68,0,2040,692,-0.03731364084407687,,,,,,,-0.0007644736779425898,1.9391378e-05,0.0001,0.11323542892932892,0.0,0.2,-0.22319066524505615,-1.5870094299316406,0.24180036783218384,335
,2040,,,,,,0,2.72,68,0.71,8473,-0.31672207,,,,,,,,,,
0.94,2070,1.34,0,2070,703,-0.07007855996023864,,,,,,,-0.0014992666205699834,6.0419243e-05,0.0001,0.1583183854818344,0.0,0.2,-0.09856200218200684,-1.582014274597168,0.33900047540664674,340
,2070,,,,,,0,2.7,69,0.72,8611,-0.2953374,,,,,,,,,,
1.0,2100,1.18,0,2100,717,-0.008771581943146884,,,,,,,-0.003325695769551018,0.00012148221,0.0001,0.12418090552091599,0.0,0.2,-0.3300955295562744,-1.5830211162567138,0.2719467043876648,345
,2100,,,,,,0,2.63,70,0.73,8723,-0.29963477000000005,,,,,,,,,,
0.94,2130,1.48,0,2130,731,-0.07379851874895393,,,,,,,-0.001985472407347544,0.00017944376,0.0001,0.11105989664793015,0.0,0.2,0.021566927433013916,-1.5641938686370849,0.2410365730524063,350
,2130,,,,,,0,2.57,71,0.74,8856,-0.30027566000000006,,,,,,,,,,
0.98,2160,1.34,0,2160,742,-0.03407189775723964,,,,,,,-0.000501172149282425,0.00014675855,0.0001,0.10424473136663437,0.0,0.2,0.1877843737602234,-1.5392176866531373,0.22649197280406952,355
,2160,,,,,,0,2.53,72,0.76,9013,-0.30082732,,,,,,,,,,
0.96,2190,1.26,0,2190,752,-0.049923152485862377,,,,,,,-0.0031211694128192137,0.00018951097,0.0001,0.13446472585201263,0.0,0.2,-0.14114832878112793,-1.5220674753189087,0.28841208219528197,360
,2190,,,,,,0,2.56,73,0.74,9121,-0.31064518,,,,,,,,,,
0.96,2220,1.3,0,2220,763,-0.051642509987577793,,,,,,,-0.003159311210426274,0.0002193133,0.0001,0.08429356664419174,0.0,0.2,0.24459928274154663,-1.4959227561950683,0.18923288881778716,365
,2220,,,,,,0,2.49,74,0.75,9230,-0.2974769199999999,,,,,,,,,,
0.92,2250,1.52,0,2250,775,-0.058183345021679996,,,,,,,-0.001532115133789347,9.923776e-05,0.0001,0.09503425657749176,0.0,0.2,0.036644816398620605,-1.479934287071228,0.2132338583469391,370
,2250,,,,,,0,2.53,75,0.74,9361,-0.29957601999999994,,,,,,,,,,
0.92,2280,1.42,0,2280,782,-0.0932876579137519,,,,,,,-0.001339148310944438,0.00012518962,0.0001,0.10883697122335434,0.0,0.2,-0.1426156759262085,-1.4652543544769288,0.23106499314308165,375
,2280,,,,,,0,2.69,76,0.7,9491,-0.36027970000000004,,,,,,,,,,
0.94,2310,1.34,0,2310,797,-0.071503572226502,,,,,,,-0.0010447005566675215,6.959438e-05,0.0001,0.14763277769088745,0.0,0.2,-0.0026738643646240234,-1.4493131399154664,0.3183718085289001,380
,2310,,,,,,0,2.64,77,0.71,9634,-0.34171134000000003,,,,,,,,,,
0.98,2340,1.28,0,2340,809,-0.02954817798919976,,,,,,,-0.0005350484475879824,3.8021804e-05,0.0001,0.10685218870639801,0.0,0.2,0.08087307214736938,-1.4415972471237182,0.2234174609184265,385
,2340,,,,,,0,2.56,78,0.73,9744,-0.3106655,,,,,,,,,,
0.98,2370,1.3,0,2370,821,-0.03615036912728101,,,,,,,-0.0014053916744888539,5.8567523e-05,0.0001,0.08564790338277817,0.0,0.2,0.1862073540687561,-1.4337212800979615,0.1889762908220291,390
,2370,,,,,,0,2.63,79,0.72,9857,-0.3254995799999999,,,,,,,,,,
1.0,2400,1.26,0,2400,830,-0.010575207048095763,,,,,,,-0.0008060888561885804,4.502336e-05,0.0001,0.13397648930549622,0.0,0.2,-0.04617762565612793,-1.4248174667358398,0.28257363438606264,395
,2400,,,,,,0,2.78,80,0.69,9975,-0.33554573000000004,,,,,,,,,,
0.94,2430,1.44,0,2430,843,-0.07435825508087873,,,,,,,-0.0013466016335103247,6.459355e-05,0.0001,0.09018383175134659,0.0,0.2,-0.22918736934661865,-1.4136488914489747,0.20350803732872008,400
,2430,,,,,,0,2.69,81,0.7,10123,-0.31819182000000007,,,,,,,,,,
0.92,2460,1.42,0,2460,854,-0.07662682615686207,,,,,,,0.00023054917556422083,1.7805894e-05,0.0001,0.08122110366821289,0.0,0.2,0.24640321731567383,-1.4027154207229615,0.1683441072702408,405
,2460,,,,,,0,2.57,82,0.73,10252,-0.30714178999999997,,,,,,,,,,
0.96,2490,1.28,0,2490,865,-0.031426033661700783,,,,,,,-0.00010701854924235476,1.2280544e-05,0.0001,0.1722911298274994,0.0,0.2,-0.12132763862609863,-1.4016438007354737,0.3676580786705017,410
,2490,,,,,,0,2.66,83,0.72,10365,-0.3260192,,,,,,,,,,
0.94,2520,1.48,0,2520,876,-0.05480775504838675,,,,,,,-0.001472483100757671,4.289945e-05,0.0001,0.09485004097223282,0.0,0.2,-0.01582813262939453,-1.3988549947738647,0.20297721326351165,415
,2520,,,,,,0,2.67,84,0.72,10495,-0.33794409000000003,,,,,,,,,,
1.0,2550,1.04,0,2550,886,-0.007810258073732257,,,,,,,-0.00054672201338688,8.997321e-05,0.0001,0.0997140035033226,0.0,0.2,0.14416617155075073,-1.3855961084365844,0.21278723180294037,420
,2550,,,,,,0,2.61,85,0.73,10602,-0.3137859499999999,,,,,,,,,,
0.98,2580,1.22,0,2580,898,-0.03108265277929604,,,,,,,-0.0006876031606225297,5.650123e-05,0.0001,0.07118192315101624,0.0,0.2,0.2388032078742981,-1.3679810285568237,0.15807390511035918,425
,2580,,,,,,0,2.63,86,0.73,10713,-0.3216420399999999,,,,,,,,,,
