env/n_steps,eval/mean_reward,env/completion_counter,env/current_idx,eval/mean_ep_length,eval/success_rate,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/success_rate,train/loss,train/entropy_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/explained_variance
22200,-0.03042329750955105,0,13441,1.16,0.94,22200,,,,,,,0.09108009189367294,-0.014063107874244451,0.001,365,1.0142949591340766e-08,0.17444871813058854,0.0,0.2,0.0,0.3053472638130188
,,,,,,22200,74,-0.2568725500000001,1.71,33520,0,0.69,,,,,,,,,,
22500,-0.0509374697227031,0,13634,1.24,0.9,22500,,,,,,,0.06638535857200623,-0.02102550435811281,0.001,370,-3.138442824024423e-06,0.20476448833942412,0.0,0.2,5.3741545e-08,0.1808232069015503
,,,,,,22500,75,-0.20191051000000002,1.49,33959,0,0.79,,,,,,,,,,
22800,-0.08819813505746424,0,13828,1.22,0.92,22800,,,,,,,0.08414144068956375,-0.013743154425173997,0.001,375,-0.0008840649092423547,0.16632605940103531,0.000390625,0.2,8.1609585e-05,0.32915419340133667
,,,,,,22800,76,-0.21002237,1.53,34408,0,0.76,,,,,,,,,,
23100,-0.04934784462209791,0,14003,1.22,0.92,23100,,,,,,,0.08419165015220642,-0.02449256321415305,0.001,380,-0.0022866660255576043,0.1616700053215027,0.007599432021379471,0.2,0.025302863,0.2589075565338135
,,,,,,23100,77,-0.22871297,1.69,34880,0,0.74,,,,,,,,,,
23400,-0.0695995673770085,0,14194,1.26,0.92,23400,,,,,,,0.0988914966583252,-0.010759425442665815,0.001,385,5.342404385544341e-09,0.201014506816864,0.0,0.2,0.0,0.20617878437042236
,,,,,,23400,78,-0.19654063000000005,1.55,35338,0,0.76,,,,,,,,,,
23700,-0.06880721622146665,0,14372,1.18,0.94,23700,,,,,,,0.09878600388765335,-0.010842576157301664,0.001,390,-2.4387951902404835e-08,0.16987024545669555,0.0,0.2,0.0,0.21477729082107544
,,,,,,23700,79,-0.25897524000000005,1.64,35779,0,0.73,,,,,,,,,,
24000,-0.1108729240205139,0,14554,1.32,0.84,24000,,,,,,,0.08829132467508316,-0.010873911995440721,0.001,395,3.729523534445889e-09,0.19834643453359604,0.0,0.2,0.0,0.14864200353622437
,,,,,,24000,80,-0.25588946999999995,1.63,36221,0,0.75,,,,,,,,,,
24300,-0.07298646460752935,0,14748,1.18,0.94,24300,,,,,,,0.10596471279859543,-0.015758239757269622,0.001,400,-0.0007950390603074453,0.18154434561729432,0.0034446023404598237,0.2,0.0004408094,0.25669431686401367
