env/completion_counter,eval/mean_ep_length,eval/mean_reward,env/n_steps,eval/success_rate,time/total_timesteps,env/current_idx,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/success_rate,time/fps,train/explained_variance,train/entropy_loss,train/clip_range,train/n_updates,train/clip_fraction,train/value_loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/loss
0,1.36,-0.054466028194874526,22800,0.94,22800,10982,,,,,,,0.19092661142349243,-0.05934961289167404,0.2,375,0.0,0.20390268117189408,0.00012539316,0.001,-0.00047717023692399606,0.07084901630878448
,,,,,22800,,-0.23333475000000004,2.0,76,34631,0.82,0,,,,,,,,,,
0,1.34,-0.07180959889199584,23100,0.94,23100,11126,,,,,,,0.30986452102661133,-0.0490955326706171,0.2,380,0.0072088070213794705,0.1842207744717598,0.0010258247,0.001,-0.0012819340635132903,0.07401406019926071
,,,,,23100,,-0.21084112000000002,2.07,77,35082,0.81,0,,,,,,,,,,
0,1.36,-0.07493648814503104,23400,0.94,23400,11276,,,,,,,0.2752819061279297,-0.04204327389597893,0.2,385,0.0,0.17556836903095246,1.1944212e-07,0.001,-2.9984353773215843e-07,0.06488368660211563
,,,,,23400,,-0.18844671999999998,1.97,78,35523,0.83,0,,,,,,,,,,
0,1.42,-0.03210211753845215,23700,0.96,23700,11416,,,,,,,0.2276286482810974,-0.04034512713551521,0.2,390,0.0,0.1868592992424965,2.1641608e-07,0.001,1.0287722549406907e-07,0.06908150762319565
,,,,,23700,,-0.26302770999999997,2.18,79,35963,0.76,0,,,,,,,,,,
0,1.52,-0.0786471698153764,24000,0.92,24000,11567,,,,,,,0.264332115650177,-0.04033484794199467,0.2,395,0.0,0.18499328643083573,1.0867836e-05,0.001,-8.166123351163179e-05,0.08769583702087402
,,,,,24000,,-0.194497,1.96,80,36407,0.82,0,,,,,,,,,,
0,1.34,-0.05156408436130732,24300,0.94,24300,11720,,,,,,,0.28823620080947876,-0.044621390849351884,0.2,400,0.001171875,0.17857443690299987,0.00039112475,0.001,-0.0001303715800847982,0.08173152059316635
,,,,,24300,,-0.21363858,1.98,81,36833,0.82,0,,,,,,,,,,
0,1.4,-0.05243178523145616,24600,0.94,24600,11862,,,,,,,0.30796611309051514,-0.04304037727415562,0.2,405,0.0,0.18569085597991944,1.9646091e-05,0.001,-0.00029947540977417477,0.10845547169446945
,,,,,24600,,-0.23917046000000003,2.22,82,37264,0.78,0,,,,,,,,,,
0,1.56,-0.05458632144145668,24900,0.92,24900,12012,,,,,,,0.24978351593017578,-0.041082828491926196,0.2,410,0.00078125,0.19449930936098098,0.00016107176,0.001,3.7751498962279587e-05,0.0972290188074112
,,,,,24900,,-0.21107588000000008,2.01,83,37712,0.81,0,,,,,,,,,,
0,1.34,-0.05043179385829717,25200,0.96,25200,12180,,,,,,,0.2796499729156494,-0.04033026099205017,0.2,415,0.0,0.18836181610822678,3.5176475e-07,0.001,1.4294954340243748e-07,0.10538041591644287
,,,,,25200,,-0.11009276999999999,1.8,84,38125,0.91,0,,,,,,,,,,
0,1.76,-0.14311843087896706,25500,0.86,25500,12314,,,,,,,0.14569473266601562,-0.04039268121123314,0.2,420,0.0,0.13720319494605066,9.229221e-05,0.001,-7.848328327355602e-05,0.05037611722946167
,,,,,25500,,-0.26666626,2.24,85,38571,0.78,0,,,,,,,,,,
0,1.36,-0.05219025582075119,25800,0.96,25800,12459,,,,,,,0.09585034847259521,-0.03938286043703556,0.2,425,0.0038352273404598236,0.23060111403465272,0.000540395,0.001,-0.0021815876095161004,0.11179587990045547
,,,,,25800,,-0.25875053000000003,2.16,86,38997,0.81,0,,,,,,,,,,
0,1.3,-0.032694897912442684,26100,0.94,26100,12610,,,,,,,0.2300715446472168,-0.03376730903983116,0.2,430,0.004936079680919647,0.21254920065402985,0.00050219876,0.001,-0.0005433368427304686,0.12521173059940338
,,,,,26100,,-0.18892681000000006,1.98,87,39435,0.83,0,,,,,,,,,,
0,1.32,-0.07109398977365344,26400,0.94,26400,12770,,,,,,,0.1284106969833374,-0.027136301249265672,0.2,435,0.0,0.20567225366830827,1.1874363e-07,0.001,-1.4172507061260832e-07,0.10185304284095764
