time/total_timesteps,env/n_steps,time/iterations,env/completion_counter,rollout/ep_len_mean,env/current_idx,time/fps,time/time_elapsed,rollout/success_rate,rollout/ep_rew_mean,train/clip_fraction,train/value_loss,train/n_updates,train/entropy_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/loss,train/clip_range,eval/success_rate,eval/mean_reward,eval/mean_ep_length
1890,1890,63,0,1.31,1425,0,2260,0.93,-0.08174605,0.04000000149011612,0.011380542469560169,3100,-0.09280119095928967,0.001,0.033249002,0.006067633628845215,-0.019513786131101975,-0.0646313726902008,0.2,,,
1920,1920,64,0,1.26,1451,0,2294,0.95,-0.06148051999999999,0.11200000420212745,0.011721077150723432,3150,-0.20133427888154984,0.001,0.008223905,0.3757193684577942,-0.046560440712763614,-0.057608846575021744,0.2,,,
1950,1950,65,0,1.24,1469,0,2328,0.96,-0.03944757,0.03200000166893005,0.0027078257905668577,3200,-0.05628122955560684,0.001,0.0043151695,-208.88108825683594,-0.004512401012393355,-0.004772602114826441,0.2,,,
1980,1980,66,0,1.27,1492,0,2361,0.95,-0.04113159999999999,0.0,0.06800844998797402,3250,-0.005745887737721205,0.001,1.0490418e-06,-0.002323627471923828,-8.271574968693685e-05,0.0007869495311751962,0.2,,,
2010,2010,67,0,1.37,1512,0,2395,0.91,-0.06441953,0.0,0.01625280305161141,3300,-0.005607509445399046,0.001,2.6623408e-07,-0.13962483406066895,-4.496159148215995e-05,-0.0002673191193025559,0.2,,,
2040,2040,68,0,1.38,1536,0,2429,0.91,-0.06451318999999998,0.12333333767950534,0.020092447716742755,3350,-0.17378243302926422,0.001,0.025029719,0.09009939432144165,-0.04693846187488333,-0.06596210598945618,0.2,,,
2070,2070,69,0,1.36,1559,0,2462,0.9,-0.07560007999999999,0.0,0.03870985266810749,3400,-0.0059299733396619555,0.001,0.00014511347,-0.46814024448394775,-0.008279822373141812,-0.008361885324120522,0.2,,,
2100,2100,70,0,1.38,1578,0,2498,0.9,-0.08722094999999998,0.0,0.04738854318275117,3450,-0.0034986773738637567,0.001,3.973643e-09,0.003266572952270508,-1.1669516591936713e-05,8.615940168965608e-05,0.2,,,
2130,2130,71,0,1.3,1602,0,2532,0.93,-0.06441179,0.0,0.08580111142480745,3500,-0.004519084030762315,0.001,1.9868214e-07,-0.05402541160583496,-3.4352421873435903e-05,0.0004682592989411205,0.2,,,
2160,2160,72,0,1.31,1627,0,2567,0.92,-0.07371942,0.0,0.059414681866765025,3550,-0.003541115880943835,0.001,0.0,-0.2959122657775879,-3.3372938504605544e-06,0.029214847832918167,0.2,,,
