env/current_idx,time/time_elapsed,rollout/ep_len_mean,time/iterations,rollout/success_rate,time/fps,time/total_timesteps,env/n_steps,rollout/ep_rew_mean,env/completion_counter,train/clip_range,train/learning_rate,train/value_loss,train/explained_variance,train/entropy_loss,train/n_updates,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/loss,eval/mean_reward,eval/success_rate,eval/mean_ep_length
1227,54338,1.41,1471,0.9,0,44130,44130,-0.0937855,2,0.2,0.0001,0.1302333004772663,0.32539695501327515,-0.33069485127925874,14700,0.0,0.0002509276,-0.0008961391398043083,0.054989397525787354,,,
1249,54378,1.42,1472,0.9,0,44160,44160,-0.08426320999999998,2,0.2,0.0001,0.0406451802700758,0.5929321050643921,-0.3533544421195984,14710,0.0,6.6260495e-06,8.699298344794215e-07,0.017388753592967987,,,
1273,54417,1.35,1473,0.92,0,44190,44190,-0.061716299999999995,2,0.2,0.0001,0.07506996281445026,0.3632494807243347,-0.43107775747776034,14720,0.0,0.0004749894,-0.0022676715074339882,0.023793112486600876,,,
1299,54449,1.26,1474,0.94,0,44220,44220,-0.04990583000000001,2,0.2,0.0001,0.06407708041369915,0.39366865158081055,-0.4029796689748764,14730,0.0,0.00095360476,-0.0012692630432624696,0.026470858603715897,,,
1323,54482,1.24,1475,0.96,0,44250,44250,-0.04031476,2,0.2,0.0001,0.06498917490243912,-0.1475445032119751,-0.42641622126102446,14740,0.0,2.4143856e-05,1.9665434395577108e-05,0.029774200171232224,,,
1347,54519,1.2,1476,0.97,0,44280,44280,-0.039719069999999995,2,0.2,0.0001,0.06093133874237537,-49.05732345581055,-0.45076158046722414,14750,0.0,1.2844801e-05,-0.00041756391503469106,0.01659296080470085,,,
1372,54551,1.23,1477,0.96,0,44310,44310,-0.049654859999999995,2,0.2,0.0001,0.1343578115105629,-0.12413179874420166,-0.4395251899957657,14760,0.0,0.0005553365,-0.004912027604489566,0.05147944390773773,,,
1399,54585,1.2,1478,0.97,0,44340,44340,-0.03914581,2,0.2,0.0001,0.09592784196138382,0.3572506904602051,-0.43948363065719603,14770,0.0,5.984505e-05,-0.0005837104777810965,0.03697512671351433,,,
1425,54620,1.18,1479,0.96,0,44370,44370,-0.04818311999999999,2,0.2,0.0001,0.013258000370115042,-92.43372344970703,-0.5256588876247406,14780,0.0,0.00076267717,-0.0054123492523409315,-0.007734070532023907,,,
1444,54653,1.24,1480,0.95,0,44400,44400,-0.05943449999999999,2,0.2,0.0001,0.04867610484361649,0.5123942494392395,-0.47362387776374815,14790,0.0,0.00052009424,-0.0010608120740895678,0.019148293882608414,,,
1466,54684,1.27,1481,0.94,0,44430,44430,-0.07050669000000001,2,0.2,0.0001,0.10082483813166618,0.5074713230133057,-0.48493016362190244,14800,0.0,0.00075805583,-0.007017732709937263,0.026949815452098846,,,
1486,54718,1.35,1482,0.91,0,44460,44460,-0.10260666,2,0.2,0.0001,0.19271829277276992,0.2954370975494385,-0.43802790641784667,14810,0.0,0.00024677912,0.0017826819439264341,0.0877465307712555,,,
