env/n_steps,rollout/ep_rew_mean,time/total_timesteps,env/current_idx,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/success_rate,env/completion_counter,train/approx_kl,train/n_updates,train/entropy_loss,train/clip_range,train/explained_variance,train/value_loss,train/loss,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward,eval/success_rate
31200,-0.11383439999999999,31200,5937,520,1.38,0,40058,0.9,1,0.6979669,25950,-0.029639116935431958,0.2,0.048650145530700684,0.09996561408042907,-0.014365799725055695,0.11766667131334543,0.001,-0.03761140130211913,,,
31260,-0.08110107999999999,31260,5983,521,1.31,0,40130,0.93,1,0.85857415,26000,-0.07999740168452263,0.2,0.5140602588653564,0.0601079198718071,-0.031126542016863823,0.25000001206994055,0.001,-0.04481477593878907,,,
31320,-0.02908151,31320,6035,522,1.21,0,40195,0.97,1,1.0535359,26050,-0.11017180055379867,0.2,-0.48515069484710693,0.08201689235866069,-0.002380549907684326,0.2746666761487722,0.001,-0.025902523028353847,,,
31380,-0.06276248999999999,31380,6064,523,1.4,0,40266,0.92,1,3.579917,26100,-0.11555307790637016,0.2,-1.5886874198913574,0.007483752053231001,-0.05076230317354202,0.41833333365619185,0.001,-0.03867805966734892,,,
31440,-0.09488286999999998,31440,6109,524,1.48,0,40345,0.89,1,0.6935569,26150,-0.07488048858940602,0.2,0.025900065898895264,0.1200145423412323,-0.03577583283185959,0.28499999895691874,0.001,-0.06851843920846776,,,
31500,-0.10510282000000001,31500,6152,525,1.44,0,40424,0.9,1,0.66165787,26200,-0.059356313198804855,0.2,0.028943121433258057,0.12998016923666,0.0013115555047988892,0.16633333720266819,0.001,-0.04586629127835231,,,
31560,-0.09510412999999998,31560,6194,526,1.46,0,40490,0.91,1,0.2809958,26250,-0.06600032143294811,0.2,0.21514064073562622,0.0468361958861351,-0.031482547521591187,0.1316666717082262,0.001,-0.03379269700745738,,,
31620,-0.04193457,31620,6242,527,1.34,0,40564,0.96,1,3.8550923,26300,-0.08242304883897304,0.2,-0.5451114177703857,0.08994336776435376,-0.029023077338933945,0.4186666615307331,0.001,-0.04921587516119089,,,
31680,-0.02895953,31680,6295,528,1.19,0,40633,0.98,1,1.055165,26350,-0.07934218972921371,0.2,-0.04163193702697754,0.04181511931121349,-0.026135675609111786,0.17333333618938923,0.001,-0.023769023587306357,,,
31740,-0.03027268,31740,6338,529,1.24,0,40704,0.95,1,0.15240912,26400,-0.028341728039085867,0.2,-0.010592460632324219,0.05336482740938663,4.680640995502472e-05,0.04566666752099991,0.001,-0.015305013712495565,,,
