env/completion_counter,env/current_idx,eval/mean_reward,eval/mean_ep_length,eval/success_rate,time/total_timesteps,env/n_steps,time/iterations,time/fps,time/time_elapsed,rollout/success_rate,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/entropy_loss,train/loss,train/explained_variance,train/clip_range,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl
0,8517,-0.09009939855895936,1.18,0.92,15000,15000,,,,,,,0.0001,490,-0.18496667742729186,0.0864810049533844,0.22535693645477295,0.2,0.1898891471326351,0.0,-0.00010490674923628873,6.7766523e-06
,,,,,15000,,50,0,22874,0.72,1.65,-0.21907896000000002,,,,,,,,,,
0,8698,-0.09367795634549111,1.18,0.92,15300,15300,,,,,,,0.0001,500,-0.1831437960267067,0.0665048137307167,0.23018109798431396,0.2,0.17231438867747784,0.0,-0.00017119391663555916,2.4618306e-05
,,,,,15300,,51,0,23310,0.73,1.67,-0.24746160000000003,,,,,,,,,,
0,8874,-0.029349209079518913,1.16,0.92,15600,15600,,,,,,,0.0001,510,-0.18236677646636962,0.1114247739315033,0.18442773818969727,0.2,0.1887701466679573,0.0,-0.00010701794443921387,5.5968253e-06
,,,,,15600,,52,0,23779,0.67,1.78,-0.33002385000000006,,,,,,,,,,
0,9057,-0.0691641490580514,1.24,0.94,15900,15900,,,,,,,0.0001,520,-0.1783508025109768,0.10374201834201813,0.2077726125717163,0.2,0.19384848028421403,0.0,-0.0001434266795847794,1.45357335e-05
,,,,,15900,,53,0,24234,0.68,1.71,-0.31211042,,,,,,,,,,
0,9232,-0.05021035783458501,1.26,0.9,16200,16200,,,,,,,0.0001,530,-0.17020779326558114,0.08891808986663818,0.2629585266113281,0.2,0.1801957055926323,0.0,-0.00039257553627365384,5.3934455e-05
,,,,,16200,,54,0,24680,0.65,1.77,-0.3150344,,,,,,,,,,
0,9419,-0.06769673699047417,1.12,0.94,16500,16500,,,,,,,0.0001,540,-0.1675487205386162,0.07386793196201324,0.21867763996124268,0.2,0.1854203946888447,0.002503551170229912,-0.0009163413018541178,0.012390409
,,,,,16500,,55,0,25121,0.8,1.52,-0.18757511999999998,,,,,,,,,,
0,9606,-0.15772507751826198,1.32,0.86,16800,16800,,,,,,,0.0001,550,-0.16093817874789237,0.06320574134588242,0.238874614238739,0.2,0.16496073007583617,0.0,-3.3238738123131385e-05,3.4497352e-06
,,,,,16800,,56,0,25552,0.79,1.53,-0.16429981000000002,,,,,,,,,,
0,9797,-0.10986089379526674,1.28,0.88,17100,17100,,,,,,,0.0001,560,-0.15661173835396766,0.0747133418917656,0.08481043577194214,0.2,0.1943037874996662,0.0,-0.00030952164818782714,6.503983e-05
,,,,,17100,,57,0,25996,0.75,1.61,-0.22465968,,,,,,,,,,
0,9971,-0.10844616889487951,1.2,0.9,17400,17400,,,,,,,0.0001,570,-0.14842822030186653,0.05735642462968826,0.274228036403656,0.2,0.16767631620168685,0.0,-0.0016871267407111644,0.00046678886
,,,,,17400,,58,0,26423,0.65,1.79,-0.33024007000000005,,,,,,,,,,
0,10138,-0.02754611134994775,1.08,0.96,17700,17700,,,,,,,0.0001,580,-0.14201075956225395,0.0923166573047638,0.129716157913208,0.2,0.21934010460972786,0.0,-0.00023564727449842948,5.008762e-05
,,,,,17700,,59,0,26848,0.64,1.83,-0.33150367000000003,,,,,,,,,,
0,10318,-0.11360705596860499,1.32,0.88,18000,18000,,,,,,,0.0001,590,-0.13531406968832016,0.08723776787519455,0.25470179319381714,0.2,0.19070513397455216,0.0,-0.0002743505004985991,2.0597712e-05
,,,,,18000,,60,0,27300,0.68,1.72,-0.28535302,,,,,,,,,,
0,10492,-0.06895489883609116,1.24,0.92,18300,18300,,,,,,,0.0001,600,-0.1379372864961624,0.07333281636238098,0.21942579746246338,0.2,0.18524712696671486,0.0,-0.00019334343446217873,1.8335117e-05
,,,,,18300,,61,0,27771,0.64,1.76,-0.27804722,,,,,,,,,,
0,10681,-0.11919965205714106,1.22,0.9,18600,18600,,,,,,,0.0001,610,-0.13480692207813263,0.11424379050731659,0.22109591960906982,0.2,0.18303999528288842,0.0005859375,-0.0006525790420212729,0.00028013214
,,,,,18600,,62,0,28221,0.84,1.45,-0.18311615000000003,,,,,,,,,,
0,10869,-0.11061169642023742,1.28,0.88,18900,18900,,,,,,,0.0001,620,-0.12133163399994373,0.07138779759407043,0.20482021570205688,0.2,0.1751352734863758,0.0,7.923319192482126e-05,1.0878695e-06
,,,,,18900,,63,0,28670,0.69,1.7,-0.27431219,,,,,,,,,,
0,11055,-0.026916016638278962,1.08,0.98,19200,19200,,,,,,,0.0001,630,-0.12442401237785816,0.08984702825546265,0.22710776329040527,0.2,0.17627657800912858,0.0,-0.00013506311102240431,6.239819e-06
,,,,,19200,,64,0,29117,0.72,1.61,-0.23689881,,,,,,,,,,
0,11226,-0.06933513758704066,1.22,0.92,19500,19500,,,,,,,0.0001,640,-0.1233403954654932,0.08676508814096451,0.29247528314590454,0.2,0.16173940226435662,0.0,-3.254855361074504e-05,1.1883284e-05
,,,,,19500,,65,0,29632,0.67,1.77,-0.30151210000000006,,,,,,,,,,
0,11402,-0.06918390229344368,1.24,0.9,19800,19800,,,,,,,0.0001,650,-0.11973365508019924,0.0924697145819664,0.20344895124435425,0.2,0.19132134467363357,0.0,-0.00025410835513071104,1.6224454e-05
,,,,,19800,,66,0,30057,0.69,1.66,-0.34723814,,,,,,,,,,
0,11577,-0.08935415500774979,1.24,0.92,20100,20100,,,,,,,0.0001,660,-0.11850154474377632,0.08107199519872665,0.26562148332595825,0.2,0.1931852824985981,0.0,-5.416985387385331e-05,7.4834097e-06
,,,,,20100,,67,0,30483,0.69,1.71,-0.31399734,,,,,,,,,,
0,11764,-0.04781664860900491,1.12,0.94,20400,20400,,,,,,,0.0001,670,-0.11765687055885792,0.101433664560318,0.21103495359420776,0.2,0.20391117185354232,0.0,-0.00025867179890015635,6.362055e-05
,,,,,20400,,68,0,30908,0.78,1.52,-0.20154201999999993,,,,,,,,,,
0,11955,-0.04926116930320859,1.22,0.92,20700,20700,,,,,,,0.0001,680,-0.11224460750818252,0.10979043692350388,0.30072611570358276,0.2,0.17930463403463365,0.0,-3.419166459863732e-05,1.9260227e-05
,,,,,20700,,69,0,31338,0.73,1.58,-0.24726390999999995,,,,,,,,,,
0,12157,-0.06895318620372563,1.18,0.92,21000,21000,,,,,,,0.0001,690,-0.11009137518703938,0.057770974934101105,0.2571426033973694,0.2,0.17367408908903598,0.0,-4.643388516023528e-05,1.3489785e-06
,,,,,21000,,70,0,31775,0.76,1.55,-0.21501492000000005,,,,,,,,,,
0,12345,-0.10997259554453194,1.26,0.9,21300,21300,,,,,,,0.0001,700,-0.10759189948439599,0.07756082713603973,0.1284348964691162,0.2,0.18574871495366096,0.0,-0.00021062836231666715,8.355826e-06
,,,,,21300,,71,0,32242,0.76,1.57,-0.23176640999999998,,,,,,,,,,
0,12543,-0.09197677091695368,1.18,0.92,21600,21600,,,,,,,0.0001,710,-0.1033220760524273,0.06681941449642181,0.20750141143798828,0.2,0.1668089896440506,0.0,-0.0003683357830264633,9.838841e-06
,,,,,21600,,72,0,32689,0.78,1.54,-0.16404249999999998,,,,,,,,,,
0,12721,-0.0477194879995659,1.12,0.96,21900,21900,,,,,,,0.0001,720,-0.10028031319379807,0.0785956084728241,0.09486186504364014,0.2,0.17369562648236753,0.0,4.184175827108838e-05,1.0068761e-06
,,,,,21900,,73,0,33126,0.69,1.76,-0.30557374,,,,,,,,,,
0,12902,-0.04941332214977592,1.2,0.92,22200,22200,,,,,,,0.0001,730,-0.1007407546043396,0.09281011670827866,0.16621500253677368,0.2,0.2029437579214573,0.0023082386702299117,-0.0007985941265360452,0.00025206618
,,,,,22200,,74,0,33610,0.73,1.61,-0.24506181000000002,,,,,,,,,,
0,13089,-0.047335926927626136,1.12,0.94,22500,22500,,,,,,,0.0001,740,-0.0965909082442522,0.06407284736633301,0.18981844186782837,0.2,0.1695559673011303,0.0,8.274293515420084e-06,5.582739e-06
,,,,,22500,,75,0,34071,0.71,1.62,-0.17340708000000002,,,,,,,,,,
0,13274,-0.030438409331254662,1.2,0.94,22800,22800,,,,,,,0.0001,750,-0.09570925757288933,0.07049325853586197,0.11391836404800415,0.2,0.17605381235480308,0.0,-8.663750380468737e-05,5.688751e-06
,,,,,22800,,76,0,34508,0.75,1.55,-0.2085827,,,,,,,,,,
0,13456,-0.04850389377214014,1.2,0.92,23100,23100,,,,,,,0.0001,760,-0.09512840248644353,0.09916026890277863,0.1978498101234436,0.2,0.1775953382253647,0.0,-0.0006645498325681843,0.00013575656
,,,,,23100,,77,0,34949,0.72,1.64,-0.27231397999999996,,,,,,,,,,
0,13641,-0.06899806478526443,1.22,0.94,23400,23400,,,,,,,0.0001,770,-0.08721150755882263,0.08199680596590042,0.3211778402328491,0.2,0.17290587723255157,0.0,-0.00036955703134617935,1.5683589e-05
,,,,,23400,,78,0,35380,0.7,1.72,-0.28805443000000003,,,,,,,,,,
0,13827,-0.030638636937364936,1.2,0.92,23700,23700,,,,,,,0.0001,780,-0.08502299264073372,0.09604687243700027,0.2667974829673767,0.2,0.18393581137061119,0.0026988636702299116,-0.0004771222989898405,0.0055515934
,,,,,23700,,79,0,35804,0.74,1.62,-0.22768676999999996,,,,,,,,,,
0,14008,-0.02947606075555086,1.22,0.92,24000,24000,,,,,,,0.0001,790,-0.08109878487884999,0.09914068877696991,0.21691560745239258,0.2,0.19542895928025245,0.0,-0.00012819844608387144,2.5089153e-05
,,,,,24000,,80,0,36235,0.71,1.68,-0.22221052,,,,,,,,,,
0,14199,-0.0523641562089324,1.3,0.88,24300,24300,,,,,,,0.0001,800,-0.07814449481666089,0.09635213017463684,0.1828063726425171,0.2,0.1854988567531109,0.0,-0.0002917581354059173,4.590459e-05
,,,,,24300,,81,0,36669,0.74,1.6,-0.20670613,,,,,,,,,,
0,14387,-0.11122732312884182,1.32,0.86,24600,24600,,,,,,,0.0001,810,-0.0739597599953413,0.07342611253261566,0.2121429443359375,0.2,0.18056714162230492,0.0,-0.00036719715968791533,1.839397e-05
,,,,,24600,,82,0,37101,0.72,1.61,-0.29933838000000007,,,,,,,,,,
0,14569,-0.13335397499613463,1.28,0.88,24900,24900,,,,,,,0.0001,820,-0.07051673159003258,0.0719902291893959,0.3675495982170105,0.2,0.16664568334817886,0.0,-2.1116897981654502e-05,6.0456805e-06
,,,,,24900,,83,0,37535,0.68,1.71,-0.26629315,,,,,,,,,,
0,14757,-0.04922791032586247,1.2,0.92,25200,25200,,,,,,,0.0001,830,-0.068999607488513,0.07853380590677261,0.1428844928741455,0.2,0.19592317193746567,0.0,-5.9494295435946754e-05,3.6662677e-06
,,,,,25200,,84,0,37955,0.77,1.52,-0.18067237999999997,,,,,,,,,,
0,14938,-0.09007762471679598,1.32,0.86,25500,25500,,,,,,,0.0001,840,-0.06941476427018642,0.05283056199550629,0.19534367322921753,0.2,0.1653538838028908,0.0,-4.176654522520806e-05,3.3550896e-06
,,,,,25500,,85,0,38410,0.78,1.54,-0.21710108000000003,,,,,,,,,,
0,15125,-0.07037938731256872,1.3,0.88,25800,25800,,,,,,,0.0001,850,-0.0705486387014389,0.08001874387264252,0.2841208577156067,0.2,0.17632758840918542,0.0,-6.933150366927876e-06,3.047753e-07
,,,,,25800,,86,0,38861,0.75,1.57,-0.23126335999999995,,,,,,,,,,
0,15312,-0.028241275735199453,1.14,0.96,26100,26100,,,,,,,0.0001,860,-0.07093233093619347,0.07710788398981094,0.13448083400726318,0.2,0.18738098293542862,0.0,-1.4261491307898666e-06,1.6507693e-07
,,,,,26100,,87,0,39300,0.79,1.46,-0.19437773999999994,,,,,,,,,,
0,15488,-0.09046119017992169,1.34,0.86,26400,26400,,,,,,,0.0001,870,-0.07142000123858452,0.07345683872699738,0.2849714159965515,0.2,0.17479279562830924,0.0,-0.00022523564618754933,2.9669609e-05
,,,,,26400,,88,0,39786,0.7,1.71,-0.29276261000000003,,,,,,,,,,
