env/n_steps,eval/success_rate,env/completion_counter,env/current_idx,eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/success_rate,time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/value_loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/learning_rate,train/loss,train/clip_range,train/n_updates
19500,0.9,0,9078,1.5,-0.09560888531152159,19500,,,,,,,0.1684199695289135,0.008608293,0.05775568202137947,-0.013004239226283971,0.20972687005996704,-0.40173436760902403,0.0001,0.06964567303657532,0.2,640
,,,,,,19500,0.86,0,65,1.94,29443,-0.16952327999999997,,,,,,,,,,
19800,0.94,0,9234,1.24,-0.0691245387122035,19800,,,,,,,0.15351370304822923,0.0035952225,0.029204545617103575,-0.012077691102167592,0.059476256370544434,-0.4641613978147507,0.0001,0.029959067702293396,0.2,650
,,,,,,19800,0.83,0,66,1.99,29885,-0.18926383000000002,,,,,,,,,,
20100,0.94,0,9401,1.28,-0.07091907117981464,20100,,,,,,,0.1723414933681488,0.005008988,0.046051136553287506,-0.011838230001740158,0.13912934064865112,-0.4286474138498306,0.0001,0.05063333362340927,0.2,660
,,,,,,20100,0.91,0,67,1.7,30311,-0.10280032,,,,,,,,,,
20400,0.94,0,9559,1.32,-0.07382138996385038,20400,,,,,,,0.10253418162465096,0.0042012166,0.020937500149011613,-0.00921081582433544,0.2729153633117676,-0.3532918348908424,0.0001,0.013492351397871971,0.2,670
,,,,,,20400,0.86,0,68,1.85,30736,-0.17995978,,,,,,,,,,
20700,0.96,0,9688,1.34,-0.030655909813940525,20700,,,,,,,0.15521296605467796,0.0025340456,0.018579545468091964,-0.010210498141823336,0.16911965608596802,-0.424752322435379,0.0001,0.04446224123239517,0.2,680
,,,,,,20700,0.76,0,69,2.22,31176,-0.30310773,,,,,,,,,,
21000,0.92,0,9829,1.4,-0.09869933741167188,21000,,,,,,,0.15044773384928703,0.004414689,0.02957386389374733,-0.009765116158378077,0.3204270601272583,-0.4398863077163696,0.0001,0.020453838631510735,0.2,690
,,,,,,21000,0.78,0,70,2.18,31601,-0.25538166000000007,,,,,,,,,,
21300,0.98,0,9968,1.32,-0.03063077794853598,21300,,,,,,,0.18644099935889244,0.0029968987,0.02187500014901161,-0.010890048297005706,0.21134614944458008,-0.4534668678045273,0.0001,0.0866093635559082,0.2,700
,,,,,,21300,0.79,0,71,2.08,32056,-0.28270395000000004,,,,,,,,,,
21600,0.92,0,10139,1.44,-0.07253181645646692,21600,,,,,,,0.18250529050827027,0.0058813654,0.04082386389374733,-0.008501236174779478,0.2587162256240845,-0.6022401064634323,0.0001,0.07946944981813431,0.2,710
,,,,,,21600,0.86,0,72,1.85,32509,-0.15585443,,,,,,,,,,
21900,0.92,0,10278,1.44,-0.05597467029001564,21900,,,,,,,0.15292501494288444,0.0044740946,0.03994318202137947,-0.013041554674418875,0.10643094778060913,-0.3706873536109924,0.0001,0.033083364367485046,0.2,720
,,,,,,21900,0.8,0,73,2.1,32955,-0.26892295,,,,,,,,,,
22200,0.96,0,10425,1.24,-0.029630964901298285,22200,,,,,,,0.18740551605820654,0.0020229376,0.01244318187236786,-0.007612277785083279,0.1496260166168213,-0.4300313085317612,0.0001,0.049108363687992096,0.2,730
,,,,,,22200,0.8,0,74,2.19,33408,-0.24714420000000004,,,,,,,,,,
22500,0.94,0,10572,1.44,-0.07575508199166507,22500,,,,,,,0.16715381264686585,0.0018758852,0.031107954680919647,-0.009777179379016161,0.2315489649772644,-0.36193230986595154,0.0001,0.07252949476242065,0.2,740
,,,,,,22500,0.77,0,75,2.16,33872,-0.26303818999999995,,,,,,,,,,
22800,0.94,0,10729,1.42,-0.07387808859813959,22800,,,,,,,0.17752085834741593,0.003719981,0.031335227489471436,-0.011599512901157141,0.09169238805770874,-0.3959986883401871,0.0001,0.06181999295949936,0.2,750
,,,,,,22800,0.83,0,76,1.9,34326,-0.22804705999999997,,,,,,,,,,
23100,0.96,0,10882,1.4,-0.058611110271885994,23100,,,,,,,0.1520547990500927,0.002157656,0.021250000149011614,-0.006646525203832425,0.31452488899230957,-0.33952183067798614,0.0001,0.05282051861286163,0.2,760
,,,,,,23100,0.87,0,77,1.87,34784,-0.1587156,,,,,,,,,,
23400,0.96,0,11047,1.24,-0.04977811944205314,23400,,,,,,,0.12498544529080391,0.0029208134,0.020625000149011613,-0.007204539782833308,0.30328571796417236,-0.301189521253109,0.0001,0.01468551903963089,0.2,770
,,,,,,23400,0.86,0,78,1.86,35220,-0.17324587000000005,,,,,,,,,,
23700,0.9,0,11194,1.5,-0.09466490919236094,23700,,,,,,,0.16257346138358117,0.0044328473,0.027926136553287507,-0.0075666203012224285,0.20473963022232056,-0.2619689106941223,0.0001,0.06068713963031769,0.2,780
,,,,,,23700,0.83,0,79,1.93,35668,-0.21748418000000008,,,,,,,,,,
24000,1.0,0,11355,1.1,-0.007478412776254118,24000,,,,,,,0.16653261497616767,0.0015109853,0.016051136404275895,-0.003908840221120044,0.1871381402015686,-0.21148674428462982,0.0001,0.04865147918462753,0.2,790
,,,,,,24000,0.81,0,80,2.02,36090,-0.20769821,,,,,,,,,,
24300,0.92,0,11497,1.44,-0.07616052839905024,24300,,,,,,,0.147001471221447,0.002542954,0.02965909108519554,-0.009440521178767085,0.11407524347305298,-0.25111754387617113,0.0001,0.02930651791393757,0.2,800
,,,,,,24300,0.8,0,81,2.11,36531,-0.22583887000000005,,,,,,,,,,
24600,0.92,0,11653,1.42,-0.0931507968576625,24600,,,,,,,0.15162618696689606,0.0010922027,0.020965909212827684,-0.0060440727090463045,0.22088730335235596,-0.2980244424939156,0.0001,0.05682125687599182,0.2,810
,,,,,,24600,0.83,0,82,1.96,36975,-0.18558030999999997,,,,,,,,,,
24900,0.9,0,11800,1.54,-0.11872816341463477,24900,,,,,,,0.14956459283828735,0.0021551405,0.027301136553287506,-0.00769553653895855,0.045207440853118896,-0.2524623402953148,0.0001,0.052829839289188385,0.2,820
,,,,,,24900,0.78,0,83,2.13,37404,-0.24510472000000003,,,,,,,,,,
25200,0.96,0,11965,1.24,-0.02885407497175038,25200,,,,,,,0.1732195496559143,0.0008141692,0.00866477280855179,-0.0029517754050903022,0.11755913496017456,-0.21504167318344117,0.0001,0.08300545066595078,0.2,830
,,,,,,25200,0.88,0,84,1.84,37861,-0.11656743999999998,,,,,,,,,,
25500,0.9,0,12127,1.56,-0.09608205392956734,25500,,,,,,,0.12780413240194322,0.0014637017,0.009630681872367859,-0.004704034458409296,0.13514816761016846,-0.20890639692544938,0.0001,0.051135607063770294,0.2,840
,,,,,,25500,0.86,0,85,1.83,38307,-0.19245014000000002,,,,,,,,,,
25800,0.94,0,12281,1.46,-0.08244263869710267,25800,,,,,,,0.14455081298947334,0.00094992307,0.011818181872367859,-0.004491716254779021,0.25362080335617065,-0.21346332579851152,0.0001,0.057488154619932175,0.2,850
,,,,,,25800,0.79,0,86,2.06,38749,-0.2473368,,,,,,,,,,
