env/current_idx,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/success_rate,env/n_steps,time/fps,env/completion_counter,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/loss,train/approx_kl,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction,eval/success_rate,eval/mean_reward,eval/mean_ep_length
1658,2753,1.38,-0.07164633999999999,79,2370,0.92,2370,0,0,0.001,-0.049418028928339554,-1.0804970264434814,-69.15748596191406,-0.08056805282831192,0.04839523,780,0.2,0.017888212017714976,0.24666667468845843,,,
1681,2785,1.3,-0.05094033,80,2400,0.93,2400,0,0,0.001,-0.07326722010970119,-1.0233526825904846,0.4105820059776306,-0.07674287259578705,0.08309339,790,0.2,0.10275357738137245,0.25333333685994147,,,
1702,2818,1.38,-0.07192631999999999,81,2430,0.91,2430,0,0,0.001,-0.060876590212186346,-0.8363403022289276,0.6495969295501709,-0.08783601224422455,0.03248267,800,0.2,0.0360462760552764,0.15333333984017372,,,
1723,2856,1.37,-0.09294789999999999,82,2460,0.9,2460,0,0,0.001,-0.05823318974425362,-1.0430458545684815,0.07811552286148071,-0.046216610819101334,0.03505807,810,0.2,0.20211078897118567,0.16000000424683095,,,
1749,2895,1.34,-0.10242446999999999,83,2490,0.9,2490,0,0,0.001,-0.08373364315678682,-0.9642253518104553,0.12728041410446167,-0.052559591829776764,0.089296296,820,0.2,0.18390177190303802,0.326666671410203,,,
1770,2931,1.34,-0.11339648999999997,84,2520,0.9,2520,0,0,0.001,-0.05048860877441865,-0.6985832571983337,0.588452935218811,-0.07290975749492645,0.036949906,830,0.2,0.04328680355101824,0.13333333656191826,,,
1792,2962,1.31,-0.10316896999999998,85,2550,0.91,2550,0,0,0.001,-0.036689585022007344,-0.842047643661499,0.4655470848083496,-0.023566238582134247,0.035163276,840,0.2,0.11789156049489975,0.17666667178273202,,,
1811,2992,1.33,-0.10222394,86,2580,0.91,2580,0,0,0.001,-0.07808134033034228,-0.9863364219665527,0.5550335645675659,-0.09288439899682999,0.13124949,850,0.2,0.07482739090919495,0.3100000016391277,,,
1833,3025,1.4,-0.11344031000000003,87,2610,0.9,2610,0,0,0.001,-0.06228906518469248,-0.9373092114925384,0.726025402545929,-0.0712999776005745,0.151778,860,0.2,0.04976101480424404,0.4400000013411045,,,
1853,3057,1.43,-0.11410908000000002,88,2640,0.9,2640,0,0,0.001,-0.031584222493693304,-0.7081538677215576,-1.104884147644043,-0.03632127493619919,0.03743675,870,0.2,0.14244981296360493,0.1600000061094761,,,
1874,3093,1.43,-0.10289486,89,2670,0.91,2670,0,0,0.001,-0.04064749279369906,-0.7040288329124451,-0.006072282791137695,-0.011203020811080933,0.052615266,880,0.2,0.16189587563276292,0.15333333797752857,,,
1898,3127,1.42,-0.11273989999999999,90,2700,0.9,2700,0,0,0.001,-0.0528211567861339,-0.901246291399002,0.3071277141571045,-0.04650014266371727,0.04039995,890,0.2,0.11459567546844482,0.2233333397656679,,,
1920,3160,1.35,-0.07177221999999998,91,2730,0.93,2730,0,0,0.001,-0.08984657752017214,-0.8814801752567292,0.188271164894104,-0.09516064822673798,0.054427266,900,0.2,0.1183376856148243,0.3333333346992731,,,
1936,3193,1.45,-0.09433067999999999,92,2760,0.9,2760,0,0,0.001,-0.03583530309610054,-0.5797885954380035,-21.82962989807129,-0.04704437404870987,0.02295966,910,0.2,0.07363877538591623,0.1533333372324705,,,
1961,3227,1.36,-0.06296763000000001,93,2790,0.93,2790,0,0,0.001,-0.03850170611093447,-0.5452794402837753,0.29038476943969727,-0.0029868148267269135,0.030432276,920,0.2,0.16513794511556626,0.10000000223517418,,,
1987,3259,1.34,-0.05274479000000001,94,2820,0.94,2820,0,0,0.001,-0.016957186187307016,-0.21621519327163696,-0.004043936729431152,0.02245936170220375,0.017389348,930,0.2,0.12647777199745178,0.04333333559334278,,,
2004,3291,1.4,-0.06442346,95,2850,0.92,2850,0,0,0.001,-0.027696226400633694,-0.2810460448265076,-74.41987609863281,-0.035322897136211395,0.020422375,940,0.2,0.01177442017942667,0.05666666813194752,,,
2023,3325,1.42,-0.06413624999999999,96,2880,0.92,2880,0,0,0.001,-0.0025839236567844815,-0.11481340676546097,0.0976719856262207,0.05810863524675369,0.015276828,950,0.2,0.14668404087424278,0.020000001043081285,,,
2046,3372,1.39,-0.06272688,97,2910,0.92,2910,0,0,0.001,-0.0008213500968849985,-0.14383423030376435,-0.038274526596069336,0.048439811915159225,0.00088769395,960,0.2,0.12331709116697312,0.003333333507180214,,,
2067,3405,1.43,-0.06344043,98,2940,0.91,2940,0,0,0.001,-0.0034146066464018077,-0.11769082397222519,0.037445068359375,0.04117603227496147,0.0027569155,970,0.2,0.10030462220311165,0.020000001043081285,,,
2088,3441,1.46,-0.09369086000000001,99,2970,0.89,2970,0,0,0.001,-0.002161431687806381,-0.13901844769716262,0.1036255955696106,0.03662209212779999,0.0047109863,980,0.2,0.08996667638421059,0.020000001043081285,,,
2111,,,,,3000,,3000,,0,0.001,-0.006412608267079812,-0.13991246819496156,0.005739688873291016,0.08405441790819168,0.0012198588,990,0.2,0.23179480582475662,0.003333333507180214,0.91,-0.09810492910444736,1.35
,3651,1.41,-0.08243462999999998,100,3000,0.91,,0,,,,,,,,,,,,,,
2134,3685,1.36,-0.08167662,101,3030,0.92,3030,0,0,0.001,-0.0004241531087609829,-0.06926861703395844,0.27113938331604004,0.03969816863536835,1.2775262e-06,1000,0.2,0.1670690268278122,0.0,,,
2154,3751,1.35,-0.07132348,102,3060,0.93,3060,0,0,0.001,-0.0005263826285735185,-0.10158995389938355,0.008443832397460938,0.032179199159145355,0.00017223954,1010,0.2,0.09353808611631394,0.0,,,
2180,3784,1.31,-0.050772769999999995,103,3090,0.94,3090,0,0,0.001,-0.0010834226948402304,-0.08794851899147034,0.24567174911499023,0.021352607756853104,0.0026089172,1020,0.2,0.06730773821473121,0.013333334028720856,,,
2199,3822,1.34,-0.06185882,104,3120,0.93,3120,0,0,0.001,-0.005548606726030414,-0.1392587497830391,-120.49964904785156,-0.0034153100568801165,0.009710322,1030,0.2,0.01445094314403832,0.030000001564621924,,,
2222,3864,1.36,-0.07216652999999999,105,3150,0.91,3150,0,0,0.001,-0.004617554686653147,-0.11385303735733032,0.4299192428588867,0.036084987223148346,0.0007359624,1040,0.2,0.1255293071269989,0.003333333507180214,,,
