env/n_steps,env/completion_counter,env/current_idx,eval/mean_reward,eval/success_rate,time/total_timesteps,eval/mean_ep_length,time/iterations,rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/loss,train/clip_range,train/approx_kl,train/entropy_loss,train/n_updates,train/clip_fraction,train/explained_variance
24300,0,14431,-0.007378039630129934,1.0,24300,1.08,,,,,,,0.0001,-1.4578898642270133e-05,0.16278598606586456,0.0614185556769371,0.2,9.760462e-06,-0.12771105468273164,800,0.0,0.28100717067718506
,,,,,24300,,81,0.76,1.58,35965,0,-0.21273721,,,,,,,,,,
24600,0,14619,-0.0684225096553564,0.94,24600,1.16,,,,,,,0.0001,-5.7102692223587326e-05,0.17190126702189445,0.07167135924100876,0.2,7.3374463e-06,-0.12739253640174866,810,0.0,0.2681503891944885
,,,,,24600,,82,0.79,1.55,36377,0,-0.18497083,,,,,,,,,,
24900,0,14808,-0.11254173502791673,0.88,24900,1.26,,,,,,,0.0001,-0.00043032584248532403,0.14776521362364292,0.056516386568546295,0.2,2.4942914e-05,-0.12408326528966426,820,0.0,0.34386610984802246
,,,,,24900,,83,0.8,1.54,36802,0,-0.19754553000000002,,,,,,,,,,
25200,0,14991,-0.13104973228648306,0.82,25200,1.36,,,,,,,0.0001,-1.0552677981223724e-05,0.17278581596910952,0.08745159208774567,0.2,1.0592376e-05,-0.1183017261326313,830,0.0,0.2142733335494995
,,,,,25200,,84,0.74,1.57,37224,0,-0.22045282,,,,,,,,,,
25500,0,15173,-0.11180579021573067,0.88,25500,1.32,,,,,,,0.0001,-0.0009520955437498202,0.1681082509458065,0.06831026822328568,0.2,0.0036976314,-0.11767531037330628,840,0.005326704680919647,0.290871262550354
,,,,,25500,,85,0.69,1.73,37645,0,-0.30773716,,,,,,,,,,
25800,0,15358,-0.049811242003925144,0.92,25800,1.2,,,,,,,0.0001,-0.0016184079882137325,0.20240384489297866,0.06920073926448822,0.2,0.00023819014,-0.10970183834433556,850,0.0,0.15000897645950317
