env/n_steps,time/total_timesteps,eval/mean_reward,eval/success_rate,env/completion_counter,env/current_idx,eval/mean_ep_length,time/time_elapsed,rollout/ep_rew_mean,rollout/success_rate,time/iterations,time/fps,rollout/ep_len_mean,train/approx_kl,train/n_updates,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/clip_range,train/explained_variance,train/entropy_loss,train/loss
2040,2040,-0.011026398218236864,0.98,0,915,1.4,,,,,,,0.005786556,670,0.18624440263956785,-0.011522705353127095,0.036666668578982355,0.001,0.2,-2.0510735511779785,-0.2555158108472824,-0.010809718631207943
,2040,,,,,,8625,-0.17414182999999997,0.85,68,0,1.99,,,,,,,,,,
2070,2070,-0.00875984804239124,1.0,0,931,1.18,,,,,,,0.00238296,680,0.3908470541238785,-0.004552416801064396,0.013333334028720856,0.001,0.2,0.0014190673828125,-0.22090485244989394,0.1663437783718109
,2070,,,,,,8745,-0.16963453,0.85,69,0,1.94,,,,,,,,,,
2100,2100,-0.030068506416864694,0.98,0,944,1.28,,,,,,,0.005243953,690,0.32327845990657805,-0.009021273505253192,0.05666666775941849,0.001,0.2,0.05639386177062988,-0.20393888354301454,0.12221881747245789
,2100,,,,,,8872,-0.18502852,0.82,70,0,1.91,,,,,,,,,,
2130,2130,-0.027960134190507233,0.98,0,960,1.14,,,,,,,0.009990585,700,0.2053043857216835,-0.010230306089700391,0.03333333507180214,0.001,0.2,0.08328378200531006,-0.13485607802867888,0.07568788528442383
,2130,,,,,,8981,-0.19847601,0.81,71,0,1.97,,,,,,,,,,
2160,2160,-0.13632820502854884,0.88,0,976,1.62,,,,,,,5.196333e-05,710,0.1623394101858139,-0.0006008507895362669,0.0,0.001,0.2,0.12543660402297974,-0.10249863117933274,0.07551749795675278
,2160,,,,,,9121,-0.15723806,0.84,72,0,1.87,,,,,,,,,,
2190,2190,-0.007194941458292306,1.0,0,997,1.06,,,,,,,2.9524167e-06,720,0.06004780903458595,-0.0002767616538282613,0.0,0.001,0.2,-0.04690730571746826,-0.07358785346150398,0.025357211008667946
,2190,,,,,,9237,-0.17393920000000002,0.85,73,0,1.85,,,,,,,,,,
2220,2220,-0.07511449778452516,0.92,0,1007,1.46,,,,,,,9.3777976e-07,730,0.14874402284622193,-0.00018660704285125007,0.0,0.001,0.2,0.06010997295379639,-0.06103180237114429,0.06557019054889679
,2220,,,,,,9390,-0.21905164000000002,0.82,74,0,2.02,,,,,,,,,,
2250,2250,-0.03691062572412193,0.96,0,1021,1.32,,,,,,,2.1855037e-07,740,0.34069145619869234,1.6342202728303336e-05,0.0,0.001,0.2,0.03099966049194336,-0.06747756078839302,0.14521732926368713
,2250,,,,,,9515,-0.19491622,0.84,75,0,1.98,,,,,,,,,,
2280,2280,-0.03082398011814803,0.98,0,1040,1.22,,,,,,,5.9008596e-07,750,0.27590291649103166,-0.0001400419102914441,0.0,0.001,0.2,0.07489585876464844,-0.0711641937494278,0.09813947975635529
,2280,,,,,,9622,-0.15393683,0.88,76,0,1.86,,,,,,,,,,
2310,2310,-0.056320029888302085,0.96,0,1060,1.2,,,,,,,3.973643e-09,760,0.09929620027542115,-2.7340452042778907e-05,0.0,0.001,0.2,0.3205040693283081,-0.058613645285367964,0.04844900220632553
,2310,,,,,,9745,-0.14950274,0.88,77,0,1.8,,,,,,,,,,
2340,2340,-0.01129108461085707,0.98,0,1078,1.2,,,,,,,0.012720003,770,0.17001571506261826,-0.004109420370465955,0.026666668057441712,0.001,0.2,0.22834110260009766,-0.07463508173823356,0.06477159261703491
,2340,,,,,,9855,-0.14163015,0.89,78,0,1.74,,,,,,,,,,
2370,2370,-0.11569926124997437,0.9,0,1090,1.46,,,,,,,1.39077505e-08,780,0.16226912438869476,3.2750765143019225e-05,0.0,0.001,0.2,-0.013959884643554688,-0.06453808248043061,0.06745294481515884
,2370,,,,,,9990,-0.20824115999999995,0.84,79,0,1.92,,,,,,,,,,
2400,2400,-0.05236097675748169,0.96,0,1099,1.34,,,,,,,9.385943e-05,790,0.34406128972768785,-0.00026052460843288826,0.0,0.001,0.2,0.2889459729194641,-0.0719976231455803,0.10121514648199081
,2400,,,,,,10112,-0.24181602000000002,0.8,80,0,2.02,,,,,,,,,,
2430,2430,-0.029492506058886647,0.98,0,1112,1.22,,,,,,,1.0331472e-07,800,0.17831412255764006,4.3762722880980045e-06,0.0,0.001,0.2,0.11696171760559082,-0.0720740906894207,0.07809183746576309
,2430,,,,,,10227,-0.22109935,0.8,81,0,1.99,,,,,,,,,,
2460,2460,-0.05250399252865463,0.96,0,1131,1.36,,,,,,,6.437302e-07,810,0.22378763258457185,-8.823851756325495e-05,0.0,0.001,0.2,0.1360182762145996,-0.07257282435894012,0.10143651068210602
,2460,,,,,,10359,-0.23261992000000004,0.8,82,0,1.95,,,,,,,,,,
