eval/mean_ep_length,eval/success_rate,env/current_idx,env/completion_counter,time/total_timesteps,eval/mean_reward,env/n_steps,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,rollout/success_rate,time/time_elapsed,train/value_loss,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_range,train/explained_variance,train/loss,train/clip_fraction,train/approx_kl
,,,,21000,,,1.99,70,0,-0.1981941,0.84,32607,,,,,,,,,,
1.3,0.98,9843,0,21300,-0.03397535276133567,21300,,,,,,,0.2020759791135788,-0.1474630668759346,0.0001,-0.0004819862815235165,700,0.2,0.12503933906555176,0.058558691293001175,0.0,5.9286205e-05
,,,,21300,,,2.22,71,0,-0.23336628999999998,0.79,33066,,,,,,,,,,
1.4,0.94,9984,0,21600,-0.058761080405674876,21600,,,,,,,0.2140450231730938,-0.135880945622921,0.0001,-0.0013784247532584004,710,0.2,0.07644104957580566,0.09391599148511887,0.0,0.00041063767
,,,,21600,,,2.19,72,0,-0.27102558,0.76,33523,,,,,,,,,,
1.46,0.94,10135,0,21900,-0.07212321992963552,21900,,,,,,,0.19198903478682042,-0.12522661350667477,0.0001,-0.0005132396163190833,720,0.2,0.3042095899581909,0.09416375309228897,0.0,0.000118882446
,,,,21900,,,2.0,73,0,-0.18988630999999997,0.83,33967,,,,,,,,,,
1.12,1.0,10268,0,22200,-0.007876667315140367,22200,,,,,,,0.16536075696349145,-0.12255049124360085,0.0001,-0.00022212734597424345,730,0.2,0.19759345054626465,0.06695401668548584,0.0,2.6346872e-05
,,,,22200,,,2.33,74,0,-0.25689878,0.75,34420,,,,,,,,,,
1.3,0.94,10416,0,22500,-0.05097939219791442,22500,,,,,,,0.18950057700276374,-0.12152508907020092,0.0001,-0.00011992670033360575,740,0.2,0.20473217964172363,0.08313102275133133,0.0,1.5197671e-05
,,,,22500,,,1.95,75,0,-0.18875828999999997,0.82,34898,,,,,,,,,,
1.22,0.96,10567,0,22800,-0.02971540529280901,22800,,,,,,,0.17974420227110385,-0.11788389682769776,0.0001,-0.00037873096860625567,750,0.2,0.21159625053405762,0.09748862683773041,0.0,9.241787e-05
,,,,22800,,,1.93,76,0,-0.1992598,0.83,35345,,,,,,,,,,
1.5,0.9,10710,0,23100,-0.10086325268261134,23100,,,,,,,0.19565239548683167,-0.1156852699816227,0.0001,-0.00010510396999214855,760,0.2,0.2189476490020752,0.0968421921133995,0.0,2.7534319e-05
,,,,23100,,,2.08,77,0,-0.18020672,0.83,35797,,,,,,,,,,
1.28,0.96,10856,0,23400,-0.05081275300588459,23400,,,,,,,0.15835507325828074,-0.11584878452122212,0.0001,-0.00012811408895156972,770,0.2,0.3116515278816223,0.0614323616027832,0.0,4.4470653e-06
,,,,23400,,,2.05,78,0,-0.24721961999999995,0.81,36252,,,,,,,,,,
1.24,0.94,11009,0,23700,-0.029815273685380818,23700,,,,,,,0.23763120844960212,-0.11952176988124848,0.0001,-0.0006223095842869952,780,0.2,0.23253166675567627,0.10317375510931015,0.0,7.9536345e-05
,,,,23700,,,1.74,79,0,-0.17013839000000006,0.86,36688,,,,,,,,,,
