time/time_elapsed,env/n_steps,env/current_idx,rollout/ep_len_mean,env/completion_counter,time/fps,time/total_timesteps,rollout/success_rate,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/value_loss,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/loss,train/entropy_loss,train/n_updates,train/clip_fraction,eval/success_rate,eval/mean_reward,eval/mean_ep_length
4482,3660,2501,1.22,0,0,3660,0.96,-0.039604310000000004,122,0.001,0.022082277620211244,0.2,0.008549007,-0.03241456889857872,-274.8826904296875,-0.05424792692065239,-0.49486481249332426,1210,0.11333333551883698,,,
4516,3690,2522,1.2,0,0,3690,0.98,-0.0302022,123,0.001,0.010186970280483366,0.2,0.024929523,-0.02317484389680118,-9.725409507751465,-0.03981909155845642,-0.5550300657749176,1220,0.11333333663642406,,,
4553,3720,2545,1.23,0,0,3720,0.98,-0.031056900000000002,124,0.001,0.06726225353777408,0.2,0.032753386,-0.04023505604515485,0.17887264490127563,-0.035040706396102905,-0.5412785232067108,1230,0.17000000439584256,,,
4588,3750,2569,1.27,0,0,3750,0.98,-0.03170854,125,0.001,0.07578424885869026,0.2,0.024288323,-0.023086589050168804,0.16912269592285156,-0.004305403679609299,-0.3699290335178375,1240,0.12000000290572643,,,
4621,3780,2590,1.34,0,0,3780,0.97,-0.03471282,126,0.001,0.009795961854979395,0.2,0.051016595,-0.027716536565373318,-46.479949951171875,-0.04392515495419502,-0.33485827445983884,1250,0.10000000149011612,,,
4653,3810,2611,1.31,0,0,3810,0.97,-0.03277243999999999,127,0.001,0.012238259753212332,0.2,0.015531357,-0.0095274961429336,-7.00653076171875,-0.018530432134866714,-0.27914167046546934,1260,0.04333333559334278,,,
4692,3840,2630,1.39,0,0,3840,0.93,-0.06464458000000001,128,0.001,0.10345405116677284,0.2,0.022181617,-0.007532556885853481,-0.026758313179016113,0.02922995574772358,-0.4182959169149399,1270,0.0800000011920929,,,
4727,3870,2648,1.44,0,0,3870,0.9,-0.07857781999999999,129,0.001,0.22335108518600463,0.2,0.0045014066,-0.017104868199676205,-0.006670951843261719,0.061118148267269135,-0.39826254844665526,1280,0.06333333551883698,,,
4762,3900,2672,1.47,0,0,3900,0.88,-0.07934316,130,0.001,0.18391368091106414,0.2,0.004654966,-0.015114911673590536,0.11025881767272949,0.04964226484298706,-0.4466865688562393,1290,0.040000001713633535,,,
4797,3930,2694,1.46,0,0,3930,0.87,-0.09698193000000002,131,0.001,0.0069122253684327,0.2,0.019492049,-0.024245120175183387,-2.0010035037994385,-0.04074498265981674,-0.463617405295372,1300,0.08000000268220901,,,
4834,3960,2718,1.39,0,0,3960,0.89,-0.06524131999999998,132,0.001,0.0962112195789814,0.2,0.048669387,-0.02511751684670651,0.372772216796875,-0.013373184949159622,-0.47219676077365874,1310,0.14333333559334277,,,
4867,3990,2740,1.37,0,0,3990,0.92,-0.04228692,133,0.001,0.04477468580007553,0.2,0.010553972,-0.014703020824430268,-43.44416427612305,-0.004280358552932739,-0.4380841851234436,1320,0.046666669100522994,,,
4901,4020,2763,1.29,0,0,4020,0.95,-0.04154754000000001,134,0.001,0.010506215947680175,0.2,0.025099942,-0.017579555395059288,-117.93782806396484,-0.02245267480611801,-0.3468869000673294,1330,0.08333333730697631,,,
4937,4050,2783,1.34,0,0,4050,0.94,-0.06208744,135,0.001,0.09624617248773575,0.2,0.049767725,-0.026531467344612026,0.09929549694061279,0.005188751965761185,-0.4849249362945557,1340,0.22000000216066837,,,
4971,4080,2805,1.38,0,0,4080,0.93,-0.06254132,136,0.001,0.13850759118795394,0.2,0.013573536,-0.01984700727538442,0.22518318891525269,0.0071821995079517365,-0.5733975112438202,1350,0.1966666743159294,,,
5004,4110,2827,1.39,0,0,4110,0.92,-0.07296042000000001,137,0.001,0.04852174893021584,0.2,0.050549094,-0.05555091880882779,0.5690209865570068,-0.060849979519844055,-0.6109593570232391,1360,0.2633333373814821,,,
5041,4140,2849,1.41,0,0,4140,0.9,-0.09313136000000004,138,0.001,0.07906052581965924,0.2,0.034657944,-0.044593782536685465,0.1832018494606018,-0.04223833978176117,-0.6663410186767578,1370,0.28000000566244126,,,
5078,4170,2867,1.45,0,0,4170,0.89,-0.10382275,139,0.001,0.09780351519584655,0.2,0.029419094,-0.04113628800958393,0.38769930601119995,-0.047665659338235855,-0.7427411913871765,1380,0.1533333383500576,,,
5111,4200,2890,1.4,0,0,4200,0.91,-0.09346014999999999,140,0.001,0.15791037008166314,0.2,0.034956478,-0.06397262918141973,0.1523715853691101,-0.0653465986251831,-0.7329480707645416,1390,0.19666667133569718,,,
5143,4230,2913,1.42,0,0,4230,0.9,-0.10432382000000001,141,0.001,0.10888405218720436,0.2,0.026396794,-0.036018716407318865,-0.17946040630340576,-0.016483768820762634,-0.7046728670597077,1400,0.23000000566244125,,,
5176,4260,2940,1.31,0,0,4260,0.93,-0.08333297999999999,142,0.001,0.1251988336443901,0.2,0.042593483,-0.060859650907417115,0.33476048707962036,-0.03705278038978577,-0.6649742543697357,1410,0.2433333396911621,,,
5210,4290,2967,1.2,0,0,4290,0.95,-0.060600839999999996,143,0.001,0.07661785185337067,0.2,0.01696179,-0.03609103315820263,0.3837006688117981,-0.03290419280529022,-0.6821045100688934,1420,0.2066666729748249,,,
5243,4320,2993,1.12,0,0,4320,0.97,-0.039100989999999995,144,0.001,0.07858821153640747,0.2,0.03398647,-0.059847147390246394,0.03316211700439453,-0.06647960841655731,-0.6667258083820343,1430,0.23333334028720856,,,
5276,4350,3018,1.12,0,0,4350,0.98,-0.028495519999999996,145,0.001,0.011080977134406566,0.2,0.005027336,-0.03032844233326628,-6.682621955871582,-0.045540228486061096,-0.6489707350730896,1440,0.22333333939313887,,,
5310,4380,3042,1.18,0,0,4380,0.97,-0.02923141,146,0.001,0.1291636534035206,0.2,0.011679844,-0.04588152149692171,-0.5145301818847656,-0.019371796399354935,-0.6648059785366058,1450,0.2666666701436043,,,
5341,4410,3064,1.22,0,0,4410,0.96,-0.04016703,147,0.001,0.005321124754846096,0.2,0.041075673,-0.051408223190034616,-6.81518030166626,-0.08657017350196838,-0.6305077850818634,1460,0.23333333618938923,,,
5375,4440,3085,1.3,0,0,4440,0.93,-0.07488241999999999,148,0.001,0.17273844182491302,0.2,0.019869072,-0.0390787464069823,0.10830479860305786,-0.01638338714838028,-0.6863167524337769,1470,0.12333333678543568,,,
5411,4470,3105,1.36,0,0,4470,0.91,-0.08574123000000002,149,0.001,0.1626691438257694,0.2,0.030942107,-0.06796805731952187,0.22422194480895996,-0.06359240412712097,-0.6716979146003723,1480,0.3900000050663948,,,
5445,4500,3127,1.37,0,0,4500,0.93,-0.07586402,150,0.001,0.06105519216507673,0.2,0.052724518,-0.05383725828646355,0.2574503421783447,-0.08143383264541626,-0.6775029420852661,1490,0.30000000484287737,,,
5479,4530,3148,1.43,0,0,4530,0.91,-0.08674519,151,0.001,0.012975372024811804,0.2,0.01810518,-0.03222585301846266,-54.619449615478516,-0.06347515434026718,-0.6820402145385742,1500,0.2766666680574417,,,
5513,4560,3171,1.35,0,0,4560,0.94,-0.04098864999999999,152,0.001,0.06884048990905285,0.2,0.01564585,-0.05484228116770566,0.024841725826263428,-0.03971853107213974,-0.7250979721546174,1510,0.3900000035762787,,,
5547,4590,3191,1.41,0,0,4590,0.92,-0.061836330000000016,153,0.001,0.08281326070427894,0.2,0.011165815,-0.029405029717212018,0.14424842596054077,-0.01892578974366188,-0.7144825518131256,1520,0.15666667148470878,,,
5583,4620,3210,1.41,0,0,4620,0.9,-0.08276994,154,0.001,0.1865783154964447,0.2,0.040540475,-0.06228973900899284,0.2229946255683899,-0.0462898313999176,-0.6506570994853973,1530,0.19000000245869159,,,
5618,4650,3233,1.39,0,0,4650,0.89,-0.08274519000000001,155,0.001,0.20117440521717073,0.2,0.026842901,-0.054797459278876914,-0.06449925899505615,-0.028695769608020782,-0.7150267064571381,1540,0.12666667066514492,,,
5653,4680,3257,1.4,0,0,4680,0.9,-0.08290814999999999,156,0.001,0.08785066194832325,0.2,0.10705806,-0.036988036769132294,0.05478936433792114,-0.02340727485716343,-0.5723898351192475,1550,0.4533333368599415,,,
5686,4710,3279,1.39,0,0,4710,0.9,-0.08301277000000001,157,0.001,0.011584010859951376,0.2,0.08107938,-0.05631844835976807,-59.13822937011719,-0.08715413510799408,-0.624116325378418,1560,0.19666667208075522,,,
5720,4740,3303,1.31,0,0,4740,0.93,-0.051291210000000004,158,0.001,0.14498676508665084,0.2,0.023579262,-0.046331589724868574,0.13569742441177368,-0.017848417162895203,-0.6832196235656738,1570,0.1733333382755518,,,
5752,4770,3321,1.33,0,0,4770,0.94,-0.043375620000000004,159,0.001,0.052035135496407744,0.2,0.020802196,-0.0175034763264307,-12.668123245239258,-0.033468179404735565,-0.6401874780654907,1580,0.28000000640749934,,,
5786,4800,3340,1.43,0,0,4800,0.92,-0.06531809,160,0.001,0.17026589065790176,0.2,0.030503267,-0.026519906333026765,-0.2223191261291504,0.0019434578716754913,-0.6757235109806061,1590,0.2633333384990692,,,
5821,4830,3361,1.44,0,0,4830,0.91,-0.07535964,161,0.001,0.17053162306547165,0.2,0.009872033,-0.03654912871619089,0.036474406719207764,0.010693743824958801,-0.6475249767303467,1600,0.36333334296941755,,,
5856,4860,3382,1.47,0,0,4860,0.92,-0.07719356999999999,162,0.001,0.1813797563314438,0.2,0.012709646,-0.029985277702410683,-0.03307640552520752,0.03958791121840477,-0.7054823696613312,1610,0.273333340883255,,,
5890,4890,3406,1.47,0,0,4890,0.92,-0.08745428999999999,163,0.001,0.10516587048768997,0.2,0.023295145,-0.036105213159074265,0.008477449417114258,-0.012267187237739563,-0.6441435217857361,1620,0.10666666999459266,,,
